tissue,exprID,00_38,01_37,02_06,03_28,04_05,04_19,05_10,06_02,06_53,07_28,07_37,07_73,08_55,08_88,09_56,92_10,92_32,94_35,95_03,95_21,95_26,95_27,96_03,96_13,96_32,96_44,97_02,97_14,97_17,97_37,97_45,98_27,98_34,99_14,001_06,001_10,002_08,002_10,003_08,003_10,004_06,004_08,004_10,005_09,006_08,006_09,006_10,007_06,007_08,007_09,007_10,008_10,009_07,009_09,010_09,010_10,011_09,011_10,012_08,012_09,012_10,013_09,013_10,014_08,014_09,014_10,015_07,015_09,015_10,016_07,016_08,016_09,016_10,017_07,017_08,017_09,018_05,018_06,018_07,018_08,018_09,018_10,019_08,019_10,020_07,020_08,020_10,021_05,021_08,021_09,021_10,022_06,022_08,022_09,023_08,023_09,023_10,024_08,024_09,024_10,025_05,025_08,025_09,025_10,026_07,026_08,026_09,027_09,028_08,028_09,028_10,029_09,030_06,030_09,031_08,031_09,032_08,032_09,032_10,033_08,033_09,034_06,034_08,034_09,035_06,035_09,036_08,036_09,037_08,038_08,038_09,039_06,040_08,043_06
aveALL,2959600,1.56005,2.12201,1.91751,1.91239,1.62231,1.56713,1.85488,2.02874,1.55936,1.72431,2.12442,1.92731,1.75758,1.73897,1.82278,1.77565,1.78674,1.55785,1.71301,1.71204,1.85291,1.74745,1.83068,1.7569,1.72688,1.82877,1.61413,1.87522,1.86892,1.60186,1.73754,1.824,1.88386,1.88855,1.77053,1.59295,1.78378,1.80306,1.69369,2.31398,1.68498,1.77607,1.92786,1.80778,1.61761,1.67008,1.77584,1.60718,1.74152,1.79224,2.01882,1.65646,1.60566,2.01381,1.56742,1.66569,1.73925,1.67792,2.25903,1.80438,1.77921,2.00909,1.72623,1.70385,1.69974,1.64546,1.67556,1.72206,1.74975,1.63547,1.66117,1.9969,1.74533,2.09107,1.604,1.81383,1.80917,1.83193,1.74775,1.75327,1.64432,2.04474,2.1776,1.83169,1.98014,1.9492,2.02509,1.64709,1.69797,1.72237,1.82578,1.86557,1.98861,1.88068,1.61421,1.79316,1.62345,1.94214,1.81174,1.834,1.99905,1.8216,1.67892,2.15585,1.75592,1.82707,1.82442,1.94823,1.77491,1.84849,1.67246,1.79387,1.64293,1.80951,1.81058,1.83743,1.83586,1.67465,1.68173,1.94076,1.71628,1.90075,1.75266,1.98087,1.83906,1.66819,1.62462,1.73018,1.68092,1.91914,1.66967,1.70132,1.50803,1.81996
aveALL,2959602,1.70138,1.97994,2.07652,1.62352,2.04814,2.13619,1.82257,1.81556,1.59357,1.77909,1.60636,1.54334,1.78845,2.16013,1.97016,1.94042,1.74067,1.91859,1.85544,1.9356,1.92183,1.77904,1.95861,1.92656,1.76266,1.73677,1.86329,1.83224,1.72783,1.79667,1.59667,1.91971,1.86766,1.66936,1.73788,1.98229,2.0707,1.80946,1.98603,1.56252,1.8381,1.82681,1.85604,1.83234,1.71279,1.90199,1.60709,1.69133,1.59523,1.66933,1.81594,1.66818,1.92648,1.83928,1.98252,1.90814,1.93525,2.11933,1.65871,1.73155,1.8136,2.00029,1.95454,1.95086,1.79865,2.12685,1.89967,1.65394,1.66936,1.78675,1.7716,1.93202,1.96342,2.04126,1.8604,1.83307,1.57137,1.89984,1.70295,1.86345,1.98707,1.83164,1.84874,1.73083,1.80204,1.88864,1.56197,1.66374,1.91501,1.76826,2.09997,1.66098,1.88888,1.68661,1.8405,1.68353,1.72906,1.63737,1.93152,1.78331,1.7162,1.89572,1.73593,2.0067,2.18123,2.05379,1.71083,1.7111,1.84556,1.86105,1.82739,1.84327,2.21099,1.97875,1.92377,1.69368,1.66776,1.63576,1.64454,1.68838,1.7325,1.65699,1.82877,1.78389,1.7812,1.91108,2.00462,1.68384,1.91604,1.70491,1.75577,1.88715,2.03587,1.77227
aveALL,2959603,3.09193,3.1246,2.8205,3.0373,3.03517,3.01378,3.28181,3.17171,2.8416,2.82372,2.83541,3.02091,2.95749,3.01262,3.19493,3.02618,3.18209,3.22418,3.14917,2.89455,2.65011,2.79858,3.22401,2.88837,3.00106,2.8975,3.06871,2.82049,3.21882,3.00564,3.05131,2.98336,3.20873,2.93429,3.06792,2.9624,3.09727,2.96623,3.09321,3.2602,2.80874,3.11262,3.15163,2.87528,3.12178,3.18959,2.84812,2.9577,2.88774,2.82058,2.94396,2.89986,2.88981,2.90631,3.04716,3.03605,3.22136,3.2683,3.14704,2.80342,2.90121,2.96873,3.24916,2.9014,3.10361,3.19275,3.02176,3.05294,2.96173,3.02079,2.93217,3.44299,3.13346,3.14048,3.17088,3.02448,3.14738,2.95304,2.99777,2.93018,2.76518,3.08638,3.40407,2.99609,3.09385,2.86705,2.9688,2.99884,2.98392,3.12155,3.14724,2.92977,3.1084,3.24071,2.97726,2.47642,2.7616,2.86601,2.97728,3.0437,2.90244,3.19099,3.29995,2.84148,2.9692,3.15288,2.67336,2.78624,3.25217,3.07004,2.95685,2.97729,3.34442,2.75117,2.99981,2.86127,3.3607,3.27853,2.83091,2.93435,2.58374,3.27353,3.01388,2.94532,2.98114,3.17984,3.14628,2.74017,3.08381,3.07378,3.06471,2.97145,2.8305,2.88319
aveALL,2959605,3.47854,3.59364,3.50509,3.51432,3.41203,3.53386,3.51025,3.63799,3.55399,3.41391,3.53926,3.64416,3.22238,3.40763,3.54888,3.49905,3.43216,3.46909,3.60873,3.54247,3.29264,3.45912,3.6175,3.66377,3.72859,3.16928,2.97154,3.16249,3.50473,3.5007,3.27745,3.56795,3.3736,3.34857,3.33854,3.6696,3.53892,3.12214,3.41189,3.47204,3.24105,3.33945,3.15097,3.77551,3.42761,3.54764,3.195,3.66522,3.55744,3.20597,3.60401,3.40335,3.43556,3.49402,3.36191,3.64717,3.61663,3.65341,3.63298,3.2012,3.67167,3.47158,3.50723,3.71167,3.60832,3.34931,3.41493,3.33898,3.19654,3.54093,3.41289,3.63309,3.30968,3.79165,3.78942,3.19658,3.48833,3.49497,3.24457,3.26231,3.63695,3.59711,4.18738,3.55365,3.51414,3.46346,3.25188,3.43698,3.54008,3.43616,3.57701,3.41859,3.52466,3.50352,3.27404,3.21145,3.39942,3.36219,3.78778,3.12886,3.56406,3.52162,3.39365,4.22646,3.61686,3.67626,3.23156,3.44594,3.59177,3.5314,3.48725,3.55158,3.28787,3.52166,3.24733,3.05331,3.58162,3.33327,3.48463,3.31965,3.11295,3.13058,3.12689,3.31986,3.74453,3.56827,3.65291,3.54567,3.58519,3.4873,3.78042,3.39806,3.29947,3.47578
aveALL,2959608,1.70726,1.76062,1.83056,1.67317,1.60101,2.05256,1.8126,1.77989,1.92937,1.48533,1.82953,1.62536,1.95389,1.83398,1.96186,1.6566,1.65999,1.77737,1.78821,1.72382,1.68077,1.68507,1.65681,1.89199,1.82071,1.82868,1.71954,1.54672,1.978,1.68922,1.64314,1.74951,1.74226,1.64046,1.77709,1.76308,1.61399,1.63252,1.51839,2.08842,1.65551,1.92626,1.78698,1.77635,2.40265,1.78772,1.62321,1.56744,1.93032,1.75634,1.87071,1.8226,1.82476,1.58812,1.66952,1.66396,1.94127,1.67669,1.69377,1.68554,1.77841,1.8768,1.72938,1.82731,1.85924,1.82677,1.54232,1.8879,1.81705,1.58474,1.74824,1.67027,1.80037,1.82117,1.89779,1.66974,1.76884,1.80867,1.69258,1.7958,1.8582,1.57252,1.72921,1.70329,1.71859,1.9655,1.90641,2.26816,1.80334,1.70382,1.70972,1.77021,1.78407,1.79985,1.74552,1.66797,1.84253,1.79237,1.54649,1.70972,1.64947,1.80426,1.90224,2.08876,1.64336,1.91336,1.62104,1.71486,1.77519,1.72686,1.67954,1.69973,1.7832,1.88757,1.72708,1.64474,1.94209,1.61012,1.64149,1.71369,1.61481,1.73127,1.74825,1.60284,1.61379,1.73665,1.73597,1.8474,1.85506,1.60419,1.81401,1.71449,1.62785,1.68937
aveALL,2959610,1.53536,1.4018,1.60394,1.58138,1.70164,1.38911,1.37785,1.76661,1.62467,1.40247,1.25655,1.66862,1.63451,1.6345,1.75778,1.64199,1.59228,1.48666,1.48501,1.41668,1.63937,1.40381,1.8762,1.65819,1.45626,1.55892,1.4443,1.59601,1.54461,1.46916,1.46397,1.63011,1.50033,1.59344,1.50355,1.58335,1.8044,1.55655,1.71162,1.68274,1.26673,1.66241,1.72538,1.39462,1.51606,1.54148,1.59669,1.68748,1.56271,1.42552,1.37477,1.42763,1.64372,1.55953,1.4733,1.52132,1.63409,1.71331,1.65356,1.40789,1.45712,1.62021,1.57404,1.75764,1.51142,1.35921,1.78588,1.63866,1.59521,1.30927,1.35634,1.74952,1.78681,1.78556,1.51979,1.51094,1.43486,1.71883,1.9417,1.55756,1.61372,1.43721,1.75291,1.48068,1.66286,1.73783,1.61247,2.00386,1.2631,1.32436,1.3778,1.4923,1.70644,1.4923,1.19886,1.76251,1.46746,1.34957,1.45251,1.52567,1.68421,1.87822,1.46264,1.83187,1.4588,1.92969,1.72244,1.26883,1.46519,1.48587,1.69944,1.27854,1.56075,1.57894,1.25391,1.64019,1.37655,1.48782,1.54188,1.57205,1.61563,1.32798,1.68007,1.38104,1.65738,1.72979,1.59466,1.7036,1.46939,1.32017,1.67046,1.56749,1.48724,1.26767
aveALL,2959611,1.51466,1.6728,1.52636,1.58858,1.40777,1.5183,1.46076,1.49384,1.47356,1.36859,1.2595,1.42436,1.49699,1.81073,1.55683,1.52378,1.64862,1.46937,1.37422,1.60433,1.42097,1.41574,1.55446,1.61238,1.53067,1.50873,1.60985,1.26682,1.71145,1.3566,1.43572,1.7417,1.27223,1.27802,1.61376,1.35927,1.45334,1.52615,1.4157,1.56241,1.42926,1.55152,1.30033,1.39657,1.53466,1.48013,1.59936,1.46783,1.62421,1.60147,1.58977,1.51598,1.44226,1.44272,1.45414,1.50331,1.59555,1.32196,1.57678,1.40336,1.70118,1.41436,1.74308,1.52072,1.41196,1.53366,1.3181,1.57261,1.46099,1.46846,1.61901,1.77718,1.66914,1.49358,1.52808,1.58711,1.38432,1.53271,1.55551,1.57463,1.39732,1.38424,1.45453,1.41183,1.54345,1.48106,1.54877,1.41136,1.66904,1.36984,1.63315,1.57937,1.56253,1.7997,1.40374,1.54186,1.48712,1.43432,1.47026,1.38125,1.40457,1.64856,1.59791,1.56155,1.67415,1.48344,1.48523,1.6026,1.54949,1.46282,1.29073,1.60857,1.43224,1.39453,1.39282,1.47297,1.4177,1.50716,1.34334,1.56849,1.59418,1.32834,1.56272,1.42332,1.66305,1.48516,1.33711,1.33109,1.50216,1.3869,1.50387,1.51051,1.42766,1.50769
aveALL,2959612,2.54843,1.94122,2.30575,2.48937,2.325,2.21766,2.48979,2.20263,2.12455,2.26674,2.07164,2.18202,1.91315,2.16162,2.07936,2.37643,2.26684,2.18913,2.02811,2.00001,2.13998,2.11331,2.75149,2.17844,2.33995,2.32997,2.1723,2.17979,2.38176,1.98683,2.15856,2.28266,2.08707,1.99574,1.96643,2.14437,2.02423,2.17435,2.31847,2.45843,2.20564,2.19618,2.26318,2.08554,2.29288,2.29795,2.1568,2.27497,2.23529,2.32198,2.18819,2.0441,2.23784,2.04054,2.16413,2.22248,1.95657,2.32762,2.27852,2.09747,2.20174,2.13431,2.48782,2.38275,2.30661,2.27946,2.16238,2.57487,2.14497,1.97276,2.45262,2.12028,2.24545,2.45741,2.25639,2.26385,2.17004,2.21346,2.26742,2.16363,2.11647,2.32001,2.44047,2.33089,2.09288,2.25327,2.34308,2.44652,2.27157,2.24628,2.13343,2.30465,2.42136,2.05386,2.2581,2.22048,2.06715,2.1838,2.33154,2.19163,1.95978,2.34681,2.25683,1.91166,2.15645,2.42716,2.14651,2.16336,1.98002,2.03016,2.1618,1.91333,2.14593,2.23589,2.17489,2.41269,2.42931,2.04742,2.14997,2.18477,2.03964,2.27615,2.36957,2.43324,2.28926,2.15025,2.29178,2.27727,2.06958,1.96592,1.9724,2.2031,2.17261,2.20823
aveALL,2959620,4.04829,4.30342,4.44647,4.08486,4.00968,3.98064,3.93039,3.88021,3.95596,4.0102,4.13839,4.11759,3.93883,3.99742,4.27477,4.36151,3.81381,4.32681,3.93686,4.11925,3.9155,4.04612,3.96762,3.88876,4.04303,4.28694,4.11744,4.31218,3.95013,3.97892,3.7422,3.98707,4.12642,4.19614,4.08316,3.85058,4.21738,4.10704,4.07295,3.85436,4.18182,3.83022,4.17572,4.32413,4.15157,3.88637,3.9835,4.30591,3.86867,4.11929,4.42739,4.18219,4.13677,3.92186,3.97343,3.97184,4.26389,4.05326,4.03834,3.99294,3.97419,4.03275,4.1267,3.96115,4.1998,4.24038,4.35794,4.09101,4.24413,3.82735,4.16145,4.0951,3.87024,4.30586,4.18597,4.10999,4.05154,4.11517,4.23508,4.01731,4.26521,4.19468,3.68038,4.02506,3.98045,3.93571,3.92756,3.91784,3.84819,3.99318,4.33815,3.90241,3.96106,3.83547,4.02705,4.32487,4.14621,3.95635,3.91281,3.84209,4.19318,4.18939,4.13429,3.96785,4.3298,4.27498,3.87894,3.96313,4.24399,4.02035,4.08153,4.05023,4.15351,3.7417,4.00064,4.13163,3.95538,4.15916,3.86468,4.08445,3.69644,4.58087,3.92352,4.06544,4.16431,4.16582,4.00822,3.79494,4.35751,3.97301,3.94432,4.12289,3.78901,3.84739
aveALL,2959622,2.26382,2.34328,2.03219,2.20666,2.12884,2.47565,2.1387,1.96897,2.16362,2.13628,1.85018,1.79947,2.18701,2.2043,2.19124,2.15454,2.25528,2.03905,2.02447,1.90249,2.10736,2.13388,2.11045,2.38526,2.41627,2.04357,2.2227,2.20129,2.44211,1.82589,2.16852,2.05266,2.31948,1.9708,2.36122,2.12561,2.18834,2.24842,2.16073,2.63524,2.22012,2.05848,1.94246,2.05044,2.20279,2.15793,1.90805,2.12981,2.1991,2.14166,2.20436,2.12384,2.32826,2.31772,2.30136,2.04363,2.11323,2.26491,2.10052,2.3579,2.14179,2.04652,2.19412,2.26224,2.09641,1.86487,2.26554,2.18607,2.13687,2.0491,2.39769,2.43775,2.10633,2.43731,2.02376,2.13728,2.12352,2.28419,2.12101,2.09346,2.12197,2.07082,2.2545,2.23521,2.39815,1.7077,2.33333,2.12695,2.20671,2.02193,2.23172,1.91514,2.40934,1.88836,1.93725,2.27562,2.25549,2.18683,2.09672,2.02776,2.22048,2.15653,2.20818,2.36729,2.30818,2.19811,2.04007,2.24985,2.02177,2.08535,1.97095,1.91804,2.19125,1.97878,2.00474,1.86536,2.09046,2.08807,2.12745,2.01544,2.20883,2.1225,2.1238,2.16704,2.10699,1.91023,1.93408,2.0017,2.09675,1.99996,2.29461,2.21183,2.28243,2.20035
