eqtlmap relevance GTEx
EyeGEx#EyeGEx 2 NA
BRAINEAC#CRBL 2 NA
PsychENCODE#PsychENCODE_eQTLs 2 NA
GTEx/v8#Brain_Anterior_cingulate_cortex_BA24 2 1
GTEx/v8#Brain_Caudate_basal_ganglia 2 1
GTEx/v8#Brain_Cerebellar_Hemisphere 2 1
GTEx/v8#Brain_Cerebellum 2 1
GTEx/v8#Brain_Cortex 2 1
GTEx/v8#Brain_Hippocampus 2 1
GTEx/v8#Brain_Nucleus_accumbens_basal_ganglia 2 1
GTEx/v8#Brain_Putamen_basal_ganglia 2 1
GTEx/v8#Brain_Spinal_cord_cervical_c-1 2 1
GTEx/v8#Brain_Substantia_nigra 2 1
GTEx/v8#Pituitary 2 1
GTEx/v8#Colon_Sigmoid 2 1
GTEx/v8#Colon_Transverse 2 1
GTEx/v8#Esophagus_Gastroesophageal_Junction 2 1
GTEx/v8#Esophagus_Mucosa 2 1
GTEx/v8#Esophagus_Muscularis 2 1
GTEx/v8#Small_Intestine_Terminal_Ileum 2 1
GTEx/v8#Stomach 2 1
DICE#B_cell_naive 3 NA
eQTLcatalogue#Fairfax_2012_B-cell_CD19 3 NA
DICE#NK 3 NA
DICE#T_CD4_memory_TREG 3 NA
DICE#T_CD4_naive 3 NA
DICE#T_CD4_naive_activated 3 NA
DICE#T_CD4_naive_TREG 3 NA
DICE#T_CD4_TFH 3 NA
DICE#T_CD4_TH3 3 NA
DICE#T_CD4_TH3_37 3 NA
DICE#T_CD4_TH37 3 NA
DICE#T_CD4_TH2 3 NA
eQTLcatalogue#CEDAR_T-cell_CD4 3 NA
DICE#T_CD8_naive 3 NA
DICE#T_CD8_naive_activated 3 NA
eQTLcatalogue#CEDAR_T-cell_CD8 3 NA
eQTLcatalogue#BLUEPRINT_ge_neutrophil 3 NA
eQTLcatalogue#CEDAR_neutrophil_CD15 3 NA
eQTLcatalogue#Naranbhai_2015_neutrophil_CD16 3 NA
eQTLcatalogue#BLUEPRINT_ge_monocyte 3 NA
DICE#Monocyte_classical 3 NA
DICE#Monocyte_non_classical 3 NA
eQTLcatalogue#Quach_2016_ge_monocyte_naive 3 NA
