eqtlmap relevance GTEx
EyeGEx#EyeGEx 2 NA
BRAINEAC#CRBL 2 NA
PsychENCODE#PsychENCODE_eQTLs 2 NA
GTEx/v8#Brain_Anterior_cingulate_cortex_BA24 2 1
GTEx/v8#Brain_Caudate_basal_ganglia 2 1
GTEx/v8#Brain_Cerebellar_Hemisphere 2 1
GTEx/v8#Brain_Cerebellum 2 1
GTEx/v8#Brain_Cortex 2 1
GTEx/v8#Brain_Hippocampus 2 1
GTEx/v8#Brain_Nucleus_accumbens_basal_ganglia 2 1
GTEx/v8#Brain_Putamen_basal_ganglia 2 1
GTEx/v8#Brain_Spinal_cord_cervical_c-1 2 1
GTEx/v8#Brain_Substantia_nigra 2 1
GTEx/v8#Pituitary 2 1
GTEx/v8#Colon_Sigmoid 2 1
GTEx/v8#Colon_Transverse 2 1
GTEx/v8#Esophagus_Gastroesophageal_Junction 2 1
GTEx/v8#Esophagus_Mucosa 2 1
GTEx/v8#Esophagus_Muscularis 2 1
GTEx/v8#Small_Intestine_Terminal_Ileum 2 1
GTEx/v8#Stomach 2 1
