annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	23	0.00509074811863656	0.535287003930721	0.00122313936041779
UTR5	68533	0.00279438366924883	10	0.00221336874723329	0.792077613246385	0.571908565338001
downstream	277044	0.0112962693777213	14	0.0030987162461266	0.274313239399013	1.43006376863419e-09
exonic	264904	0.0108012696295025	14	0.0030987162461266	0.286884445293616	8.73526909500527e-09
intergenic	11376644	0.463874457625636	1238	0.274015050907481	0.590709504269842	5.40315443933573e-151
intronic	8979212	0.366120896145261	2861	0.633244798583444	1.72960572655268	2.62077985060741e-289
ncRNA_exonic	257913	0.0105162166443461	25	0.00553342186808322	0.526179904353548	0.000444245415929601
ncRNA_intronic	2807030	0.114454624649316	322	0.0712704736609119	0.622696320740919	3.49227851696036e-22
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	11	0.00243470562195662	0.232656673532549	4.71299136853062e-10
