# MEAN_SAMPLE_SIZE = 54888
# TOTAL_GENES = 14522
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
ASC1         COVAR   14522      0.65546     0.027789      0.30518     0.015875
ASC2         COVAR   14522      0.38756     0.017337      0.27869     0.082178
END          COVAR   14522      0.21972     0.017268      0.12115     0.034877
exCA1        COVAR   14522     -0.41315    -0.040496      0.21558      0.97234
exCA3        COVAR   14522     0.041745    0.0033541      0.22409      0.42611
exDG         COVAR   14522     -0.35796    -0.029136      0.21813      0.94959
exPFC1       COVAR   14522     -0.29137      -0.0247      0.25002      0.87806
exPFC2       COVAR   14522    -0.012024   -0.0017108      0.16912      0.52834
GABA1        COVAR   14522     -0.48125     -0.03741      0.24199      0.97662
GABA2        COVAR   14522     -0.27257    -0.020684      0.24085       0.8711
MG           COVAR   14522      0.43309     0.014969      0.31032     0.081428
NSC          COVAR   14522      0.13926     0.011821      0.11898      0.12092
ODC1         COVAR   14522      0.42287     0.015909       0.2896     0.072136
ODC2         COVAR   14522      0.31632     0.014139      0.24607     0.099319
OPC          COVAR   14522     -0.36856    -0.013118      0.36663       0.8426
