# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 14222
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Astro           COVAR   14222      0.10416     0.025672     0.046867     0.013137
ID2             COVAR   14222    -0.033459    -0.015602     0.059088      0.71438
L2.3_CUX2       COVAR   14222    -0.012517   -0.0078214      0.04074      0.62067
L4_RORB         COVAR   14222     0.011682    0.0076919     0.041453      0.38905
L5.6_THEMIS     COVAR   14222    -0.016992    -0.012654     0.033913      0.69183
L5.6_TLE4       COVAR   14222    0.0078851    0.0049003     0.043483      0.42805
LAMP5_NOS1      COVAR   14222    -0.050446    -0.031055     0.036313       0.9176
Micro           COVAR   14222     0.024981     0.004069     0.061967      0.34343
Oligo           COVAR   14222     0.061505     0.016006     0.040916     0.066406
OPC             COVAR   14222     0.035085     0.010527     0.048878      0.23645
PV              COVAR   14222    -0.034377    -0.020094     0.043501       0.7853
PV_SCUBE3       COVAR   14222    -0.053371    -0.028646     0.039221      0.91319
SST             COVAR   14222    -0.046094    -0.019843     0.061311      0.77391
Vas             COVAR   14222      0.13343     0.025124     0.060011       0.0131
VIP             COVAR   14222    -0.053008    -0.023541      0.06025      0.81051
