# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 14222
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Astro           COVAR   14222      0.20234       0.0396     0.066384    0.0011541
CGE_dev         COVAR   14222     0.034503    0.0070785     0.083544      0.33981
ID2             COVAR   14222    -0.077809    -0.020196      0.10771      0.76496
L2.3_CUX2       COVAR   14222     0.015764    0.0073784     0.058699      0.39414
L4_RORB         COVAR   14222      0.17131     0.053412     0.077372     0.013421
L5.6_THEMIS     COVAR   14222     0.067853     0.030227     0.053185      0.10103
L5.6_TLE4       COVAR   14222    -0.020282   -0.0089843     0.053218      0.64844
LAMP5_NOS1      COVAR   14222     -0.12134    -0.041626     0.064426      0.97016
MGE_dev         COVAR   14222     -0.17249    -0.039132      0.10292      0.95311
Micro           COVAR   14222   -0.0024518  -0.00044851      0.05438      0.51798
Oligo           COVAR   14222    -0.011063   -0.0026805     0.055985      0.57832
OPC             COVAR   14222     0.054412     0.010929     0.083614      0.25761
PN_dev          COVAR   14222     -0.01342   -0.0052084     0.058149      0.59126
PV              COVAR   14222     -0.10698    -0.029078     0.088641      0.88625
PV_SCUBE3       COVAR   14222     -0.18627    -0.049764      0.08019       0.9899
SST             COVAR   14222    -0.032004   -0.0096635     0.079995      0.65545
Vas             COVAR   14222     0.078713     0.016618     0.051209     0.062148
VIP             COVAR   14222     0.032643    0.0083692     0.095749      0.36658
