# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 14222
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE               TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev.4           COVAR   14222     0.015154    0.0090794     0.015462      0.16353
Astro_GFAP            COVAR   14222      0.14574     0.032185     0.052585    0.0027932
Astro_SLC1A2          COVAR   14222     0.075936     0.021839     0.037904      0.02258
Astro_SLC1A2_dev      COVAR   14222     0.060306     0.021951     0.029084     0.019073
BKGR_NRGN             COVAR   14222     -0.10828    -0.012714      0.12965      0.79819
CCK_RELN              COVAR   14222    -0.019534   -0.0096056     0.044045      0.67129
CCK_SORCS1            COVAR   14222     0.029331     0.013948     0.045142      0.25793
CCK_SYT6              COVAR   14222    -0.043617    -0.026381     0.034078       0.8997
ID2_CSMD1             COVAR   14222     -0.03887    -0.017306     0.051193      0.77615
ID2_dev               COVAR   14222   -0.0023198   -0.0014784      0.02578      0.53585
L2_CUX2_LAMP5         COVAR   14222    -0.045516    -0.023455     0.043136      0.85432
L2_CUX2_LAMP5_dev     COVAR   14222    -0.039313    -0.032792     0.028363      0.91712
L2.3_CUX2_dev.1       COVAR   14222   -0.0066161   -0.0057381      0.02872      0.59109
L2.3_CUX2_dev.3       COVAR   14222    -0.002255   -0.0016236     0.031024      0.52897
L2.3_CUX2_dev.5       COVAR   14222    -0.022572    -0.013121     0.028152      0.78866
L3_CUX2_PRSS12        COVAR   14222     0.002763    0.0024007     0.029559      0.46276
L4_RORB_dev.1         COVAR   14222     0.028685     0.033459      0.01708     0.046539
L4_RORB_LRRK1         COVAR   14222    -0.013696     -0.01164     0.029317      0.67981
L4_RORB_MET           COVAR   14222   -0.0056539   -0.0039721     0.033241      0.56753
L4_RORB_MME           COVAR   14222   -0.0013051  -0.00089027     0.032683      0.51593
L5.6_THEMIS_CNR1      COVAR   14222   -0.0015679   -0.0016216     0.024056      0.52598
L5.6_THEMIS_NTNG2     COVAR   14222    -0.019443    -0.018216     0.022058      0.81095
L5.6_TLE4_HTR2C       COVAR   14222    0.0035999    0.0032051      0.02378      0.43984
L5.6_TLE4_SCUBE1      COVAR   14222    0.0030082    0.0028169     0.025451      0.45296
L5.6_TLE4_SORCS1      COVAR   14222   -0.0062637   -0.0051343     0.027365      0.59052
LAMP5_CCK             COVAR   14222    -0.010265   -0.0068074     0.031565      0.62748
LAMP5_NDNF            COVAR   14222    -0.024163    -0.012197     0.041792      0.71842
LAMP5_NOS1            COVAR   14222    -0.042626    -0.031115     0.028819      0.93043
Micro                 COVAR   14222     0.018543    0.0032562     0.057221      0.37295
Micro_out             COVAR   14222     0.018535     0.003309     0.051184      0.35863
Oligo_mat             COVAR   14222     0.044325     0.015343     0.029649      0.06747
Oligo.1               COVAR   14222      0.05798     0.013849     0.045237     0.099989
Oligo.2               COVAR   14222     0.045973     0.015679     0.031226     0.070483
Oligo.3               COVAR   14222     0.074071     0.016406     0.049441     0.067058
Oligo.4               COVAR   14222     0.051691      0.01472     0.038155     0.087759
Oligo.5               COVAR   14222     0.059728     0.016655     0.038354     0.059714
OPC                   COVAR   14222     0.025194    0.0088097     0.041825      0.27347
OPC_dev               COVAR   14222    -0.026478    -0.010831     0.027196      0.83486
OPC_MBP               COVAR   14222   -0.0038033   -0.0015978      0.02896      0.55224
PV_SCUBE3             COVAR   14222    -0.044102    -0.024248     0.036208      0.88838
PV_SST                COVAR   14222    -0.025465    -0.013405     0.044175      0.71784
PV_SULF1              COVAR   14222   -0.0056202   -0.0044159     0.029947      0.57443
PV_SULF1_dev          COVAR   14222     0.019845     0.015157     0.030358      0.25666
PV_WFDC2              COVAR   14222    -0.040371    -0.024714     0.037966      0.85617
SST_ADGRG6            COVAR   14222    -0.033416    -0.019441     0.039092      0.80366
SST_ADGRG6_dev        COVAR   14222    -0.041561    -0.025222     0.034163       0.8881
SST_B3GAT2            COVAR   14222    -0.025563    -0.017167     0.034175      0.77276
SST_BRINP3            COVAR   14222   -0.0016454   -0.0013274     0.030173      0.52174
SST_CALB1             COVAR   14222    -0.069802    -0.028413     0.055616      0.89526
SST_CALB1_dev         COVAR   14222    -0.047352    -0.020434     0.050992      0.82345
SST_NPY               COVAR   14222     -0.01268   -0.0096175       0.0238      0.70289
SST_STK32A            COVAR   14222  -0.00039335   -0.0002155     0.035904      0.50437
SST_TH                COVAR   14222   -0.0021588   -0.0017932     0.028266      0.53044
Vas_CLDN5             COVAR   14222     0.020561    0.0049678     0.040119      0.30416
Vas_PDGFRB            COVAR   14222     0.079503     0.019087     0.040747     0.025532
Vas_TBX18             COVAR   14222      0.17613     0.026132     0.088066     0.022762
VIP_ABI3BP            COVAR   14222    -0.016523   -0.0089276     0.041515      0.65469
VIP_ADAMTSL1          COVAR   14222    -0.053273    -0.028609      0.04583      0.87746
VIP_CHRM2             COVAR   14222    -0.038673    -0.017614     0.049511      0.78262
VIP_CRH               COVAR   14222    -0.034715    -0.015553     0.051021      0.75187
VIP_DPP6              COVAR   14222    -0.049569    -0.024938     0.047069      0.85384
VIP_HS3ST3A1          COVAR   14222    -0.035782    -0.017975     0.045312      0.78514
VIP_KIRREL3           COVAR   14222    -0.032943    -0.017889     0.043542      0.77534
VIP_PCDH20            COVAR   14222     0.027068     0.018156     0.027724      0.16446
