# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 14222
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE               TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_GFAP            COVAR   14222      0.16019     0.030578     0.061033    0.0043423
Astro_SLC1A2          COVAR   14222     0.089891      0.02327     0.043798     0.020075
Astro_SLC1A2_dev      COVAR   14222     0.075781     0.019955       0.0419     0.035266
BKGR_NRGN             COVAR   14222    -0.020706   -0.0027139     0.096282      0.58514
CCK_RELN              COVAR   14222    -0.027302    -0.013776     0.044322      0.73104
CCK_SORCS1            COVAR   14222     0.023121    0.0092652     0.053343      0.33235
CCK_SYT6              COVAR   14222    -0.027544    -0.015489     0.039457      0.75743
ID2_CSMD1             COVAR   14222    -0.046685    -0.021294     0.053887      0.80684
ID2_dev               COVAR   14222   0.00066373   0.00030015     0.031277      0.49153
L2_CUX2_LAMP5         COVAR   14222    -0.031798    -0.018358      0.04059       0.7833
L2_CUX2_LAMP5_dev     COVAR   14222    -0.069877    -0.038817     0.039565       0.9613
L2.3_CUX2_dev.1       COVAR   14222    0.0061915    0.0045427     0.033318      0.42629
L2.3_CUX2_dev.3       COVAR   14222    -0.039023    -0.021439     0.036058      0.86041
L2.3_CUX2_dev.5       COVAR   14222   -0.0012636  -0.00077644     0.028239      0.51785
L3_CUX2_PRSS12        COVAR   14222    0.0089623    0.0070132      0.03299      0.39294
L4_RORB_dev.1         COVAR   14222     0.011806     0.010915     0.020696      0.28418
L4_RORB_LRRK1         COVAR   14222   0.00031089   0.00022336     0.034523      0.49641
L4_RORB_MET           COVAR   14222   -0.0016622   -0.0010186     0.037894      0.51749
L4_RORB_MME           COVAR   14222    0.0084463    0.0050131     0.036752      0.40912
L5.6_THEMIS_CNR1      COVAR   14222   -0.0098756   -0.0075748     0.030692      0.62618
L5.6_THEMIS_NTNG2     COVAR   14222    -0.033331    -0.024006     0.027613      0.88629
L5.6_TLE4_HTR2C       COVAR   14222      0.01719     0.010332      0.03458      0.30956
L5.6_TLE4_SCUBE1      COVAR   14222  -0.00047151  -0.00033095     0.032503      0.50579
L5.6_TLE4_SORCS1      COVAR   14222    -0.011406   -0.0070333     0.034867      0.62821
LAMP5_CCK             COVAR   14222    -0.025398    -0.013733     0.038926      0.74294
LAMP5_NDNF            COVAR   14222    -0.042882    -0.019441     0.047211      0.81813
LAMP5_NOS1            COVAR   14222    -0.050546    -0.031116     0.034461      0.92877
Micro                 COVAR   14222     0.020633    0.0033595     0.061336      0.36829
Micro_out             COVAR   14222     0.065493     0.012755     0.053535      0.11061
Oligo_mat             COVAR   14222       0.0594     0.015138     0.042008     0.078692
Oligo.1               COVAR   14222     0.053086     0.014404     0.039073     0.087144
Oligo.2               COVAR   14222     0.053044     0.016641     0.034305     0.061036
Oligo.3               COVAR   14222     0.069104     0.015421     0.048694     0.077943
Oligo.4               COVAR   14222     0.061569     0.015689      0.04385     0.080157
Oligo.5               COVAR   14222     0.060734     0.015137     0.044052     0.084007
Oligo.6               COVAR   14222      0.04267     0.012438     0.033617      0.10218
OPC                   COVAR   14222      0.03006    0.0090246     0.048579      0.26803
OPC_dev               COVAR   14222     0.023168     0.006357     0.036794      0.26446
OPC_MBP               COVAR   14222    -0.011696   -0.0037112     0.039273      0.61707
PV_SCUBE3             COVAR   14222    -0.051839    -0.027823     0.036804       0.9205
PV_SST                COVAR   14222    -0.062731    -0.028447     0.050627      0.89233
PV_SULF1              COVAR   14222    -0.013457   -0.0082241     0.038773      0.63572
PV_SULF1_dev          COVAR   14222    0.0045452     0.002679     0.039222      0.45387
PV_WFDC2              COVAR   14222    -0.046721    -0.027019     0.040222      0.87729
SST_ADGRG6            COVAR   14222    -0.047864    -0.020513     0.051698      0.82272
SST_ADGRG6_dev        COVAR   14222    -0.028085    -0.011998     0.047116      0.72443
SST_B3GAT2            COVAR   14222    -0.020869    -0.012548     0.039517      0.70128
SST_BRINP3            COVAR   14222     0.026726      0.01573     0.040692      0.25567
SST_CALB1             COVAR   14222    -0.068388    -0.027211     0.057973      0.88092
SST_CALB1_dev         COVAR   14222    -0.032159    -0.010505     0.066156      0.68655
SST_NPY               COVAR   14222    -0.038617    -0.022395     0.028767      0.91026
SST_STK32A            COVAR   14222    0.0095366    0.0050001     0.038512      0.40221
SST_TH                COVAR   14222    -0.029959    -0.018344     0.038549      0.78146
Vas_CLDN5             COVAR   14222     0.044927    0.0091213      0.04717      0.17044
Vas_PDGFRB            COVAR   14222     0.095827     0.020849      0.04795     0.022843
Vas_TBX18             COVAR   14222      0.10155     0.020411     0.052419     0.026362
VIP_ABI3BP            COVAR   14222    -0.015464   -0.0063493     0.055188      0.61034
VIP_ADAMTSL1          COVAR   14222    -0.012648   -0.0061648     0.048663      0.60253
VIP_CHRM2             COVAR   14222    -0.053426    -0.022933     0.052434      0.84587
VIP_CRH               COVAR   14222     -0.05511     -0.02541     0.051179       0.8592
VIP_DPP6              COVAR   14222    -0.033436    -0.016593     0.049256      0.75137
VIP_HS3ST3A1          COVAR   14222    -0.040288    -0.018079     0.050292      0.78845
VIP_KIRREL3           COVAR   14222    -0.074546    -0.035513     0.050133      0.93147
VIP_PCDH20            COVAR   14222    -0.030195    -0.011621     0.046404      0.74238
