# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 14222
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev.1             COVAR   14222     0.072314     0.020595     0.039613     0.033976
Astro_dev.2             COVAR   14222      0.10186     0.017091     0.064325     0.056665
Astro_dev.4             COVAR   14222      0.08237     0.019426     0.042688      0.02684
Astro_GFAP              COVAR   14222      0.11605     0.030496      0.04413    0.0042782
Astro_SLC1A2            COVAR   14222     0.077716     0.019253      0.04654     0.047485
Astro_SLC1A2_dev        COVAR   14222     0.064063     0.018788     0.037665     0.044498
BKGR_NRGN               COVAR   14222     -0.23713    -0.029841      0.13304      0.96264
CCK_RELN                COVAR   14222     0.013496    0.0072172     0.040573       0.3697
CCK_SORCS1              COVAR   14222     0.036028     0.015078     0.050861      0.23937
CCK_SYT6                COVAR   14222    -0.038069    -0.018743      0.04577      0.79722
CGE_dev                 COVAR   14222     0.014705    0.0033053     0.039828      0.35599
ID2_CSMD1               COVAR   14222    -0.009368   -0.0043269     0.050191      0.57403
ID2_dev                 COVAR   14222    -0.063141    -0.021418       0.0459      0.91551
L2_CUX2_LAMP5           COVAR   14222    -0.025815    -0.014132     0.043454      0.72377
L2_CUX2_LAMP5_dev       COVAR   14222    -0.055399    -0.027481     0.048313      0.87423
L2.3_CUX2_dev.1         COVAR   14222    -0.017531     -0.01055     0.041878      0.66225
L2.3_CUX2_dev.2         COVAR   14222     0.015088     0.006612     0.027644      0.29261
L2.3_CUX2_dev.3         COVAR   14222    -0.020702    -0.013585     0.036179       0.7164
L2.3_CUX2_dev.5         COVAR   14222    -0.044543    -0.019079      0.05492      0.79133
L2.3_CUX2_dev.6         COVAR   14222   -0.0068265   -0.0017614     0.065885      0.54126
L2.3_CUX2_dev.fetal     COVAR   14222    0.0085789    0.0021452     0.042058      0.41919
L3_CUX2_PRSS12          COVAR   14222    -0.010696   -0.0073305     0.035927      0.61704
L4_RORB_dev.1           COVAR   14222     0.030792     0.022962     0.027737      0.13348
L4_RORB_dev.2           COVAR   14222     0.024276     0.011479     0.025097       0.1667
L4_RORB_dev.fetal       COVAR   14222    -0.012465   -0.0039714     0.036366      0.63411
L4_RORB_LRRK1           COVAR   14222    -0.019883    -0.011551     0.041047      0.68594
L4_RORB_MET             COVAR   14222    -0.012579   -0.0065953     0.042645      0.61599
L4_RORB_MME             COVAR   14222  -0.00028012  -0.00013907     0.044439      0.50251
L5.6_THEMIS_CNR1        COVAR   14222    0.0066454    0.0043368     0.036959      0.42866
L5.6_THEMIS_dev.2       COVAR   14222     0.027985     0.013512     0.039186      0.23757
L5.6_THEMIS_NTNG2       COVAR   14222    -0.021789    -0.013653     0.032691      0.74745
L5.6_TLE4_HTR2C         COVAR   14222    0.0024246    0.0012454     0.039257      0.47538
L5.6_TLE4_SCUBE1        COVAR   14222    -0.014384   -0.0086403     0.036206      0.65442
L5.6_TLE4_SORCS1        COVAR   14222    -0.014118   -0.0063806     0.047796      0.61615
LAMP5_CCK               COVAR   14222    -0.021136   -0.0097547     0.042828      0.68917
LAMP5_NDNF              COVAR   14222    -0.019981   -0.0098165     0.042549      0.68067
LAMP5_NOS1              COVAR   14222    -0.071164    -0.029541     0.047869      0.93143
Micro                   COVAR   14222     0.015939    0.0024131     0.068561      0.40808
Micro_out               COVAR   14222     0.066099      0.01476      0.05269      0.10484
Oligo_mat               COVAR   14222      0.07048     0.013556     0.057565      0.11042
Oligo.1                 COVAR   14222     0.069881     0.014063     0.054863      0.10139
Oligo.2                 COVAR   14222     0.075405     0.015658     0.052877     0.076938
Oligo.3                 COVAR   14222      0.07875     0.014843     0.058739     0.090026
Oligo.4                 COVAR   14222     0.068358      0.01212     0.061225      0.13212
Oligo.5                 COVAR   14222     0.083422     0.017248      0.05468     0.063563
OPC                     COVAR   14222     0.024733    0.0069407     0.053429      0.32172
OPC_dev                 COVAR   14222   -0.0065801   -0.0015029     0.065948      0.53974
OPC_MBP                 COVAR   14222    -0.014953   -0.0043411     0.043632      0.63409
PN_dev                  COVAR   14222    0.0028772    0.0018515     0.019818      0.44229
PV_dev                  COVAR   14222     -0.10626    -0.041983     0.044127      0.99198
PV_SCUBE3               COVAR   14222    -0.066152    -0.030732     0.041327      0.94526
PV_SST                  COVAR   14222    -0.070325    -0.027785     0.059851      0.87999
PV_SULF1                COVAR   14222    -0.021691    -0.010256      0.04856      0.67245
PV_SULF1_dev            COVAR   14222     0.023488     0.012586     0.041898      0.28754
PV_WFDC2                COVAR   14222     -0.06793    -0.032574     0.046521      0.92787
SST_ADGRG6              COVAR   14222    -0.056852    -0.024732     0.050624      0.86928
