# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 14222
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE               TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev.1           COVAR   14222     0.063829     0.021062     0.034555     0.032374
Astro_dev.2           COVAR   14222      0.15701     0.032872     0.062433    0.0059613
Astro_dev.3           COVAR   14222    0.0030958    0.0014928     0.022258      0.44469
Astro_dev.4           COVAR   14222     0.087547     0.026346     0.037721     0.010153
Astro_dev.5           COVAR   14222     0.069823     0.010542     0.077887      0.18501
Astro_GFAP            COVAR   14222      0.10651     0.029483     0.043046     0.006681
Astro_SLC1A2_dev      COVAR   14222     0.065675       0.0214     0.035267     0.031296
Astro_SLC1A2          COVAR   14222     0.041953    0.0096145     0.043542      0.16765
BKGR_NRGN             COVAR   14222    -0.032647   -0.0064434     0.067756      0.68503
CCK_RELN              COVAR   14222   -0.0043648   -0.0020023     0.049632      0.53504
CCK_SORCS1            COVAR   14222      0.03553      0.01517     0.051557      0.24537
CCK_SYT6              COVAR   14222    -0.044887     -0.02157     0.047189      0.82924
CGE_dev               COVAR   14222     -0.03622    -0.010426     0.032115      0.87029
ID2_CSMD1             COVAR   14222     0.017018    0.0072988     0.054692      0.37784
ID2_dev               COVAR   14222    -0.044816    -0.013531      0.07157       0.7344
L2_CUX2_LAMP5_dev     COVAR   14222    -0.058568    -0.022105     0.060989      0.83154
L2_CUX2_LAMP5         COVAR   14222    -0.052854    -0.014462     0.038018      0.91776
L2.3_CUX2_dev.1       COVAR   14222    -0.014797   -0.0067407     0.050437      0.61538
L2.3_CUX2_dev.2       COVAR   14222    -0.011842   -0.0064476     0.045081       0.6036
L2.3_CUX2_dev.3       COVAR   14222   -0.0033681   -0.0021497     0.038306      0.53503
L2.3_CUX2_dev.4       COVAR   14222   -0.0013648  -0.00037532     0.043932      0.51239
L2.3_CUX2_dev.5       COVAR   14222     -0.02112    -0.011244     0.038479      0.70845
L2.3_CUX2_dev.6       COVAR   14222   0.00010994   3.2168e-05     0.072046      0.49939
L3_CUX2_PRSS12        COVAR   14222     0.025128      0.01652     0.032923      0.22267
L4_RORB_dev.1         COVAR   14222     0.040734      0.02369     0.035614      0.12637
L4_RORB_dev.2         COVAR   14222     0.027036      0.01585     0.039245      0.24544
L4_RORB_LRRK1         COVAR   14222    -0.018997   -0.0087681     0.049179      0.65036
L4_RORB_MET           COVAR   14222   0.00029716   0.00013221     0.048493      0.49756
L4_RORB_MME           COVAR   14222   -0.0034517   -0.0016583     0.045472      0.53025
L5.6_THEMIS_CNR1      COVAR   14222   -0.0079539   -0.0040363      0.03971      0.57938
L5.6_THEMIS_dev.2     COVAR   14222     0.031584      0.01585     0.043406      0.23342
L5.6_THEMIS_NTNG2     COVAR   14222    -0.048282    -0.025088     0.036952      0.90432
L5.6_TLE4_HTR2C       COVAR   14222     0.012935    0.0055639     0.046727      0.39096
L5.6_TLE4_SCUBE1      COVAR   14222    -0.034375    -0.016678     0.042235      0.79214
L5.6_TLE4_SORCS1      COVAR   14222    -0.010326   -0.0045683      0.04716      0.58666
LAMP5_CCK             COVAR   14222    -0.021657   -0.0091355      0.05063      0.66558
LAMP5_NDNF            COVAR   14222    -0.030646    -0.015533     0.042915      0.76241
LAMP5_NOS1            COVAR   14222     -0.12555    -0.053518     0.050855      0.99322
Micro                 COVAR   14222   -0.0033803  -0.00064234     0.052321      0.52576
Micro_out             COVAR   14222     0.064567     0.010822     0.065753      0.16307
Oligo_mat             COVAR   14222     0.081655     0.025763     0.031453    0.0047197
Oligo.2               COVAR   14222     0.050153     0.013135      0.03463     0.073786
Oligo.4               COVAR   14222     0.064952     0.018998     0.037339     0.040984
OPC_dev               COVAR   14222      0.01934    0.0048177     0.059948       0.3735
OPC                   COVAR   14222      0.04434     0.011003     0.062909      0.24046
OPC_MBP               COVAR   14222   -0.0065735   -0.0018905     0.045087      0.55796
PV_dev                COVAR   14222    -0.094278      -0.0406     0.054928      0.95694
PV_SCUBE3_dev         COVAR   14222    -0.089096     -0.03838     0.047469      0.96972
PV_SCUBE3             COVAR   14222    -0.080246    -0.031321     0.049078      0.94897
PV_SST                COVAR   14222    -0.072854     -0.02897     0.062153      0.87942
PV_SULF1_dev          COVAR   14222     0.015794    0.0060292     0.055976      0.38892
PV_SULF1              COVAR   14222    -0.070806    -0.025787     0.060496      0.87907
PV_WFDC2              COVAR   14222    -0.073877    -0.028437     0.056023      0.90635
SST_ADGRG6_dev        COVAR   14222    -0.075473    -0.028591     0.058874      0.90005
SST_ADGRG6            COVAR   14222    -0.074449    -0.026063     0.062195      0.88434
SST_B3GAT2            COVAR   14222    -0.081792    -0.028236     0.064275       0.8984
SST_BRINP3            COVAR   14222    -0.056743    -0.022896     0.054212      0.85237
SST_CALB1_dev         COVAR   14222    -0.016247   -0.0054731     0.067448      0.59518
SST_CALB1             COVAR   14222    -0.021174   -0.0073673      0.05769       0.6432
SST_NPY               COVAR   14222    -0.044912    -0.022652     0.034614      0.90276
SST_STK32A            COVAR   14222   -0.0089216   -0.0031129     0.057003      0.56218
SST_TH                COVAR   14222    -0.027151    -0.011522     0.048519      0.71212
Vas_CLDN5             COVAR   14222     0.020073    0.0048299     0.039535      0.30583
Vas_PDGFRB            COVAR   14222     0.063465     0.013021     0.050161      0.10291
Vas_TBX18             COVAR   14222      0.10742     0.021514     0.054957     0.025324
VIP_ABI3BP            COVAR   14222    -0.015629   -0.0059933     0.062584       0.5986
VIP_ADAMTSL1          COVAR   14222     0.015026    0.0048573     0.074515       0.4201
VIP_CHRM2             COVAR   14222    -0.025415   -0.0090341     0.062723      0.65733
VIP_CRH               COVAR   14222    -0.027584   -0.0098028     0.065248      0.66376
VIP_dev               COVAR   14222    -0.006874   -0.0026851     0.038305      0.57121
VIP_DPP6              COVAR   14222   0.00090415    0.0003527     0.061035      0.49409
VIP_HS3ST3A1          COVAR   14222   -0.0014068  -0.00053741       0.0619      0.50907
VIP_KIRREL3           COVAR   14222    -0.047239    -0.015215     0.072426      0.74287
VIP_PCDH20            COVAR   14222    0.0043423    0.0015877     0.060608      0.47144
