# MEAN_SAMPLE_SIZE = 54890
# TOTAL_GENES = 14526
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                TYPE  NGENES         BETA     BETA_STD           SE            P
acinar                 COVAR   14526     0.063426     0.020077     0.048111     0.093711
activated_stellate     COVAR   14526     -0.11939    -0.037991     0.050952      0.99043
alpha                  COVAR   14526     0.029577    0.0071236       0.0772      0.35082
beta                   COVAR   14526    -0.024875   -0.0062729     0.069359      0.64006
delta                  COVAR   14526     -0.09232    -0.020891     0.080237      0.87504
ductal                 COVAR   14526     0.073524     0.021641     0.059426      0.10801
endothelial            COVAR   14526    -0.076254    -0.017194     0.064346      0.88199
epsilon                COVAR   14526     0.026884    0.0062253      0.06062      0.32871
gamma                  COVAR   14526   -0.0067339   -0.0014503     0.082903      0.53237
macrophage             COVAR   14526    0.0049665    0.0013095      0.04826      0.45902
mast                   COVAR   14526     0.026653    0.0040405     0.074703      0.36063
quiescent_stellate     COVAR   14526      -0.1755    -0.038972     0.074377      0.99085
schwann                COVAR   14526    -0.002299  -0.00055696      0.05556       0.5165
t_cell                 COVAR   14526    -0.020167   -0.0033202     0.060738      0.63007
