# MEAN_SAMPLE_SIZE = 54891
# TOTAL_GENES = 11977
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE       TYPE  NGENES         BETA     BETA_STD           SE            P
Astro         COVAR   11977      0.18708     0.025553     0.088969     0.017755
Endo          COVAR   11977     0.019065    0.0036108     0.060089      0.37552
Ex1           COVAR   11977     0.046988     0.013435     0.099355      0.31814
Ex2           COVAR   11977      0.16035     0.061647     0.083308     0.027141
Ex3e          COVAR   11977    0.0077955    0.0018265      0.10484      0.47036
Ex4           COVAR   11977      0.10555     0.023596      0.12298      0.19538
Ex5b          COVAR   11977      0.11003      0.03796     0.095903      0.12564
Ex6a          COVAR   11977     0.086582     0.023158     0.083249      0.14917
Ex6b          COVAR   11977      0.09495     0.025477       0.0991      0.16901
Ex8           COVAR   11977     0.018459    0.0056764     0.076662      0.40486
Ex9           COVAR   11977    -0.084778     -0.01701     0.060053      0.92097
In1a          COVAR   11977    -0.094949    -0.019557      0.11772      0.79004
In1b          COVAR   11977      0.15651     0.031245      0.13719      0.12699
In1c          COVAR   11977    -0.033167   -0.0057374      0.14276      0.59185
In3           COVAR   11977     -0.17495    -0.032556       0.1417       0.8915
In4a          COVAR   11977    -0.056469    -0.010217      0.11949      0.68174
In4b          COVAR   11977     -0.10015    -0.023043      0.09839      0.84562
In6a          COVAR   11977     -0.14661    -0.029097      0.10353      0.92162
In6b          COVAR   11977    -0.071876    -0.016862      0.10164      0.76026
In7           COVAR   11977    -0.063384    -0.012582      0.11819      0.70411
In8           COVAR   11977     0.019949    0.0036708      0.14038       0.4435
Microglia     COVAR   11977      0.23101     0.028753      0.16536     0.081224
Oligo         COVAR   11977      0.11189     0.010854      0.12715      0.18944
OPC           COVAR   11977     0.006335   0.00096164      0.11637      0.47829
Per           COVAR   11977       0.1521    0.0098975      0.19411      0.21665
