Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
GSE89232_Human_Blood	CB_pre_cDC	12192	-0.058132	-0.060597	0.032856	0.96157	0.96157	0.996876670716889
GSE89232_Human_Blood	Blood_pre_cDC	12192	NA	NA	NA	NA	NA	NA
GSE89232_Human_Blood	CD141_cDC	12192	NA	NA	NA	NA	NA	NA
GSE89232_Human_Blood	CD1c_cDC	12192	NA	NA	NA	NA	NA	NA
Allen_Human_LGN_level1	Non.Neuronal	14760	0.013845	0.02202	0.0097537	0.077891	0.233673	0.682473
Allen_Human_LGN_level1	Glutamatergic	14760	0.0017657	0.0043383	0.01113	0.43698	0.65547	0.996876670716889
Allen_Human_LGN_level1	GABAergic	14760	-0.024621	-0.054387	0.012372	0.9767	0.9767	0.996876670716889
Allen_Human_LGN_level2	Astro_LGR6	14760	0.012502	0.02312	0.0067055	0.031145	0.263316	0.516384
Allen_Human_LGN_level2	Astro_CPAMD8	14760	0.012675	0.021359	0.0074238	0.043886	0.263316	0.57360703125
Allen_Human_LGN_level2	Micro_C1QB	14760	0.0070778	0.0095255	0.0077396	0.18024	0.69783	0.88275
Allen_Human_LGN_level2	Oligo_MAG	14760	0.004976	0.0090542	0.0068135	0.23261	0.69783	0.985149305555556
Allen_Human_LGN_level2	LGN_Exc_PRKCG_GRB14	14760	0.0042898	0.010487	0.0086515	0.31	0.744	0.996876670716889
Allen_Human_LGN_level2	OPC_PDGFRA	14760	0.0015742	0.0027295	0.0079999	0.422	0.844	0.996876670716889
Allen_Human_LGN_level2	LGN_Exc_BTNL9	14760	-0.00023489	-0.00058093	0.0088523	0.51058	0.87528	0.996876670716889
Allen_Human_LGN_level2	LGN_Exc_PRKCG_BCHE	14760	-0.006155	-0.015143	0.0087939	0.758	0.98693	0.996876670716889
Allen_Human_LGN_level2	LGN_Inh_LAMP5	14760	-0.0074983	-0.016916	0.0073484	0.84622	0.98693	0.996876670716889
Allen_Human_LGN_level2	LGN_Inh_NTRK1	14760	-0.013763	-0.032909	0.0088829	0.93934	0.98693	0.996876670716889
Allen_Human_LGN_level2	LGN_Inh_TRPC4	14760	-0.020268	-0.046077	0.010536	0.97279	0.98693	0.996876670716889
Allen_Human_LGN_level2	LGN_Inh_CTXN3	14760	-0.020865	-0.048208	0.0093804	0.98693	0.98693	0.996876670716889
Allen_Human_MTG_level1	Non.neuronal	14760	0.01833	0.026931	0.011235	0.051402	0.154206	0.623627205882353
Allen_Human_MTG_level1	Glutamatergic	14760	-0.0044671	-0.010244	0.013447	0.63012	0.94518	0.996876670716889
Allen_Human_MTG_level1	GABAergic	14760	-0.035707	-0.072667	0.017096	0.98162	0.98162	0.996876670716889
Allen_Human_MTG_level2	Astro_L1.2_FGFR3_GFAP	14760	0.01942	0.0318	0.0065905	0.0016091	0.1206825	0.3098535
Allen_Human_MTG_level2	Astro_L1.6_FGFR3_SLC14A1	14760	0.012465	0.022936	0.0060565	0.0198	0.7425	0.497585
Allen_Human_MTG_level2	Exc_L4.5_FEZF2_SCN4B	14760	0.012805	0.031714	0.0089155	0.075473	0.941769230769231	0.682473
Allen_Human_MTG_level2	Exc_L3.5_RORB_TWIST2	14760	0.01549	0.034385	0.010843	0.076567	0.941769230769231	0.682473
Allen_Human_MTG_level2	Exc_L3.5_RORB_COL22A1	14760	0.012651	0.027562	0.010388	0.11164	0.941769230769231	0.74880487804878
Allen_Human_MTG_level2	Exc_L3.5_RORB_ESR1	14760	0.013483	0.02999	0.011384	0.11814	0.941769230769231	0.786012096774193
Allen_Human_MTG_level2	Micro_L1.3_TYROBP	14760	0.0077611	0.010713	0.0069547	0.13223	0.941769230769231	0.814102611940298
Allen_Human_MTG_level2	Exc_L3.4_RORB_CARM1P1	14760	0.011663	0.028208	0.010564	0.13481	0.941769230769231	0.81778125
Allen_Human_MTG_level2	Exc_L2.3_LINC00507_FREM3	14760	0.012059	0.028834	0.01118	0.1404	0.941769230769231	0.839347826086957
Allen_Human_MTG_level2	Oligo_L1.6_OPALIN	14760	0.0069196	0.010862	0.0067819	0.1538	0.941769230769231	0.867147959183674
Allen_Human_MTG_level2	Exc_L3.5_RORB_FILIP1L	14760	0.011133	0.02573	0.011173	0.15955	0.941769230769231	0.869368902439024
Allen_Human_MTG_level2	Inh_L1.2_GAD1_MC4R	14760	0.010058	0.020338	0.01077	0.17519	0.941769230769231	0.873307228915662
Allen_Human_MTG_level2	Inh_L1.2_SST_BAGE2	14760	0.010701	0.02125	0.01173	0.18083	0.941769230769231	0.88275
Allen_Human_MTG_level2	Inh_L2.4_VIP_SPAG17	14760	0.0083803	0.01747	0.010636	0.21538	0.941769230769231	0.963363031914894
Allen_Human_MTG_level2	OPC_L1.6_PDGFRA	14760	0.0053087	0.0090057	0.0078635	0.24981	0.941769230769231	0.985149305555556
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_CRABP1	14760	0.0054178	0.013014	0.0089185	0.27177	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_FEZF2_EFTUD1P1	14760	0.0060203	0.014591	0.010037	0.27431	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_FGF10	14760	0.0051336	0.012537	0.0088706	0.28139	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L4.5_SST_STK32A	14760	0.0054016	0.010804	0.011126	0.31367	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_SLC17A7_IL15	14760	0.0036437	0.0085903	0.010013	0.35797	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.5_VIP_SERPINF1	14760	0.0038682	0.0079458	0.010814	0.36028	0.941769230769231	0.996876670716889
