# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12811
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_Gja1                 COVAR   12811    0.0072245       0.0153    0.0044637     0.052792
HIP_Exc_Neurod6            COVAR   12811   -0.0055278    -0.015276    0.0073878      0.77283
LGN_Exc_Scn4b              COVAR   12811   -0.0026661   -0.0075604    0.0077394      0.63476
LGN_Inh_Chrna6_Cnr1        COVAR   12811     0.012413     0.034345     0.010067      0.10879
LGN_Inh_Chrna6_Dscaml1     COVAR   12811     0.013469     0.036684      0.01018     0.092929
LGN_Inh_Chrna6_Pax7        COVAR   12811  -0.00026572  -0.00072551     0.010529      0.51007
LP_Exc_Glra3               COVAR   12811    -0.015312    -0.043381     0.008399      0.96584
Micro_Ctss                 COVAR   12811    -0.001053   -0.0022378    0.0044676      0.59317
Oligo_Opalin               COVAR   12811    0.0031049    0.0072666    0.0051788      0.27441
Oligo_Rassf10              COVAR   12811    0.0005367    0.0013727    0.0056335      0.46205
OPC_Pdgfra                 COVAR   12811     0.005904     0.013752    0.0064373      0.17954
RT_Inh_Pvalb               COVAR   12811    -0.014233    -0.038912     0.009277       0.9375
vLGN_Inh_Dlx5_Cbln2        COVAR   12811  -0.00070394   -0.0018734      0.01259      0.52229
vLGN_Inh_Rspo2             COVAR   12811    -0.012932    -0.034921     0.010019      0.90158
vLGN_Inh_Shox2_Htr1a       COVAR   12811      0.00192    0.0050919     0.010556      0.42784
vLGN_Inh_Shox2_Sox14       COVAR   12811    -0.014211    -0.038412     0.012109      0.87971
vLGN_Inh_Spata20           COVAR   12811   -0.0093868    -0.025773     0.010131      0.82291
