# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12811
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Astro          COVAR   12811     0.012817     0.024425    0.0059372     0.015443
CR             COVAR   12811  -0.00017204  -0.00036637    0.0068194      0.51006
Endo           COVAR   12811  -0.00023863  -0.00044981    0.0055301      0.51721
L2.3_IT        COVAR   12811   -0.0032813   -0.0090251     0.009228      0.63892
L4             COVAR   12811     0.001119    0.0029842    0.0087062      0.44887
L5_IT          COVAR   12811   -0.0013695   -0.0037748     0.010474      0.55201
L5_PT          COVAR   12811    0.0082833     0.023121      0.00959      0.19387
L6_CT          COVAR   12811    0.0075516     0.020875    0.0098307       0.2212
L6_IT          COVAR   12811    -0.005308    -0.014642    0.0098886      0.70428
L6b            COVAR   12811    0.0020217    0.0056313    0.0092773      0.41375
Lamp5          COVAR   12811   0.00038572    0.0010308     0.010474      0.48531
Macrophage     COVAR   12811    -0.002726   -0.0044746    0.0058712      0.67878
Meis2          COVAR   12811   -0.0046968     -0.00977    0.0083131      0.71395
NP             COVAR   12811   -0.0050522    -0.013324    0.0097499      0.69783
Oligo          COVAR   12811   3.4211e-05   6.2806e-05    0.0071633      0.49809
Peri           COVAR   12811    0.0039399    0.0064658    0.0064559      0.27084
Pvalb          COVAR   12811    -0.014441    -0.039175    0.0093027       0.9397
Serpinf1       COVAR   12811   0.00085065    0.0022573    0.0096145      0.46475
SMC            COVAR   12811   -0.0022572   -0.0044319    0.0057725      0.65211
Sncg           COVAR   12811   -0.0021811   -0.0059437    0.0091949      0.59375
Sst            COVAR   12811    -0.009987    -0.026696     0.010444      0.83051
Vip            COVAR   12811   -0.0052175    -0.013028      0.01118      0.67963
VLMC           COVAR   12811     0.002302    0.0043213    0.0060811      0.35252
