# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12811
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                        TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_Aqp4                     COVAR   12811     0.012185      0.02322    0.0055941     0.014708
CR_Lhx5                        COVAR   12811    0.0010559    0.0022486    0.0063777      0.43425
Endo_Ctla2a                    COVAR   12811   0.00014273   0.00027239    0.0051245      0.48889
Endo_Cytl1                     COVAR   12811    0.0066342     0.012461    0.0046116     0.075146
L2.3_IT_ALM_Sla                COVAR   12811    0.0050572     0.015567    0.0049792      0.15491
L2.3_IT_VISp_Adamts2           COVAR   12811    0.0049822     0.013727    0.0094299      0.29864
L2.3_IT_VISp_Agmat             COVAR   12811     -0.00256   -0.0070765    0.0095812      0.60534
L2.3_IT_VISp_Rrad              COVAR   12811    0.0017083    0.0047188    0.0081285      0.41677
L4_IT_VISp_Rspo1               COVAR   12811     0.003788     0.010102    0.0088188      0.33377
L5_IT_ALM_Cpa6_Gpr88           COVAR   12811   -0.0034413    -0.010473    0.0055394      0.73278
L5_IT_ALM_Npw                  COVAR   12811    0.0044023     0.013442    0.0050122       0.1899
L5_IT_VISp_Batf3               COVAR   12811    0.0082492     0.022878     0.011073      0.22815
L5_IT_VISp_Col27a1             COVAR   12811    0.0016575    0.0046066     0.010586      0.43779
L5_IT_VISp_Col6a1_Fezf2        COVAR   12811    0.0002963    0.0008168     0.010825      0.48908
L5_IT_VISp_Hsd11b1_Endou       COVAR   12811   -0.0053107    -0.014732     0.010338      0.69627
L5_IT_VISp_Whrn_Tox2           COVAR   12811   -0.0014041   -0.0039534      0.01014      0.55506
L5_NP_ALM_Trhr_Nefl            COVAR   12811   -0.0063966    -0.018059    0.0075362      0.80199
L5_NP_VISp_Trhr_Cpne7          COVAR   12811   -0.0045541    -0.011943    0.0099243      0.67684
L5_NP_VISp_Trhr_Met            COVAR   12811   0.00093002    0.0024831    0.0098357      0.46233
L5_PT_VISp_C1ql2_Cdh13         COVAR   12811     0.014885     0.042019    0.0099222     0.066801
L5_PT_VISp_C1ql2_Ptgfr         COVAR   12811     0.013356     0.037878    0.0094107     0.077924
L5_PT_VISp_Chrna6              COVAR   12811   -0.0052783    -0.014758     0.010121        0.699
L5_PT_VISp_Krt80               COVAR   12811     0.017935     0.050349     0.010229     0.039785
L5_PT_VISp_Lgr5                COVAR   12811     0.010232     0.028886     0.009246      0.13424
L6_CT_ALM_Cpa6                 COVAR   12811    0.0025706    0.0082487    0.0042612      0.27318
L6_CT_ALM_Nxph2_Sla            COVAR   12811   -0.0028775   -0.0080725    0.0087457      0.62893
L6_CT_VISp_Ctxn3_Brinp3        COVAR   12811     0.012474     0.034769      0.00974      0.10016
L6_CT_VISp_Ctxn3_Sla           COVAR   12811     0.016081     0.044651     0.010229     0.057979
L6_CT_VISp_Gpr139              COVAR   12811    0.0084918     0.023634    0.0096037       0.1883
L6_CT_VISp_Krt80_Sla           COVAR   12811    0.0063802     0.017716      0.01055      0.27268
L6_CT_VISp_Nxph2_Wls           COVAR   12811    0.0077628     0.021364     0.010612      0.23223
L6_IT_ALM_Oprk1                COVAR   12811    0.0014649    0.0043521    0.0061909      0.40647
L6_IT_ALM_Tgfb1                COVAR   12811   -0.0023893   -0.0074912    0.0047306      0.69324
L6_IT_VISp_Car3                COVAR   12811   -0.0040516     -0.01124    0.0094272      0.66632
L6_IT_VISp_Col18a1             COVAR   12811    -0.010751    -0.029855     0.010478      0.84756
L6_IT_VISp_Col23a1_Adamts2     COVAR   12811   0.00010886   0.00030066     0.010431      0.49584
L6_IT_VISp_Penk_Col27a1        COVAR   12811  -0.00077173   -0.0021435     0.010273      0.52994
L6_IT_VISp_Penk_Fst            COVAR   12811   -0.0046551    -0.012911    0.0096999      0.68435
L6b_Hsd17b2                    COVAR   12811    0.0027771    0.0078568    0.0079671      0.36371
L6b_P2ry12                     COVAR   12811    -0.004159    -0.011733    0.0093645      0.67152
L6b_VISp_Col8a1_Rprm           COVAR   12811    0.0041511       0.0116    0.0099115      0.33768
L6b_VISp_Col8a1_Rxfp1          COVAR   12811     0.010574     0.029614    0.0095055      0.13299
L6b_VISp_Crh                   COVAR   12811     0.004809     0.013562     0.009392      0.30432
L6b_VISp_Mup5                  COVAR   12811    0.0075081     0.021189    0.0094568      0.21362
Lamp5_Fam19a1_Pax6             COVAR   12811   -0.0057652    -0.015851     0.010456      0.70931
Lamp5_Fam19a1_Tmem182          COVAR   12811    -0.002839   -0.0077772     0.010507      0.60649
Lamp5_Krt73                    COVAR   12811     0.018353     0.050872    0.0097826     0.030337
Lamp5_Lhx6                     COVAR   12811   -0.0098485    -0.026843     0.010092      0.83541
Lamp5_Lsp1                     COVAR   12811     0.010492     0.028729     0.010411      0.15681
Lamp5_Ntn1_Npy2r               COVAR   12811   0.00086855    0.0022963     0.012167      0.47155
Lamp5_Plch2_Dock5              COVAR   12811   -0.0018311   -0.0048689     0.011205      0.56491
Meis2_Adamts19                 COVAR   12811   -0.0023894   -0.0049703    0.0077867      0.62052
Microglia_Siglech              COVAR   12811   -0.0022044   -0.0035941    0.0055767      0.65368
Oligo_Rassf10                  COVAR   12811    0.0047797     0.011468     0.004571      0.14787
Oligo_Serpinb1a                COVAR   12811   -0.0018346   -0.0035632    0.0053704      0.63368
Oligo_Synpr                    COVAR   12811    0.0023136     0.005581    0.0047322      0.31246
OPC_Pdgfra_Ccnb1               COVAR   12811    0.0032447    0.0085077    0.0038603      0.20031
OPC_Pdgfra_Grm5                COVAR   12811    0.0031349    0.0058335    0.0062547      0.30812
Peri_Kcnj8                     COVAR   12811    0.0043092    0.0070718    0.0060161      0.23692
Pvalb_Akr1c18_Ntf3             COVAR   12811    -0.011711    -0.032283     0.009908      0.88139
Pvalb_Calb1_Sst                COVAR   12811     -0.01719    -0.047189      0.01076      0.94492
Pvalb_Gabrg1                   COVAR   12811    -0.010235    -0.027016    0.0099769      0.84752
Pvalb_Gpr149_Islr              COVAR   12811      -0.0187    -0.050721     0.010199      0.96663
Pvalb_Reln_Itm2a               COVAR   12811   -0.0074802    -0.020965    0.0091374       0.7935
Pvalb_Reln_Tac1                COVAR   12811    -0.019878    -0.053866      0.01096      0.96513
Pvalb_Sema3e_Kank4             COVAR   12811    -0.011229    -0.031514    0.0092742        0.887
Pvalb_Th_Sst                   COVAR   12811     -0.01843    -0.049772     0.011059      0.95219
Pvalb_Tpbg                     COVAR   12811    -0.010927    -0.030428     0.010321      0.85513
Pvalb_Vipr2                    COVAR   12811    -0.014559    -0.039554    0.0097492      0.93231
PVM_Mrc1                       COVAR   12811   0.00068787    0.0014628    0.0043663      0.43741
