# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12058
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
GABA_Igtp        COVAR   12058   -0.0024098   -0.0048554     0.011998      0.57959
GABA_Ndnf        COVAR   12058    0.0037883    0.0072205     0.017899      0.41619
GABA_Pvalb       COVAR   12058    -0.010659    -0.021869     0.013458      0.78582
GABA_Smad3       COVAR   12058   -0.0012914   -0.0026174     0.011532      0.54458
GABA_Sncg        COVAR   12058    -0.010381    -0.021469     0.011611      0.81433
GABA_Sst         COVAR   12058    -0.016519    -0.032885     0.016103      0.84751
GABA_Vip         COVAR   12058   -0.0056328    -0.010062     0.017108      0.62902
Gluta_L2         COVAR   12058    0.0040547    0.0081436     0.013576       0.3826
Gluta_L2_3       COVAR   12058    -0.017006    -0.034528     0.014488      0.87975
Gluta_L4         COVAR   12058    -0.011459    -0.021908      0.01544        0.771
Gluta_L5         COVAR   12058    0.0024593    0.0049836     0.013551        0.428
Gluta_L5a        COVAR   12058    -0.021816    -0.044273     0.016873      0.90197
Gluta_L5b        COVAR   12058   -0.0019821   -0.0041768     0.013941      0.55653
Gluta_L6a        COVAR   12058   -0.0071971    -0.014432      0.01712      0.66289
Gluta_L6b        COVAR   12058    -0.013252     -0.02802     0.013141      0.84337
NonNeu_Astro     COVAR   12058     0.018882     0.025196    0.0090462     0.018443
NonNeu_Endo      COVAR   12058    0.0036498    0.0044461    0.0087027      0.33747
NonNeu_Micro     COVAR   12058   -0.0027697   -0.0032832    0.0082707      0.63114
NonNeu_Oligo     COVAR   12058    0.0053431    0.0077131    0.0089204       0.2746
NonNeu_OPC       COVAR   12058     0.011423       0.0158    0.0096404      0.11803
NonNeu_SMC       COVAR   12058    0.0086404     0.011437    0.0093017      0.17648
