# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Cplx3.1_1           COVAR   12856    0.0057301     0.015772    0.0092902      0.26869 Neuron_Gad1Gad2_Cplx3.1_1
Neuron_Gad1Gad2-Slc17a8_Synp...     COVAR   12856    0.0075618     0.020978    0.0083707      0.18318 Neuron_Gad1Gad2-Slc17a8_Synpr-Sncg-Yjefn3.1_10
Neuron_Gad1Gad2_Synpr-Sncg.1...     COVAR   12856     0.004277     0.011938     0.008229      0.30162 Neuron_Gad1Gad2_Synpr-Sncg.1_11
Neuron_Gad1Gad2_Cplx3-Reln.1...     COVAR   12856    0.0044708     0.012369    0.0095103      0.31915 Neuron_Gad1Gad2_Cplx3-Reln.1_2
Neuron_Gad1Gad2_Synpr-Nnat.1...     COVAR   12856  -0.00083966   -0.0024382    0.0067113      0.54978 Neuron_Gad1Gad2_Synpr-Nnat.1_3
Neuron_Gad1Gad2_Synpr-Crispl...     COVAR   12856     0.013269     0.037152    0.0081292     0.051331 Neuron_Gad1Gad2_Synpr-Crispld2.1_4
Neuron_Gad1Gad2-Chat_Synpr-S...     COVAR   12856    0.0092018      0.02532     0.009104      0.15608 Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.1_5
Neuron_Gad1Gad2_Synpr-Pcdh11...     COVAR   12856    0.0067259      0.01853    0.0092456      0.23347 Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6
Neuron_Gad1Gad2_Synpr-Dpy19l...     COVAR   12856    0.0009322     0.002662    0.0074307      0.45008 Neuron_Gad1Gad2_Synpr-Dpy19l1.1_7
Neuron_Gad1Gad2_Cplx3-Dpy19l...     COVAR   12856    0.0072084     0.021366    0.0060138      0.11534 Neuron_Gad1Gad2_Cplx3-Dpy19l1.1_8
Neuron_Gad1Gad2_Cplx3-Crim1....     COVAR   12856   -0.0010336   -0.0029579    0.0075069      0.55475 Neuron_Gad1Gad2_Cplx3-Crim1.1_9
Polydendrocyte_Tnr_Cspg5.10_1       COVAR   12856     0.012848     0.034943    0.0070181     0.033582 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2        COVAR   12856   -0.0042191    -0.012039    0.0049538       0.8028 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Pdgfa.10_3       COVAR   12856  -4.1886e-07  -1.1641e-06    0.0055776      0.50003 Polydendrocyte_Tnr_Pdgfa.10_3
Polydendrocyte_Tnr_Opalin.10...     COVAR   12856   -0.0036935    -0.010498     0.004614      0.78828 Polydendrocyte_Tnr_Opalin.10_4
Polydendrocyte_Tnr_Bmp4-_Ptg...     COVAR   12856   0.00045375    0.0012598    0.0058473      0.46907 Polydendrocyte_Tnr_Bmp4-_Ptgds.10_5
Polydendrocyte_Tnr_Bmp4-Gpr1...     COVAR   12856    0.0067508     0.019107     0.005873      0.12519 Polydendrocyte_Tnr_Bmp4-Gpr17.10_6
Microglia_C1qb_Tmem119.11_1         COVAR   12856   -0.0028078   -0.0073545    0.0060626      0.67836 Microglia_C1qb_Tmem119.11_1
Neuron_Slc17a6_Reln.11_2            COVAR   12856   -0.0013616   -0.0043489    0.0037149      0.64301 Neuron_Slc17a6_Reln.11_2
Macrophage_C1qb_Mrc1.11_3           COVAR   12856    -0.003253    -0.009084    0.0044381       0.7682 Macrophage_C1qb_Mrc1.11_3
Microglia_C1qb_Tmem119-Fos.1...     COVAR   12856   -0.0036475      -0.0116    0.0029617      0.89093 Microglia_C1qb_Tmem119-Fos.11_4
Endothelial_Stalk_Flt1_Gkn3....     COVAR   12856    -0.003213   -0.0085156    0.0055221      0.71966 Endothelial_Stalk_Flt1_Gkn3.12_1
Endothelial_Stalk_Flt1_Mgp.1...     COVAR   12856   -0.0044058    -0.012506     0.004311       0.8466 Endothelial_Stalk_Flt1_Mgp.12_2
Endothelial_Stalk_Flt1_Car4....     COVAR   12856   -0.0014425   -0.0038419    0.0055624       0.6023 Endothelial_Stalk_Flt1_Car4.12_3
Endothelial_Stalk_Flt1_Cfh.1...     COVAR   12856   -0.0036375   -0.0097462    0.0053482      0.75179 Endothelial_Stalk_Flt1_Cfh.12_4
Endothelial_Stalk_Flt1_Lrg1....     COVAR   12856   -0.0023272   -0.0070149     0.003695      0.73559 Endothelial_Stalk_Flt1_Lrg1.12_5
Mural_Rgs5Acta2_Cnn1.13_1           COVAR   12856   -0.0017437   -0.0046256    0.0053408      0.62797 Mural_Rgs5Acta2_Cnn1.13_1
Mural_Rgs5Acta2_Ccnd1.13_2          COVAR   12856   -0.0014909   -0.0039798    0.0053908      0.60894 Mural_Rgs5Acta2_Ccnd1.13_2
