# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Chat-Gad1Gad2-Slc17a8...2     COVAR   12856   -0.0064963    -0.017756     0.007456      0.80819 Neuron_Chat-Gad1Gad2-Slc17a8_Ngfr.1_1
Neuron_Chat-Gad1Gad2-Slc17a8...1     COVAR   12856   -0.0028577   -0.0080728    0.0065226      0.66935 Neuron_Chat-Gad1Gad2-Slc17a8_Nefm.1_2
Oligodendrocyte_Trf_Mbp.10_1         COVAR   12856    0.0043209     0.011377    0.0068331      0.26359 Oligodendrocyte_Trf_Mbp.10_1
Oligodendrocyte_Trf_Klk6.10_2        COVAR   12856   -0.0010652   -0.0028345    0.0061747      0.56848 Oligodendrocyte_Trf_Klk6.10_2
Oligodendrocyte_Trf_Ttyh1.10...      COVAR   12856    0.0050709      0.01351     0.006278      0.20963 Oligodendrocyte_Trf_Ttyh1.10_3
Oligodendrocyte_Trf_Ctps.10_4        COVAR   12856    0.0066183     0.018073    0.0054233      0.11118 Oligodendrocyte_Trf_Ctps.10_4
Oligodendrocyte_Trf_Il33.10_5        COVAR   12856    0.0051713     0.013708    0.0065907      0.21634 Oligodendrocyte_Trf_Il33.10_5
Oligodendrocyte_Trf_Kif5b.10...      COVAR   12856     0.007638     0.020117    0.0066437      0.12515 Oligodendrocyte_Trf_Kif5b.10_6
Microglia_C1qb_Tmem119.11_1          COVAR   12856    0.0033838    0.0094439    0.0044187      0.22191 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   12856    0.0051621     0.014534    0.0042072      0.10993 Macrophage_C1qb_Mrc1.11_2
Neuron_Gad1Gad2_Tac1.2_1             COVAR   12856   -0.0062227    -0.017755    0.0063891      0.83495 Neuron_Gad1Gad2_Tac1.2_1
Neuron_Gad1Gad2_Cadm2.2_10           COVAR   12856  -0.00094868   -0.0027479    0.0049054      0.57667 Neuron_Gad1Gad2_Cadm2.2_10
Neuron_Slc17a7_Neurod2-Rorb....      COVAR   12856  -0.00032741  -0.00091634    0.0065196      0.52003 Neuron_Slc17a7_Neurod2-Rorb.2_11
Neuron_Slc17a7_Neurod2-C1ql3...      COVAR   12856   -0.0049582    -0.014121    0.0056614      0.80942 Neuron_Slc17a7_Neurod2-C1ql3.2_12
Neuron_Gad1Gad2_Grem.2_13            COVAR   12856  -0.00093645   -0.0025558    0.0081477      0.54575 Neuron_Gad1Gad2_Grem.2_13
Neuron_Gad1Gad2_Scn4b.2_14           COVAR   12856     0.011738     0.031297    0.0075861     0.060902 Neuron_Gad1Gad2_Scn4b.2_14
Neuron_Gad1Gad2_Fibcd1.2_15          COVAR   12856      0.00717     0.019009    0.0087044      0.20506 Neuron_Gad1Gad2_Fibcd1.2_15
Neuron_Gad1Gad2_Trdn.2_16            COVAR   12856  -0.00042605   -0.0011516    0.0077405      0.52195 Neuron_Gad1Gad2_Trdn.2_16
Neuron_Gad1Gad2_Elfn1-Grik3....      COVAR   12856   -0.0054081     -0.01481    0.0077674      0.75686 Neuron_Gad1Gad2_Elfn1-Grik3.2_17
Neuron_Gad1Gad2_Pappa.2_18           COVAR   12856   -0.0099805    -0.027592    0.0074421      0.91004 Neuron_Gad1Gad2_Pappa.2_18
Neuron_Gad1Gad2_Cyp26b1.2_19         COVAR   12856    0.0061173     0.016671     0.008634      0.23932 Neuron_Gad1Gad2_Cyp26b1.2_19
Neuron_Slc17a6_Cck.2_2               COVAR   12856    0.0010507    0.0028646    0.0072429      0.44233 Neuron_Slc17a6_Cck.2_2
Neuron_Gad1Gad2_Six3-Pvalb.2...      COVAR   12856   -0.0073696    -0.020531    0.0070902      0.85068 Neuron_Gad1Gad2_Six3-Pvalb.2_20
Neuron_Gad1Gad2_Vip.2_21             COVAR   12856   -0.0011687   -0.0032895    0.0068325       0.5679 Neuron_Gad1Gad2_Vip.2_21
Neuron_Gad1Gad2_Lamp5-Cplx3....      COVAR   12856    0.0004116    0.0012933    0.0040927      0.45995 Neuron_Gad1Gad2_Lamp5-Cplx3.2_22
Neuron_Gad1Gad2_Trh.2_23             COVAR   12856    0.0011906     0.003497    0.0054709      0.41386 Neuron_Gad1Gad2_Trh.2_23
Neuron_Gad1Gad2_Igfbp4_Rgs4....      COVAR   12856   -0.0023313   -0.0065387    0.0069839      0.63074 Neuron_Gad1Gad2_Igfbp4_Rgs4.2_24
Neuron_Gad1Gad2_Igfbp4_Adora...      COVAR   12856   -0.0031699   -0.0090518    0.0065198      0.68658 Neuron_Gad1Gad2_Igfbp4_Adora1.2_25
Neuron_Gad1Gad2_Tac2.2_3             COVAR   12856   -0.0017063    -0.004544     0.008555      0.57905 Neuron_Gad1Gad2_Tac2.2_3
Neuron_Gad1Gad2_Hpcal4.2_4           COVAR   12856    0.0040778     0.010879    0.0084265      0.31422 Neuron_Gad1Gad2_Hpcal4.2_4
Neuron_Gad1Gad2_Sst.2_5              COVAR   12856    -0.010537    -0.028904    0.0078151       0.9112 Neuron_Gad1Gad2_Sst.2_5
Neuron_Gad1Gad2_Satb1.2_6            COVAR   12856    0.0018756     0.005124    0.0079101      0.40628 Neuron_Gad1Gad2_Satb1.2_6
Neuron_Gad1Gad2-Slc17a6_Cbln...      COVAR   12856     0.011634     0.031944    0.0076433     0.064004 Neuron_Gad1Gad2-Slc17a6_Cbln1.2_7
Neuron_Slc17a6_Tcf7l2.2_8            COVAR   12856    0.0038557     0.010444    0.0078785      0.31229 Neuron_Slc17a6_Tcf7l2.2_8
Neuron_Slc17a6_Rspo3.2_9             COVAR   12856     0.006294     0.017172    0.0079828      0.21523 Neuron_Slc17a6_Rspo3.2_9
Neuron_Gad1Gad2_Drd1-Nefm.3_1        COVAR   12856    0.0024087    0.0065033    0.0078555      0.37957 Neuron_Gad1Gad2_Drd1-Nefm.3_1
Neuron_Gad1Gad2_Vipr2.3_10           COVAR   12856   -0.0019275   -0.0057725    0.0048105      0.65567 Neuron_Gad1Gad2_Vipr2.3_10
Neuron_Gad1Gad2_Drd1-Pdyn.3_2        COVAR   12856    0.0010877    0.0029982    0.0073456      0.44114 Neuron_Gad1Gad2_Drd1-Pdyn.3_2
Neuron_Gad1Gad2_Adora2a.3_3          COVAR   12856   -0.0028968    -0.007859    0.0075937      0.64857 Neuron_Gad1Gad2_Adora2a.3_3
Neuron_Gad1Gad2_Cadm2.3_4            COVAR   12856    0.0038953      0.01075     0.006442       0.2727 Neuron_Gad1Gad2_Cadm2.3_4
Neuron_Gad1Gad2_Drd1-Pde1c.3...      COVAR   12856    0.0061062     0.016846    0.0073866      0.20422 Neuron_Gad1Gad2_Drd1-Pde1c.3_5
Neuron_Gad1Gad2_Adora2a-Pde1...      COVAR   12856      0.00621     0.017043    0.0075246      0.20461 Neuron_Gad1Gad2_Adora2a-Pde1c.3_6
Neuron_Gad1Gad2_Sphkap-Tmem2...      COVAR   12856   -0.0066579    -0.018188    0.0082454      0.79029 Neuron_Gad1Gad2_Sphkap-Tmem255a.3_7
Neuron_Gad1Gad2_Sphkap-Cpne4...      COVAR   12856   -0.0083591    -0.023447    0.0067144      0.89341 Neuron_Gad1Gad2_Sphkap-Cpne4.3_8
Neuron_Gad1Gad2-Th_Adora2a-T...      COVAR   12856  -0.00091777   -0.0024981    0.0080472       0.5454 Neuron_Gad1Gad2-Th_Adora2a-Th.3_9
Polydendrocyte_Tnr_Pdgfa-Pik...      COVAR   12856    0.0016017    0.0044777     0.005923      0.39342 Polydendrocyte_Tnr_Pdgfa-Pik3r3.4_1
Polydendrocyte_Tnr_Pdgfa-Tme...      COVAR   12856    0.0030112    0.0083951    0.0053587      0.28709 Polydendrocyte_Tnr_Pdgfa-Tmem2.4_2
Polydendrocyte_Tnr_Opalin.4_3        COVAR   12856    0.0029716    0.0083971    0.0047463      0.26563 Polydendrocyte_Tnr_Opalin.4_3
Polydendrocyte_Tnr_Bmp4.4_4          COVAR   12856    0.0077157     0.021487    0.0063429      0.11192 Polydendrocyte_Tnr_Bmp4.4_4
Polydendrocyte_Tnr_Cspg5.4_5         COVAR   12856    0.0076973     0.021009    0.0071369      0.14041 Polydendrocyte_Tnr_Cspg5.4_5
Mitotic_MkI67.4_6                    COVAR   12856    0.0019489    0.0063882    0.0031772      0.26982 Mitotic_MkI67.4_6
Polydendrocyte_Tnr_Cyth3.4_7         COVAR   12856   3.3464e-06   1.0289e-05    0.0028755      0.49954 Polydendrocyte_Tnr_Cyth3.4_7
Astrocyte_Gja1_Gfap.5_1              COVAR   12856    0.0022108    0.0057459    0.0064397      0.36569 Astrocyte_Gja1_Gfap.5_1
Astrocyte_Gja1_Crym.5_2              COVAR   12856     0.004077     0.010691    0.0061071      0.25221 Astrocyte_Gja1_Crym.5_2
Ependymal_Ccdc153.6_1                COVAR   12856   -0.0039857    -0.011641    0.0037437      0.85647 Ependymal_Ccdc153.6_1
Endothelial_Stalk_Flt1_Apold...      COVAR   12856   -0.0050684    -0.014072    0.0049379      0.84764 Endothelial_Stalk_Flt1_Apold1.7_1
Endothelial_Stalk_Flt1_Cdkn1...      COVAR   12856   -0.0069903    -0.019033    0.0051778      0.91149 Endothelial_Stalk_Flt1_Cdkn1c.7_2
Endothelial_Stalk_Flt1_Mgp.7...      COVAR   12856   -0.0048194     -0.01346    0.0046852      0.84816 Endothelial_Stalk_Flt1_Mgp.7_3
Endothelial_Stalk_Flt1_Lcn2....      COVAR   12856   -0.0044341    -0.012387    0.0048036        0.822 Endothelial_Stalk_Flt1_Lcn2.7_4
Endothelial_Stalk_Flt1_Car4....      COVAR   12856   -0.0022125   -0.0060637    0.0052182      0.66421 Endothelial_Stalk_Flt1_Car4.7_5
Endothelial_Stalk_Flt1_Angpt...      COVAR   12856    -0.004074    -0.011181     0.005144      0.78581 Endothelial_Stalk_Flt1_Angpt2.7_6
Mural_Rgs5Acta2_Acta2.8_1            COVAR   12856   -0.0047809    -0.012918     0.005076      0.82686 Mural_Rgs5Acta2_Acta2.8_1
Mural_Rgs5Acta2_Kcnj8.8_2            COVAR   12856    0.0029982    0.0087976    0.0042893      0.24229 Mural_Rgs5Acta2_Kcnj8.8_2
Mural_Rgs5Acta2_Lmcd1.8_3            COVAR   12856    -0.004744    -0.014601    0.0034721      0.91407 Mural_Rgs5Acta2_Lmcd1.8_3
Mural_Rgs5Acta2_Rgs5.8_4             COVAR   12856   -0.0029445   -0.0080179    0.0051697      0.71551 Mural_Rgs5Acta2_Rgs5.8_4
Mural_Rgs5Acta2_Pappa2.8_5           COVAR   12856  -0.00075893   -0.0023969     0.002971      0.60081 Mural_Rgs5Acta2_Pappa2.8_5
Endothelial_Tip_Dcn_Mgp.9_1          COVAR   12856     0.007957     0.022686    0.0044744     0.037689 Endothelial_Tip_Dcn_Mgp.9_1
Endothelial_Tip_Dcn_Col15a1....      COVAR   12856    0.0010055    0.0028921    0.0042143      0.40571 Endothelial_Tip_Dcn_Col15a1.9_2
Endothelial_Tip_Dcn_Ifitm1.9...      COVAR   12856   -0.0024033   -0.0067935    0.0042119      0.71586 Endothelial_Tip_Dcn_Ifitm1.9_3
