# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Pvalb_C1ql1....      COVAR   12856   -0.0018832    -0.005362    0.0077368      0.59616 Neuron_Gad1Gad2_Pvalb_C1ql1.1_1
Neuron_Gad1Gad2_Sst_Pcdh11x....      COVAR   12856    -0.010673    -0.030823      0.00732      0.92758 Neuron_Gad1Gad2_Sst_Pcdh11x.1_10
Gad1Gad2_Cplx3_Rxfp1.1_11            COVAR   12856   -0.0057687    -0.016446    0.0086192      0.74834 Gad1Gad2_Cplx3_Rxfp1.1_11
Gad1Gad2_Cplx3_Tox.1_12              COVAR   12856   -0.0032198   -0.0093127    0.0077612      0.66087 Gad1Gad2_Cplx3_Tox.1_12
Gad1Gad2_Id2_Tac1.1_13               COVAR   12856   -0.0090713     -0.02611    0.0075183      0.88619 Gad1Gad2_Id2_Tac1.1_13
Gad1Gad2_Id2_Bcl11b.1_14             COVAR   12856    0.0034188    0.0096259    0.0092752      0.35622 Gad1Gad2_Id2_Bcl11b.1_14
Gad1Gad2_Id2_Prlr.1_15               COVAR   12856   -0.0054074    -0.015317    0.0088956      0.72836 Gad1Gad2_Id2_Prlr.1_15
Gad1Gad2_Htr3a_Nnat.1_16             COVAR   12856    -0.012172    -0.035903    0.0067239      0.96486 Gad1Gad2_Htr3a_Nnat.1_16
Gad1Gad2Chat_Htr3a_Chat.1_17         COVAR   12856    0.0037133     0.010449     0.009115      0.34186 Gad1Gad2Chat_Htr3a_Chat.1_17
Gad1Gad2_Htr3a_Phlda1.1_18           COVAR   12856  -0.00054903   -0.0015738    0.0077366      0.52829 Gad1Gad2_Htr3a_Phlda1.1_18
Gad1Gad2_Htr3a_Efba5.1_19            COVAR   12856   -0.0027052   -0.0079093    0.0068005      0.65461 Gad1Gad2_Htr3a_Efba5.1_19
Neuron_Gad1Gad2_Id2_Sfrp2.1_2        COVAR   12856  -0.00016196  -0.00048053     0.006329      0.51021 Neuron_Gad1Gad2_Id2_Sfrp2.1_2
Gad1Gad2_Htr3a_Cpne5.1_20            COVAR   12856    -0.019324    -0.054696    0.0084737       0.9887 Gad1Gad2_Htr3a_Cpne5.1_20
Gad1Gad2_Htr3a_Ecel1.1_21            COVAR   12856    -0.005754    -0.016462    0.0077847      0.77008 Gad1Gad2_Htr3a_Ecel1.1_21
Gad1Gad2_Htr3a_Ibsp.1_22             COVAR   12856   -0.0050369    -0.014472    0.0077177        0.743 Gad1Gad2_Htr3a_Ibsp.1_22
Gad1Gad2_Htr3a_Krt73.1_23            COVAR   12856   -0.0037015    -0.010401    0.0091572      0.65697 Gad1Gad2_Htr3a_Krt73.1_23
Gad1Gad2Slc17a8_Htr3a_Ktcd12...      COVAR   12856   -0.0033241   -0.0093743    0.0088927      0.64572 Gad1Gad2Slc17a8_Htr3a_Ktcd12.1_24
Gad1Gad2_Htr3a_Chrm2.1_25            COVAR   12856    0.0049316     0.014421    0.0068555      0.23597 Gad1Gad2_Htr3a_Chrm2.1_25
Gad1Gad2_Htr3a_Htr1b.1_26            COVAR   12856   -0.0097307    -0.027675    0.0084167      0.87617 Gad1Gad2_Htr3a_Htr1b.1_26
Gad1Gad2_Htr3a_Sema3c.1_27           COVAR   12856    -0.013283    -0.038914    0.0070485      0.97024 Gad1Gad2_Htr3a_Sema3c.1_27
Neuron_Gad1Gad2_Sst_Atp2b4.1...      COVAR   12856   -0.0050643    -0.015304    0.0052932      0.83065 Neuron_Gad1Gad2_Sst_Atp2b4.1_3
Neuron_Gad1Gad2Slc17a8_Sst_N...      COVAR   12856    0.0029905     0.008366    0.0084843      0.36224 Neuron_Gad1Gad2Slc17a8_Sst_Ncam2.1_4
Neuron_Gad1Gad2_Sst_Spon1.1_5        COVAR   12856   -0.0062498    -0.017588    0.0076827      0.79202 Neuron_Gad1Gad2_Sst_Spon1.1_5
Neuron_Gad1Gad2_Pvalb_Tac1.1...      COVAR   12856    0.0035496    0.0098633    0.0085542      0.33909 Neuron_Gad1Gad2_Pvalb_Tac1.1_6
Neuron_Gad1Gad2_Pvalb_Gfra1....      COVAR   12856    0.0032057    0.0090553    0.0073434      0.33123 Neuron_Gad1Gad2_Pvalb_Gfra1.1_7
Neuron_Gad1Gad2_Sst_Rbp4.1_8         COVAR   12856   0.00085557    0.0024243    0.0079268      0.45702 Neuron_Gad1Gad2_Sst_Rbp4.1_8
Neuron_Gad1Gad2_Sst_Grm1.1_9         COVAR   12856    0.0074989     0.021168    0.0079421      0.17255 Neuron_Gad1Gad2_Sst_Grm1.1_9
Microglia_C1qb_Tmem119.10_1          COVAR   12856   -0.0013571   -0.0036437    0.0048954      0.60919 Microglia_C1qb_Tmem119.10_1
Macrophage_C1qb_Mrc1.10_2            COVAR   12856   0.00065099    0.0019147    0.0036532      0.42929 Macrophage_C1qb_Mrc1.10_2
Ependymal_Ccdc153.11_1               COVAR   12856    0.0017236     0.004493    0.0047143      0.35733 Ependymal_Ccdc153.11_1
Choroid_Plexus_Ttr.12_1              COVAR   12856    0.0032922    0.0088263    0.0043952      0.22692 Choroid_Plexus_Ttr.12_1
Neurogenesis_Sox4_Efhd2.13_1         COVAR   12856  -0.00035784    -0.001039    0.0046027      0.53098 Neurogenesis_Sox4_Efhd2.13_1
Neurogenesis_Sox4_Hist1h2al....      COVAR   12856     0.002381    0.0068398    0.0046858      0.30569 Neurogenesis_Sox4_Hist1h2al.13_2
Neurogenesis_Sox4_Cdc20.13_3         COVAR   12856    0.0024211    0.0071825    0.0040702      0.27599 Neurogenesis_Sox4_Cdc20.13_3
Neurogenesis_Sox4_Gad2.13_4          COVAR   12856  -0.00095629   -0.0030405    0.0035117      0.60731 Neurogenesis_Sox4_Gad2.13_4
Neurogenesis_Sox4_Gabra5.13_5        COVAR   12856    0.0024747     0.007065    0.0064966      0.35164 Neurogenesis_Sox4_Gabra5.13_5
Neurogenesis_Sox4_Ppp2r2b.13...      COVAR   12856    0.0018121    0.0053467     0.004983      0.35806 Neurogenesis_Sox4_Ppp2r2b.13_6
Neuron_Slc17a6_Lhx1.14_1             COVAR   12856     0.013443     0.037312    0.0074703     0.035984 Neuron_Slc17a6_Lhx1.14_1
Endothelial_Stalk_Flt1_Cdkn2...      COVAR   12856   -0.0018647   -0.0050148    0.0048582      0.64944 Endothelial_Stalk_Flt1_Cdkn2b.15_1
Endothelial_Stalk_Flt1_Lcn2....      COVAR   12856   -0.0019082   -0.0053682    0.0042221      0.67434 Endothelial_Stalk_Flt1_Lcn2.15_2
Mural_Rgs5Acta2_Cnn1.16_1            COVAR   12856  -0.00073154   -0.0019607    0.0049157      0.55915 Mural_Rgs5Acta2_Cnn1.16_1
Mural_Rgs5Acta2_Ccnd1.16_2           COVAR   12856   -0.0014679   -0.0040666    0.0045966      0.62527 Mural_Rgs5Acta2_Ccnd1.16_2
Mural_Rgs5Acta2_Kcnj8.16_3           COVAR   12856    0.0034573     0.010066    0.0041482       0.2023 Mural_Rgs5Acta2_Kcnj8.16_3
Mural_Rgs5Acta2_Col3a1.16_4          COVAR   12856     0.001702    0.0053174    0.0032105      0.29802 Mural_Rgs5Acta2_Col3a1.16_4
Endothelial_Tip_Dcn_Rbp4.17_1        COVAR   12856  -0.00015116  -0.00041164    0.0045425      0.51327 Endothelial_Tip_Dcn_Rbp4.17_1
Endothelial_Tip_Dcn_Agt.17_2         COVAR   12856    0.0051949      0.01549     0.003298     0.057621 Endothelial_Tip_Dcn_Agt.17_2
Endothelial_Tip_Dcn_Mgp.17_3         COVAR   12856   0.00099766    0.0028729     0.003983      0.40111 Endothelial_Tip_Dcn_Mgp.17_3
Endothelial_Tip_Dcn_Il33.17_4        COVAR   12856  -3.0095e-05  -8.8212e-05    0.0037528       0.5032 Endothelial_Tip_Dcn_Il33.17_4
Neuron_Slc17a7_Cbln4.2_1             COVAR   12856       0.0013    0.0036886    0.0087757      0.44112 Neuron_Slc17a7_Cbln4.2_1
Neuron_Slc17a6_Htr1a.2_2             COVAR   12856    -0.013438    -0.038267    0.0083005      0.94725 Neuron_Slc17a6_Htr1a.2_2
Neuron_Slc17a6_Nts.2_3               COVAR   12856    -0.017347    -0.050013    0.0077141      0.98772 Neuron_Slc17a6_Nts.2_3
Neuron_Slc17a6_Nnat.2_4              COVAR   12856    -0.013062    -0.037474     0.008284      0.94256 Neuron_Slc17a6_Nnat.2_4
Neuron_Slc17a6_Nell1.2_5             COVAR   12856    -0.002026   -0.0056222    0.0098853      0.58119 Neuron_Slc17a6_Nell1.2_5
Neuron_Slc17a6_Nefm.2_6              COVAR   12856   -0.0035228   -0.0097678    0.0099799      0.63795 Neuron_Slc17a6_Nefm.2_6
Neuron_Slc17a6_Grp.2_7               COVAR   12856   -0.0044675    -0.012418    0.0096804      0.67778 Neuron_Slc17a6_Grp.2_7
Neuron_Slc17a7-Slc17a6_Nxph3...3     COVAR   12856    0.0007337    0.0021146    0.0077686      0.46238 Neuron_Slc17a7-Slc17a6_Nxph3-Nts.3_1
Neuron_Slc17a7_Nxph3-Sema3c....      COVAR   12856   -0.0035689    -0.010015    0.0099654      0.63988 Neuron_Slc17a7_Nxph3-Sema3c.3_10
Neuron_Slc17a7_Nxph3-Ajap1.3...      COVAR   12856   -0.0041735    -0.011956    0.0080429      0.69808 Neuron_Slc17a7_Nxph3-Ajap1.3_11
Neuron_Slc17a7-Slc17a6_Nxph3...1     COVAR   12856   -0.0036277    -0.010099    0.0092059      0.65323 Neuron_Slc17a7-Slc17a6_Nxph3-Cbln2-Htr2c.3_2
Neuron_Slc17a7-Slc17a6_Nxph3...2     COVAR   12856  -0.00033728  -0.00094188    0.0089735      0.51499 Neuron_Slc17a7-Slc17a6_Nxph3-Cbln2-Kcnh8.3_3
Neuron_Slc17a7_Nxph3-Hpcal1-...2     COVAR   12856    -0.012141    -0.038143    0.0044151      0.99701 Neuron_Slc17a7_Nxph3-Hpcal1-Tpbg.3_4
Neuron_Slc17a7_Nxph3-Hpcal1-...1     COVAR   12856    0.0021226    0.0064807    0.0052522      0.34306 Neuron_Slc17a7_Nxph3-Hpcal1-Fos.3_5
Neuron_Slc17a7_Nxph3-Hpcal-I...      COVAR   12856   -0.0022747   -0.0063239     0.010555      0.58531 Neuron_Slc17a7_Nxph3-Hpcal-Igfbp4.3_6
Neuron_Slc17a7_Nxph3-Hpcal-K...      COVAR   12856    -0.014587    -0.040602    0.0099364      0.92893 Neuron_Slc17a7_Nxph3-Hpcal-Krt12.3_7
Neuron_Slc17a7_Nxph3-Cplx3-H...      COVAR   12856    -0.005547    -0.015683    0.0085339      0.74215 Neuron_Slc17a7_Nxph3-Cplx3-Hs6st2.3_8
Neuron_Slc17a7_Nxph3-Cplx3-P...      COVAR   12856    0.0025847    0.0075111    0.0065762      0.34715 Neuron_Slc17a7_Nxph3-Cplx3-Pappa2.3_9
Neuron_Slc17a7_C1ql2-Cck.4_1         COVAR   12856   -0.0026132   -0.0072452     0.009388      0.60963 Neuron_Slc17a7_C1ql2-Cck.4_1
Neuron_Slc17a7_C1ql2-Penk.4_2        COVAR   12856   -0.0035328    -0.009798    0.0096193      0.64328 Neuron_Slc17a7_C1ql2-Penk.4_2
Neuron_Slc17a7_Fibcd1-Lypd1....      COVAR   12856    0.0046378     0.012905     0.010952      0.33597 Neuron_Slc17a7_Fibcd1-Lypd1.5_1
Neuron_Slc17a7_Reln.5_10             COVAR   12856  -0.00070405   -0.0020358    0.0068154      0.54114 Neuron_Slc17a7_Reln.5_10
Neuron_Slc17a7_Cbln1-Gpr88.5...      COVAR   12856  -4.8745e-05  -0.00013479    0.0099513      0.50195 Neuron_Slc17a7_Cbln1-Gpr88.5_11
Neuron_Slc17a7_Cbln1-Trps1.5...      COVAR   12856    0.0064573     0.018473    0.0077981      0.20383 Neuron_Slc17a7_Cbln1-Trps1.5_12
Neuron_Slc17a7_Ptgfr.5_13            COVAR   12856   -0.0097179    -0.029064    0.0060257      0.94659 Neuron_Slc17a7_Ptgfr.5_13
Neuron_Slc17a7_Fezf2-Efna5.5...      COVAR   12856    0.0046719     0.012906    0.0098446      0.31756 Neuron_Slc17a7_Fezf2-Efna5.5_14
Neuron_Slc17a7_Fezf2-Rxfp1.5...      COVAR   12856     0.007807     0.021843    0.0088268      0.18823 Neuron_Slc17a7_Fezf2-Rxfp1.5_15
