# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Syt6-Cplx3.1_1        COVAR   12856   -0.0010294   -0.0028876    0.0095192      0.54306 Neuron_Slc17a7_Syt6-Cplx3.1_1
Neuron_Slc17a7-Slc17a8_Syt6-...      COVAR   12856    0.0020295    0.0060566      0.00589      0.36522 Neuron_Slc17a7-Slc17a8_Syt6-Lancl3.1_2
Neuron_Slc17a7_Syt6-Tshz2-Nr...      COVAR   12856    0.0084274     0.023491      0.01102      0.22221 Neuron_Slc17a7_Syt6-Tshz2-Nrep.1_3
Neuron_Slc17a7_Syt6-Sla.1_4          COVAR   12856   -0.0021699   -0.0060168     0.011752      0.57324 Neuron_Slc17a7_Syt6-Sla.1_4
Neuron_Slc17a7_Syt6-Nnat.1_5         COVAR   12856     0.012386      0.03521    0.0087386     0.078192 Neuron_Slc17a7_Syt6-Nnat.1_5
Neuron_Slc17a7_Syt6-Slc24a2....      COVAR   12856   -0.0076485    -0.022246    0.0065104      0.87995 Neuron_Slc17a7_Syt6-Slc24a2.1_6
Neuron_Slc17a7_Syt6-Tox.1_7          COVAR   12856    0.0020186    0.0056467     0.011216      0.42859 Neuron_Slc17a7_Syt6-Tox.1_7
Neuron_Slc17a7_Syt6-Nefm.1_8         COVAR   12856    0.0057327     0.015906     0.011507      0.30918 Neuron_Slc17a7_Syt6-Nefm.1_8
Neuron_Slc17a7_Syt6-Fos.1_9          COVAR   12856    0.0011686     0.003268      0.01083      0.45704 Neuron_Slc17a7_Syt6-Fos.1_9
Polydendrocyte_Tnr_Cspg5.10_1        COVAR   12856    0.0021951    0.0060471    0.0065829       0.3694 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2         COVAR   12856    0.0049165     0.014777    0.0041312      0.11702 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Tmsb4x.10...      COVAR   12856    0.0020265    0.0057167    0.0055817      0.35828 Polydendrocyte_Tnr_Tmsb4x.10_3
Polydendrocyte_Tnr_Lims2-Tms...      COVAR   12856    0.0019914    0.0059293    0.0048465      0.34058 Polydendrocyte_Tnr_Lims2-Tmsb4x.10_4
Microglia_C1qb_Tmem119.11_1          COVAR   12856   -0.0029451   -0.0078568    0.0060851       0.6858 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   12856    0.0026267     0.007541    0.0043938      0.27498 Macrophage_C1qb_Mrc1.11_2
Microglia_C1qb_Tmem119-Fos.1...      COVAR   12856    0.0044929     0.013759    0.0027883     0.053566 Microglia_C1qb_Tmem119-Fos.11_3
Microglia_C1qb_Tmem119-Junb....      COVAR   12856   -0.0027267   -0.0077128    0.0028619      0.82963 Microglia_C1qb_Tmem119-Junb.11_4
Endothelial_Stalk_Flt1_Car4....      COVAR   12856   -0.0045733    -0.012495    0.0051044      0.81486 Endothelial_Stalk_Flt1_Car4.12_1
Endothelial_Stalk_Flt1_Vwf.1...      COVAR   12856   -0.0030153   -0.0082905     0.004772      0.73626 Endothelial_Stalk_Flt1_Vwf.12_2
