# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_C1ql3.1_1            COVAR   12856   -0.0017674   -0.0053801    0.0045609       0.6508 Neuron_Slc17a7_C1ql3.1_1
Oligodendrocyte_Tfr_Slco3a1....     COVAR   12856    0.0005642    0.0014727    0.0067439      0.46666 Oligodendrocyte_Tfr_Slco3a1.10_1
Oligodendrocyte_Tfr_Plin3.10...     COVAR   12856   -0.0025041   -0.0066158    0.0061452      0.65818 Oligodendrocyte_Tfr_Plin3.10_2
Oligodendrocyte_Tfr_Ndrg2.10...     COVAR   12856    0.0041454     0.010825     0.006577      0.26426 Oligodendrocyte_Tfr_Ndrg2.10_3
Oligodendrocyte_Tfr_Il33.10_4       COVAR   12856     0.005195     0.013515    0.0068509      0.22415 Oligodendrocyte_Tfr_Il33.10_4
Oligodendrocyte_Tfr_Ctps.10_5       COVAR   12856    0.0063171     0.016708    0.0063365      0.15941 Oligodendrocyte_Tfr_Ctps.10_5
Oligodendrocyte_Tnr_Rps24.11...     COVAR   12856    0.0061565     0.015719     0.005455      0.12955 Oligodendrocyte_Tnr_Rps24.11_1
Endothelial_Stalk_Flt1_Cdkn1...     COVAR   12856   -0.0059996    -0.016263    0.0051752      0.87682 Endothelial_Stalk_Flt1_Cdkn1c.12_1
Endothelial_Stalk_Flt1_Gkn3....     COVAR   12856   -0.0011568   -0.0034171    0.0041218      0.61051 Endothelial_Stalk_Flt1_Gkn3.12_2
Endothelial_Stalk_Flt1_Car4....     COVAR   12856   -0.0044905    -0.012202    0.0052143      0.80542 Endothelial_Stalk_Flt1_Car4.12_3
Endothelial_Stalk_Flt1_Vwf.1...     COVAR   12856   -0.0026063   -0.0071883    0.0049499      0.70074 Endothelial_Stalk_Flt1_Vwf.12_4
Mural_Rgs5Acta2_Rgs5.13_1           COVAR   12856  -0.00066984   -0.0018388    0.0049116      0.55424 Mural_Rgs5Acta2_Rgs5.13_1
Mural_Rgs5Acta2_Kcnj8.13_2          COVAR   12856    0.0032325     0.010032    0.0032822      0.16235 Mural_Rgs5Acta2_Kcnj8.13_2
Mural_Rgs5Acta2_Cd9.13_3            COVAR   12856   -0.0032299   -0.0086713    0.0051464      0.73486 Mural_Rgs5Acta2_Cd9.13_3
Mural_Rgs5Acta2_Cbr2.13_4           COVAR   12856   0.00094776    0.0026468    0.0044286      0.41527 Mural_Rgs5Acta2_Cbr2.13_4
Mural_Rgs5Acta2_Fos.13_5            COVAR   12856    0.0015409    0.0044345    0.0040285      0.35104 Mural_Rgs5Acta2_Fos.13_5
Endothelial_Tip_Dcn_Mgp.14_1        COVAR   12856  -0.00034039  -0.00096205    0.0042748      0.53173 Endothelial_Tip_Dcn_Mgp.14_1
Endothelial_Tip_Dcn_Ifitm1.1...     COVAR   12856  -0.00056453   -0.0015823    0.0041594      0.55398 Endothelial_Tip_Dcn_Ifitm1.14_2
Endothelial_Tip_Dcn_Alcam.14...     COVAR   12856    0.0037367     0.011195    0.0029746      0.10453 Endothelial_Tip_Dcn_Alcam.14_3
Neuron_Slc17a6.2_1                  COVAR   12856    -0.001647   -0.0045983     0.006848      0.59503 Neuron_Slc17a6.2_1
Neuron_Gad1Gad2_Nfib-Satb1.3...     COVAR   12856    0.0059453     0.016632    0.0068284      0.19198 Neuron_Gad1Gad2_Nfib-Satb1.3_1
Neuron_Slc17a6_Cacna2d1.3_10        COVAR   12856   -0.0038458     -0.01009    0.0086038      0.67255 Neuron_Slc17a6_Cacna2d1.3_10
Neuron_Slc17a6_Shox2.3_11           COVAR   12856   -0.0068166    -0.018687     0.007089      0.83186 Neuron_Slc17a6_Shox2.3_11
Neuron_Slc17a6_Nkx6-1.3_12          COVAR   12856   -0.0020967    -0.005706    0.0078427       0.6054 Neuron_Slc17a6_Nkx6-1.3_12
Neuron_Gad1Gad2_Sema3e.3_13         COVAR   12856   -0.0013534   -0.0036354     0.008133      0.56608 Neuron_Gad1Gad2_Sema3e.3_13
Neuron_Gad1Gad2_Ttn.3_14            COVAR   12856   -0.0056375    -0.015374       0.0081      0.75678 Neuron_Gad1Gad2_Ttn.3_14
Neuron_Slc17a6_C1ql2.3_15           COVAR   12856    -0.002511   -0.0067086    0.0080111      0.62302 Neuron_Slc17a6_C1ql2.3_15
Neuron_Gad1Gad2_Gad2-Kcnc3.3...     COVAR   12856    0.0014234    0.0039196    0.0065027      0.41337 Neuron_Gad1Gad2_Gad2-Kcnc3.3_16
