# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Ependyma_Ccdc153_Ccdc153.1_1        COVAR   12856   0.00042932    0.0011154    0.0052266      0.46727 Ependyma_Ccdc153_Ccdc153.1_1
Neuron_Gad1Gad2_Drd1-Fos.10_1       COVAR   12856    0.0046331     0.012978    0.0083677       0.2899 Neuron_Gad1Gad2_Drd1-Fos.10_1
Neuron_Gad1Gad2_Drd1-Lypd1.1...     COVAR   12856   -0.0022591   -0.0062905    0.0088874      0.60032 Neuron_Gad1Gad2_Drd1-Lypd1.10_2
Neuron_Gad1Gad2_Drd1-Pde1a.1...     COVAR   12856    0.0096756     0.027059    0.0087232      0.13369 Neuron_Gad1Gad2_Drd1-Pde1a.10_3
Neuron_Gad1Gad2_Drd1-Nefm.10...     COVAR   12856    0.0023053    0.0064188    0.0086195      0.39456 Neuron_Gad1Gad2_Drd1-Nefm.10_4
Neuron_Gad1Gad2_Drd1-Cxcl14....     COVAR   12856    -0.003352     -0.00943      0.00789      0.66452 Neuron_Gad1Gad2_Drd1-Cxcl14.10_5
Neuron_Gad1Gad2_Adora2a-Nefm...     COVAR   12856   0.00081757    0.0022715    0.0087287      0.46269 Neuron_Gad1Gad2_Adora2a-Nefm.11_1
Neuron_Gad1Gad2_Adora2a-Nnat...     COVAR   12856    0.0026912    0.0074692     0.009208      0.38504 Neuron_Gad1Gad2_Adora2a-Nnat.11_2
Neuron_Gad1Gad2_Adora2a-Fos....     COVAR   12856   0.00070559    0.0019791    0.0084086      0.46656 Neuron_Gad1Gad2_Adora2a-Fos.11_3
Neuron_Gad1Gad2-Chat-Slc17a8...     COVAR   12856     0.001667    0.0046503    0.0069226      0.40486 Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1
Neuron_Gad1Gad2_Drd1-Tpbg.13...     COVAR   12856  -0.00085825   -0.0024169    0.0082381      0.54149 Neuron_Gad1Gad2_Drd1-Tpbg.13_1
Neuron_Gad1Gad2_Drd1-Nfib.13...     COVAR   12856   -0.0087619    -0.026542    0.0053172      0.95029 Neuron_Gad1Gad2_Drd1-Nfib.13_10
Neuron_Gad1Gad2_Sgol2a.13_11        COVAR   12856   -0.0014444   -0.0045745    0.0030698      0.68101 Neuron_Gad1Gad2_Sgol2a.13_11
Neuron_Gad1Gad2_Drd1-Otof-So...     COVAR   12856    0.0033587    0.0094507    0.0076475      0.33027 Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2
Neuron_Gad1Gad2_Drd1-Otof-Lm...     COVAR   12856   -0.0018118   -0.0051568    0.0075578      0.59473 Neuron_Gad1Gad2_Drd1-Otof-Lmo2.13_3
Neuron_Gad1Gad2_Adora2a-Otof...     COVAR   12856    0.0028319    0.0080228    0.0075383      0.35359 Neuron_Gad1Gad2_Adora2a-Otof.13_4
Neuron_Gad1Gad2_Adora2a-Th.1...     COVAR   12856    0.0025984    0.0076115    0.0065779      0.34642 Neuron_Gad1Gad2_Adora2a-Th.13_5
Neuron_Slc17a6_Oprk1.13_6           COVAR   12856   -0.0065355      -0.0213    0.0036336      0.96395 Neuron_Slc17a6_Oprk1.13_6
Neuron_Slc17a7_Cplx3.13_7           COVAR   12856   -0.0099121    -0.029684    0.0052739       0.9699 Neuron_Slc17a7_Cplx3.13_7
Neuron_Slc17a7_Dkk3.13_8            COVAR   12856    -0.009163    -0.028629    0.0043308      0.98281 Neuron_Slc17a7_Dkk3.13_8
Neuron_Gad1Gad2_Resp18.13_9         COVAR   12856     0.019984     0.056382     0.007453     0.003672 Neuron_Gad1Gad2_Resp18.13_9
Neuron_Gad1Gad2_Pvalb_Pvalb-...     COVAR   12856    0.0025266    0.0070197    0.0075516      0.36897 Neuron_Gad1Gad2_Pvalb_Pvalb-Megf11.14_1
Neuron_Gad1Gad2_Pnoc.14_2           COVAR   12856    0.0018121    0.0056275    0.0044911      0.34329 Neuron_Gad1Gad2_Pnoc.14_2
Neuron_Gad1Gad2_Pvalb-Rgs12....     COVAR   12856    0.0063781     0.018207     0.006524      0.16414 Neuron_Gad1Gad2_Pvalb-Rgs12.14_3
Neuron_Gad1Gad2-Th_Trh.14_4         COVAR   12856    0.0074353     0.021205    0.0064491      0.12448 Neuron_Gad1Gad2-Th_Trh.14_4
Neuron_Gad1Gad2_Chodl.15_1          COVAR   12856    0.0039472     0.010782    0.0077666      0.30565 Neuron_Gad1Gad2_Chodl.15_1
Neurogenesis_Sox4_Ung.2_1           COVAR   12856  -0.00029743  -0.00084865    0.0054351      0.52182 Neurogenesis_Sox4_Ung.2_1
Neurogenesis_Sox4_Stmn2.2_2         COVAR   12856   -0.0019417   -0.0057723    0.0048321      0.65609 Neurogenesis_Sox4_Stmn2.2_2
Neurogenesis_Sox4_Tuba1c.2_3        COVAR   12856   -0.0021586   -0.0061493    0.0052123      0.66061 Neurogenesis_Sox4_Tuba1c.2_3
Neurogenesis_Sox4_Stmn2-Csrp...     COVAR   12856   -0.0041567    -0.012382     0.004482      0.82314 Neurogenesis_Sox4_Stmn2-Csrp2.2_4
Neurogenesis_Sox4_Hist1h2al....     COVAR   12856   -0.0009107   -0.0025621     0.005487      0.56591 Neurogenesis_Sox4_Hist1h2al.2_5
Neurogenesis_Sox4_Notum.2_6         COVAR   12856  -0.00062944   -0.0018946    0.0043621      0.55737 Neurogenesis_Sox4_Notum.2_6
Oligodendrocyte_Trf_Klk6.3_1        COVAR   12856    0.0051265     0.013783    0.0059029      0.19258 Oligodendrocyte_Trf_Klk6.3_1
Oligodendrocyte_Trf_Il33.3_2        COVAR   12856     0.011111     0.029238      0.00674     0.049643 Oligodendrocyte_Trf_Il33.3_2
Oligodendrocyte_Trf_Ctps.3_3        COVAR   12856    0.0052961     0.014304    0.0057813      0.17982 Oligodendrocyte_Trf_Ctps.3_3
Astrocyte_Gja1_Htra1.4_1            COVAR   12856    0.0055377     0.014326    0.0064124      0.19391 Astrocyte_Gja1_Htra1.4_1
Astrocyte_Gja1_Sparc-Car2.4_2       COVAR   12856    0.0021594    0.0056207    0.0063857      0.36762 Astrocyte_Gja1_Sparc-Car2.4_2
Astrocyte_Gja1_Notum.4_3            COVAR   12856   0.00027831   0.00075855    0.0056871      0.48049 Astrocyte_Gja1_Notum.4_3
Polydendrocye_Tnr_Cspg5.5_1         COVAR   12856    0.0053872     0.014878    0.0065751      0.20631 Polydendrocye_Tnr_Cspg5.5_1
Polydendrocye_Tnr_Bmp4.5_2          COVAR   12856    0.0072154     0.020997    0.0052813     0.085946 Polydendrocye_Tnr_Bmp4.5_2
Polydendrocye_Tnr_Pdgfa.5_3         COVAR   12856   -0.0036599    -0.010635    0.0049739      0.76908 Polydendrocye_Tnr_Pdgfa.5_3
Polydendrocye_Tnr_Ctps.5_4          COVAR   12856    0.0041117     0.012345    0.0036363      0.12909 Polydendrocye_Tnr_Ctps.5_4
Macrophage_C1qb_Mrc1.6_1            COVAR   12856    0.0042061      0.01285    0.0033545      0.10496 Macrophage_C1qb_Mrc1.6_1
Microglia_C1qb_Tmem119.6_2          COVAR   12856   -0.0027504   -0.0073502    0.0054399      0.69343 Microglia_C1qb_Tmem119.6_2
Endothelial_Stalk_Flt1_Car4....     COVAR   12856  -0.00086334   -0.0023484    0.0053954      0.56356 Endothelial_Stalk_Flt1_Car4.7_1
Endothelial_Stalk_Flt1_Gkn3....     COVAR   12856   -0.0030976    -0.008553    0.0050221      0.73131 Endothelial_Stalk_Flt1_Gkn3.7_2
Mural_Rgs5Acta2_Olfr558.8_1         COVAR   12856   0.00029525   0.00085433    0.0044127      0.47333 Mural_Rgs5Acta2_Olfr558.8_1
Mural_Rgs5Acta2_Cnn1.8_2            COVAR   12856   -0.0039798    -0.011734    0.0040019      0.83999 Mural_Rgs5Acta2_Cnn1.8_2
Mural_Rgs5Acta2_Ccnd1.8_3           COVAR   12856   -0.0048137    -0.013868    0.0045627      0.85428 Mural_Rgs5Acta2_Ccnd1.8_3
Mural_Rgs5Acta2_Kcnj8.8_4           COVAR   12856   0.00094521     0.002838    0.0040491      0.40771 Mural_Rgs5Acta2_Kcnj8.8_4
Mural_Rgs5Acta2_Col3a1.8_5          COVAR   12856   0.00080555    0.0025413    0.0033407      0.40473 Mural_Rgs5Acta2_Col3a1.8_5
Endothelial_Tip_Dcn.9_1             COVAR   12856   -0.0027172   -0.0075864    0.0053146      0.69541 Endothelial_Tip_Dcn.9_1
