# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Tac2_Chat.1_1        COVAR   12856  -0.00084795   -0.0024442    0.0062881      0.55363 Neuron_Slc17a7_Tac2_Chat.1_1
Neuron_Slc17a7_Tac2_Syt15.1_2       COVAR   12856    -0.015297    -0.043412    0.0065122      0.99058 Neuron_Slc17a7_Tac2_Syt15.1_2
Neuron_Slc17a7_Tac2_Wif1.1_3        COVAR   12856   -0.0050805    -0.014242    0.0068115      0.77212 Neuron_Slc17a7_Tac2_Wif1.1_3
Neuron_Slc17a7_Tac2_Htr2c.1_4       COVAR   12856   -0.0011405   -0.0035776     0.004252      0.60573 Neuron_Slc17a7_Tac2_Htr2c.1_4
Ependymal_Ccdc153.10_1              COVAR   12856   0.00019719   0.00051755    0.0048806      0.48389 Ependymal_Ccdc153.10_1
Astrocyte_Gja1_Myoc.11_1            COVAR   12856    0.0039604     0.011329    0.0045671      0.19293 Astrocyte_Gja1_Myoc.11_1
Astrocyte_Gja1_Vegfa.11_2           COVAR   12856    0.0095111     0.023753    0.0065128     0.072108 Astrocyte_Gja1_Vegfa.11_2
Polydendrocyte_Tnr_Pdgfa.12_1       COVAR   12856   -0.0028052   -0.0079797    0.0053055       0.7015 Polydendrocyte_Tnr_Pdgfa.12_1
Polydendrocyte_Tnr_Ctps.12_2        COVAR   12856    0.0019659    0.0054666    0.0052804      0.35484 Polydendrocyte_Tnr_Ctps.12_2
Polydendrocyte_Tnr_Bmp4.12_3        COVAR   12856    0.0053933     0.015175    0.0060145      0.18494 Polydendrocyte_Tnr_Bmp4.12_3
Polydendrocyte_Tnr_Cspg5.12_4       COVAR   12856     0.009486     0.028485    0.0046881     0.021526 Polydendrocyte_Tnr_Cspg5.12_4
Neuron_Slc17a6_Rora_Atp2b4.2...     COVAR   12856   -0.0014211   -0.0038164    0.0084159      0.56704 Neuron_Slc17a6_Rora_Atp2b4.2_1
Neuron_Slc17a6_Rora_Cacng4.2...     COVAR   12856   -0.0024919   -0.0066727    0.0084541      0.61591 Neuron_Slc17a6_Rora_Cacng4.2_10
Neuron_Slc17a6_Rora_Pvalb.2_...     COVAR   12856   -0.0020238   -0.0054668    0.0083049      0.59626 Neuron_Slc17a6_Rora_Pvalb.2_11
Neuron_Slc17a6_Rora_Nptxr.2_2       COVAR   12856    -0.010644    -0.028378    0.0087572       0.8879 Neuron_Slc17a6_Rora_Nptxr.2_2
Neuron_Slc17a6_Rora_Calca.2_3       COVAR   12856   -0.0030293   -0.0081661    0.0084913      0.63936 Neuron_Slc17a6_Rora_Calca.2_3
Neuron_Slc17a6_Rora_Nrp2.2_4        COVAR   12856    0.0042661     0.011555    0.0086334      0.31061 Neuron_Slc17a6_Rora_Nrp2.2_4
Neuron_Slc17a6_Rora_C1ql2.2_5       COVAR   12856     0.016487     0.044927    0.0074272     0.013225 Neuron_Slc17a6_Rora_C1ql2.2_5
Neuron_Slc17a6_Rora_Fgf10.2_6       COVAR   12856  -0.00041343   -0.0011063    0.0081852      0.52014 Neuron_Slc17a6_Rora_Fgf10.2_6
Neuron_Slc17a6_Rora_Lypd6.2_7       COVAR   12856   -0.0021795    -0.005847    0.0079052      0.60861 Neuron_Slc17a6_Rora_Lypd6.2_7
Neuron_Slc17a6_Rora_Cbln2.2_8       COVAR   12856  -0.00052045   -0.0013964    0.0084131      0.52466 Neuron_Slc17a6_Rora_Cbln2.2_8
Neuron_Slc17a6_Rora_Lrrtm2.2...     COVAR   12856    -0.003008   -0.0080878    0.0071267      0.66351 Neuron_Slc17a6_Rora_Lrrtm2.2_9
Neuron_Gad1Gad2_Six3-Adcy1.3...     COVAR   12856    0.0049075     0.012903     0.007674      0.26126 Neuron_Gad1Gad2_Six3-Adcy1.3_1
Neuron_Slc17a6_Ebf1.3_10            COVAR   12856   -0.0015001   -0.0040568    0.0077366      0.57687 Neuron_Slc17a6_Ebf1.3_10
Neuron_Gad1Gad2_Ttn.3_11            COVAR   12856    0.0058948     0.016689    0.0062561      0.17304 Neuron_Gad1Gad2_Ttn.3_11
Neuron_Gad1Gad2_Six3-Sst.3_2        COVAR   12856    -0.017275    -0.047781    0.0078996      0.98561 Neuron_Gad1Gad2_Six3-Sst.3_2
Neuron_Gad1Gad2_Pou6f2-Pax6....     COVAR   12856    0.0027314    0.0072955    0.0087467      0.37742 Neuron_Gad1Gad2_Pou6f2-Pax6.3_3
Neuron_Slc17a6_Pitx2.3_4            COVAR   12856   -0.0074273    -0.020733     0.007313      0.84509 Neuron_Slc17a6_Pitx2.3_4
Neuron_Gad1Gad2_Chrnb3.3_5          COVAR   12856    0.0045815     0.012975    0.0071515      0.26089 Neuron_Gad1Gad2_Chrnb3.3_5
Neuron_Gad1Gad2_Gata3.3_6           COVAR   12856    0.0066161     0.018012    0.0079213       0.2018 Neuron_Gad1Gad2_Gata3.3_6
Neuron_Slc17a6-Gad1Gad2_Asb4...     COVAR   12856   -0.0072478    -0.019946    0.0076026      0.82978 Neuron_Slc17a6-Gad1Gad2_Asb4.3_7
Neuron_Gad1Gad2_Col25a1.3_8         COVAR   12856   -0.0010836   -0.0028366    0.0087601      0.54922 Neuron_Gad1Gad2_Col25a1.3_8
