# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                   TYPE  NGENES         BETA     BETA_STD           SE            P
CB.Neuron                 COVAR   12856   0.00070244    0.0018992    0.0058917      0.45255
CB.Endothelial_stalk      COVAR   12856   -0.0085669     -0.02423    0.0054094      0.94336
CB.Endothelial_tip        COVAR   12856   0.00097832    0.0026444    0.0047264      0.41801
CB.Mural                  COVAR   12856  -0.00011922  -0.00032204     0.004625      0.51028
CB.Microglia              COVAR   12856    0.0033415      0.01032    0.0035331      0.17214
CB.Oligodendrocyte        COVAR   12856    -0.002083   -0.0056736    0.0057267      0.64197
CB.Polydendrocyte         COVAR   12856   -0.0028412    -0.008786    0.0035048      0.79121
CB.Astrocyte              COVAR   12856   -0.0010912   -0.0029139    0.0060113      0.57202
CB.Choroid_plexus         COVAR   12856    0.0010181     0.002812    0.0045059      0.41062
FC.Neuron                 COVAR   12856  -0.00091521   -0.0024264    0.0058627      0.56202
FC.Polydendrocyte         COVAR   12856   -0.0036365    -0.009496    0.0091446      0.65456
FC.Microglia              COVAR   12856   -0.0077665    -0.020511    0.0050225      0.93897
FC.Macrophage             COVAR   12856   -0.0067031    -0.018718    0.0052062      0.90103
FC.Endothelial_stalk      COVAR   12856    -0.010836    -0.028872    0.0069718      0.93992
FC.Mural                  COVAR   12856   -0.0012033   -0.0031549    0.0073511      0.56501
FC.Endothelial_tip        COVAR   12856    0.0089734     0.023281    0.0070689      0.10216
FC.Astrocyte              COVAR   12856    0.0061576     0.015693    0.0080411      0.22192
FC.Oligodendrocyte        COVAR   12856     0.003796    0.0098628    0.0079617      0.31676
PC.Neuron                 COVAR   12856  -0.00076182   -0.0020509     0.005707       0.5531
PC.Polydendrocyte         COVAR   12856    0.0047611     0.012795    0.0076998      0.26818
PC.Microglia              COVAR   12856   0.00034021    0.0007738    0.0050381      0.47308
PC.Macrophage             COVAR   12856    0.0019384     0.005565    0.0049062      0.34639
PC.Endothelial_stalk      COVAR   12856    -0.011853    -0.031867    0.0069869      0.95509
PC.Mural                  COVAR   12856   0.00069045    0.0018137    0.0064374      0.45729
PC.Endothelial_tip        COVAR   12856     0.010291     0.026494    0.0071898     0.076183
PC.Astrocyte              COVAR   12856    0.0097616     0.025208    0.0078795      0.10771
PC.Oligodendrocyte        COVAR   12856    0.0033408    0.0088209     0.007719      0.33258
ENT.Oligodendrocyte       COVAR   12856    0.0040112      0.01037    0.0072756      0.29071
ENT.Endothelial_stalk     COVAR   12856   -0.0075234    -0.020747    0.0061085      0.89094
ENT.Mural                 COVAR   12856   -0.0027384   -0.0071398    0.0056858      0.68496
ENT.Endothelial_tip       COVAR   12856    0.0016028    0.0048811    0.0038165      0.33725
ENT.Neuron                COVAR   12856    0.0010566    0.0027711    0.0057502      0.42711
ENT.Polydendrocyte        COVAR   12856    0.0091907     0.024615    0.0075126      0.11061
ENT.Astrocyte             COVAR   12856     0.010377     0.028086    0.0059947     0.041738
GP.Neuron                 COVAR   12856      0.00123    0.0032272    0.0058334       0.4165
GP.Oligodendrocyte        COVAR   12856    0.0060553     0.015896    0.0074637      0.20861
GP.Microglia              COVAR   12856     0.003685     0.010284    0.0050632      0.23338
GP.Macrophage             COVAR   12856    0.0060932     0.017155    0.0048703      0.10546
GP.Polydendrocyte         COVAR   12856    0.0066773     0.016598    0.0081181       0.2054
GP.Mitotic                COVAR   12856    0.0019445     0.006374    0.0031971      0.27153
GP.Astrocyte              COVAR   12856    0.0036117    0.0093822    0.0072284      0.30866
GP.Ependymal              COVAR   12856   -0.0051812    -0.015133    0.0040729      0.89832
GP.Endothelial_stalk      COVAR   12856   -0.0093815    -0.025392    0.0066091      0.92211
GP.Mural                  COVAR   12856   -0.0063371    -0.016591    0.0064203      0.83818
GP.Endothelial_tip        COVAR   12856     0.002811    0.0075881    0.0060757      0.32181
HC.Neuron                 COVAR   12856  -8.2852e-05  -0.00022256    0.0059103      0.50559
HC.Microglia              COVAR   12856   -0.0033133   -0.0088957     0.005795      0.71625
HC.Macrophage             COVAR   12856   -0.0002085  -0.00061326    0.0042453      0.51958
HC.Ependymal              COVAR   12856    0.0011073    0.0028864    0.0053797      0.41846
HC.Choroid_plexus         COVAR   12856    0.0031821    0.0085312    0.0049277      0.25922
HC.Neurogenesis           COVAR   12856    0.0013891    0.0037284    0.0064142      0.41427
HC.Endothelial_stalk      COVAR   12856    -0.006211    -0.016853    0.0063169      0.83724
HC.Mural                  COVAR   12856   0.00051357    0.0013657    0.0065528      0.46877
HC.Endothelial_tip        COVAR   12856    0.0030598    0.0079688    0.0063955      0.31618
HC.Astrocyte              COVAR   12856    0.0079766     0.020613    0.0078028      0.15334
HC.Oligodendrocyte        COVAR   12856    0.0089918     0.023621     0.007219      0.10647
HC.Polydendrocyte         COVAR   12856    0.0040033     0.010729    0.0078839      0.30581
STR.Ependymal             COVAR   12856   -0.0046593    -0.012105    0.0054331      0.80443
STR.Neuron                COVAR   12856   -0.0062783    -0.016755     0.005908      0.85603
STR.Neurogenesis          COVAR   12856   -0.0081937    -0.022351    0.0057253      0.92379
STR.Oligodendrocyte       COVAR   12856  -0.00049845   -0.0013102    0.0071211       0.5279
STR.Astrocyte             COVAR   12856    -0.006515    -0.016799    0.0072883       0.8143
STR.Polydendrocyte        COVAR   12856   -0.0027486   -0.0072384    0.0071302      0.65006
STR.Macrophage            COVAR   12856    0.0023904    0.0073029     0.003556      0.25073
STR.Microglia             COVAR   12856   -0.0091442    -0.024437    0.0057398      0.94442
STR.Endothelial_stalk     COVAR   12856    -0.012346    -0.033399    0.0066188      0.96892
STR.Mural                 COVAR   12856   -0.0098934    -0.026282    0.0061829       0.9452
STR.Endothelial_tip       COVAR   12856   -0.0084226    -0.023516    0.0054218      0.93983
SN.Neuron                 COVAR   12856   0.00030645   0.00080287    0.0059545      0.47948
SN.Oligodendrocyte        COVAR   12856    0.0066564     0.016873     0.007797      0.19664
SN.Endothelial_stalk      COVAR   12856   -0.0060339    -0.016242     0.006578      0.82049
