# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
CB.Neuron_Slc17a7_Gabra6.1_1         COVAR   12856    -0.001169   -0.0032885    0.0069444      0.56684 CB.Neuron_Slc17a7_Gabra6.1_1
CB.Endothelial_Stalk_Flt1_Mg...      COVAR   12856   -0.0051764    -0.015346     0.003875      0.90918 CB.Endothelial_Stalk_Flt1_Mgp.10_1
CB.Endothelial_Stalk_Flt1_Ca...      COVAR   12856   -0.0035615     -0.01051    0.0039754      0.81483 CB.Endothelial_Stalk_Flt1_Car4.10_2
CB.Endothelial_Stalk_Flt1_Lr...      COVAR   12856    -0.002047   -0.0060863    0.0039788      0.69654 CB.Endothelial_Stalk_Flt1_Lrg1.10_3
CB.Endothelial_Tip_Dcn_Nnat....      COVAR   12856    0.0071079     0.020492    0.0037081     0.027642 CB.Endothelial_Tip_Dcn_Nnat.11_1
CB.Endothelial_Tip_Dcn_Apod....      COVAR   12856   -0.0034852    -0.010314    0.0033445       0.8513 CB.Endothelial_Tip_Dcn_Apod.11_2
CB.Mural_Acta2Rgs5_Acta2.11_3        COVAR   12856   -0.0012861   -0.0039035    0.0034888       0.6438 CB.Mural_Acta2Rgs5_Acta2.11_3
CB.Mural_Acta2Rgs5_Kcnj8.11_4        COVAR   12856    0.0027505    0.0087278     0.002969      0.17712 CB.Mural_Acta2Rgs5_Kcnj8.11_4
CB.Mural_Acta2Rgs5_Rgs5.11_5         COVAR   12856  -0.00042254   -0.0013247    0.0029785       0.5564 CB.Mural_Acta2Rgs5_Rgs5.11_5
CB.Neuron_Gad1Gad2_Pcp2.2_1          COVAR   12856    0.0014733    0.0042054    0.0054702      0.39384 CB.Neuron_Gad1Gad2_Pcp2.2_1
CB.Neuron_Gad1Gad2_Pvalb-Nef...      COVAR   12856    0.0017766    0.0050498    0.0063263      0.38942 CB.Neuron_Gad1Gad2_Pvalb-Nefh.3_1
CB.Neuron_Gad1Gad2_Pvalb-Rab...      COVAR   12856   -0.0024405   -0.0071094    0.0059564      0.65899 CB.Neuron_Gad1Gad2_Pvalb-Rab3b.3_2
CB.Neuron_Gad1Gad2_Pvalb-Cad...      COVAR   12856    0.0013212    0.0039694    0.0051665      0.39908 CB.Neuron_Gad1Gad2_Pvalb-Cadm1.3_3
CB.Neuron_Gad1Gad2_Pvalb-Chr...      COVAR   12856   0.00068355    0.0020369    0.0052985      0.44868 CB.Neuron_Gad1Gad2_Pvalb-Chrm2.3_4
