# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12775
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Astro        COVAR   12775      0.27834     0.056138     0.085612   0.00057627
EC           COVAR   12775      0.10352     0.019652     0.081057      0.10079
Ex1          COVAR   12775    -0.062674    -0.014895     0.090373        0.756
Ex10         COVAR   12775   -0.0027235  -0.00066809      0.12628       0.5086
Ex11         COVAR   12775    -0.057827    -0.012913      0.14706      0.65292
Ex12         COVAR   12775   -0.0030323  -0.00070659      0.13097      0.50924
Ex13         COVAR   12775     0.018846    0.0043128      0.12244      0.43883
Ex14         COVAR   12775       0.1082     0.024602      0.11924      0.18211
Ex15         COVAR   12775    -0.076227    -0.016982      0.12349      0.73147
Ex16         COVAR   12775     0.042284    0.0093312      0.14549      0.38567
Ex17         COVAR   12775     0.098401     0.024879      0.10411      0.17231
Ex18         COVAR   12775    -0.080433    -0.017639      0.11089      0.76586
Ex19         COVAR   12775     0.085851     0.020519      0.17336      0.31023
Ex2          COVAR   12775     0.071711        0.016      0.10851      0.25435
Ex20         COVAR   12775     0.070413     0.016005      0.15503      0.32485
Ex21         COVAR   12775     -0.18126    -0.038927      0.15158       0.8841
Ex22         COVAR   12775     -0.15767    -0.036543      0.16957      0.82376
Ex23         COVAR   12775     -0.25551    -0.060701       0.1439      0.96209
Ex24         COVAR   12775     -0.14215     -0.03324      0.13854      0.84756
Ex25         COVAR   12775     -0.39903    -0.089236      0.16947      0.99072
Ex26         COVAR   12775     -0.32828    -0.073573      0.17327      0.97092
Ex27         COVAR   12775     -0.34583    -0.069153      0.21868       0.9431
Ex3          COVAR   12775    -0.072488    -0.016531      0.10258       0.7601
Ex4          COVAR   12775     -0.15553    -0.036709       0.1187      0.90494
Ex5          COVAR   12775     -0.21019    -0.048253      0.14006      0.93327
Ex6          COVAR   12775     -0.22149    -0.050795      0.14238      0.94008
Ex7          COVAR   12775      0.14932     0.035973      0.14889      0.15798
Ex8          COVAR   12775      0.11225     0.027941     0.098322      0.12681
Ex9          COVAR   12775     -0.17579    -0.041736      0.10525      0.95256
Inh1         COVAR   12775     0.041875    0.0087774     0.081912       0.3046
Inh2         COVAR   12775    -0.037617   -0.0080947      0.12322      0.61992
Inh3         COVAR   12775    -0.034283   -0.0072452      0.11326      0.61894
Inh4         COVAR   12775    -0.045219    -0.010179     0.097897      0.67792
Inh5         COVAR   12775    -0.035229   -0.0078101      0.10818      0.62766
Inh6         COVAR   12775      0.15443     0.032298      0.12265      0.10401
Inh7         COVAR   12775     0.088485     0.019473      0.10592      0.20175
MG           COVAR   12775    -0.080751    -0.017356     0.096765      0.79799
Oligo1       COVAR   12775      0.13721      0.02759     0.082175     0.047503
Oligo2       COVAR   12775    0.0094223    0.0021561     0.065941      0.44319
OPC          COVAR   12775      0.20328     0.044833       0.1025     0.023681
