# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12069
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Astro        COVAR   12069    -0.012943   -0.0035436     0.052915      0.59662
Ependy       COVAR   12069     0.033091     0.010612     0.035066      0.17267
Epith1       COVAR   12069      0.03699      0.01041     0.040047      0.17784
Epith2       COVAR   12069     0.028327    0.0098748     0.031566      0.18476
GABA1        COVAR   12069   -0.0074296   -0.0029921     0.026725      0.60949
GABA10       COVAR   12069     -0.12348    -0.059872     0.040154      0.99895
GABA11       COVAR   12069     0.074969     0.022138     0.067252      0.13249
GABA12       COVAR   12069    -0.091622     -0.02889     0.088447      0.84986
GABA13       COVAR   12069    -0.046482    -0.015175      0.10585      0.66971
GABA14       COVAR   12069     -0.09848    -0.029286     0.087447      0.86994
GABA15       COVAR   12069      0.11111     0.038836     0.081456     0.086285
GABA16       COVAR   12069    -0.022199    -0.006366     0.094524      0.59284
GABA17       COVAR   12069    -0.039541    -0.015611     0.063464      0.73337
GABA18       COVAR   12069    -0.011938   -0.0042034     0.051074       0.5924
GABA2        COVAR   12069     0.084853     0.032729      0.05498      0.06139
GABA3        COVAR   12069      -0.0376    -0.010323     0.072977       0.6968
GABA4        COVAR   12069     0.046178     0.017668     0.059982       0.2207
GABA5        COVAR   12069    -0.041364    -0.015273     0.072742      0.71519
GABA6        COVAR   12069    0.0042925    0.0011965     0.070546      0.47574
GABA7        COVAR   12069     -0.14651      -0.0432     0.059077      0.99342
GABA8        COVAR   12069     -0.02418   -0.0060636      0.10637      0.58991
GABA9        COVAR   12069      -0.0274   -0.0070903     0.070587      0.65105
Glu1         COVAR   12069     0.030583    0.0083158     0.066034      0.32164
Glu10        COVAR   12069    0.0070385     0.002275     0.067125      0.45825
Glu11        COVAR   12069    -0.086241    -0.026308     0.080415      0.85823
Glu12        COVAR   12069    -0.026881   -0.0092388     0.050303      0.70346
Glu13        COVAR   12069     0.026655    0.0096391     0.051677        0.303
Glu14        COVAR   12069     0.050323     0.021027     0.061582      0.20692
Glu15        COVAR   12069    -0.013572   -0.0058803     0.059083      0.59084
Glu2         COVAR   12069     0.031108    0.0097898     0.047941      0.25821
Glu3         COVAR   12069     0.027861    0.0088564     0.057882      0.31514
Glu4         COVAR   12069    -0.035134    -0.012924     0.059708      0.72188
Glu5         COVAR   12069    -0.023928    -0.007643     0.076872       0.6222
Glu6         COVAR   12069    -0.034747    -0.014911     0.054567      0.73786
Glu7         COVAR   12069   -0.0043886   -0.0014049     0.084295      0.52076
Glu8         COVAR   12069     -0.15165    -0.054864     0.081428      0.96871
Glu9         COVAR   12069     0.039394     0.013692     0.080259      0.31178
Hista        COVAR   12069   -0.0086499   -0.0032768     0.045513      0.57537
IMO          COVAR   12069    0.0042577    0.0011002     0.048106      0.46474
Macro        COVAR   12069     0.019208    0.0056517     0.036229        0.298
Micro        COVAR   12069    -0.015166   -0.0044667     0.062765      0.59546
MO           COVAR   12069    0.0015928   0.00041913     0.044268      0.48565
OPC          COVAR   12069     0.086302     0.017268     0.071615       0.1141
POPC         COVAR   12069     0.011872    0.0030641     0.045658      0.39743
SCO          COVAR   12069     0.053042     0.014042      0.04333      0.11046
Tany         COVAR   12069     0.052858     0.014319     0.051751      0.15355
