# MEAN_SAMPLE_SIZE = 54894
# TOTAL_GENES = 10779
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                         TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte_progenitors           COVAR   10779     0.061814    0.0090141      0.14813      0.33823
Astrocytes                      COVAR   10779      0.25935     0.034196      0.13886     0.030921
Cerebellar_neurons              COVAR   10779    -0.086992    -0.009442      0.15718      0.71002
Endothelial_cells               COVAR   10779     0.072904    0.0092553      0.12291      0.27654
Endothelial_progenitors         COVAR   10779     0.051393    0.0067793      0.11656      0.32965
Excitatory_neurons              COVAR   10779     -0.24917     -0.02462      0.19687      0.89716
Granule_cells                   COVAR   10779    -0.036998   -0.0065502      0.10568      0.63686
Inhibitory_neurons              COVAR   10779     -0.15612    -0.017113      0.20806      0.77347
Microglia                       COVAR   10779    -0.038086   -0.0037441      0.12923      0.61589
Oligodendrocyte_progenitors     COVAR   10779       0.1049     0.012295      0.21603      0.31365
Oligodendrotype_myelinating     COVAR   10779      -0.0775    -0.013836       0.1075      0.76451
SC                              COVAR   10779    0.0055913   0.00063896      0.16352      0.48636
