# MEAN_SAMPLE_SIZE = 54893
# TOTAL_GENES = 10475
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                          TYPE  NGENES         BETA     BETA_STD           SE            P
Endocrine                        COVAR   10475     -0.12069    -0.040565     0.068666      0.96058
Enterocyte_Immature_Distal       COVAR   10475     0.098636     0.043285      0.08671      0.12767
Enterocyte_Immature_Proximal     COVAR   10475     0.052698     0.023208     0.071974      0.23204
Enterocyte_Mature_Distal         COVAR   10475    -0.020158   -0.0073011     0.046354      0.66817
Enterocyte_Mature_Proximal       COVAR   10475    -0.038892    -0.014986      0.04213      0.82202
Enterocyte_Progenitor            COVAR   10475     0.089383      0.03419      0.12511       0.2375
Enterocyte_Progenitor_Early      COVAR   10475      0.14423     0.068751     0.082275     0.039817
Enterocyte_Progenitor_Late       COVAR   10475     0.068905     0.024124       0.1436      0.31568
Goblet                           COVAR   10475    -0.095842    -0.040289     0.056442      0.95523
Paneth                           COVAR   10475     0.054168     0.016676      0.11766      0.32263
Stem                             COVAR   10475     0.068278     0.023225      0.10263      0.25294
TA_Early                         COVAR   10475      0.17495     0.058784      0.12974     0.088781
TA_G1                            COVAR   10475      0.09986     0.040149      0.09187      0.13854
TA_G2                            COVAR   10475     0.060455     0.027598     0.067885       0.1866
Tuft                             COVAR   10475    -0.052086    -0.020261     0.057774      0.81634
