# MEAN_SAMPLE_SIZE = 54888
# TOTAL_GENES = 11666
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE              TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte            COVAR   11666    0.0034886    0.0008814     0.052135      0.47333
EndothelialCells     COVAR   11666     0.023512    0.0071373     0.037913      0.26758
Ependymocytes        COVAR   11666   -0.0035108   -0.0012514     0.035575      0.53931
Fibroblast           COVAR   11666     0.084251     0.017358     0.059196     0.077347
MuralCells           COVAR   11666     0.040002     0.011093     0.045165       0.1879
Neurons1             COVAR   11666    -0.029669    -0.016574     0.032341      0.82052
Neurons2             COVAR   11666    -0.064468    -0.019193     0.067469      0.83033
Neurons3             COVAR   11666    -0.079721      -0.0298     0.051092      0.94065
Neurons4             COVAR   11666    -0.063859    -0.025062     0.046921      0.91323
Neurons5             COVAR   11666    -0.047399     -0.01725     0.048751      0.83453
Neurons6             COVAR   11666    -0.056006    -0.021116     0.051932      0.85957
NG2_OPC              COVAR   11666     0.057698      0.01327     0.068527      0.19991
Oligodend1           COVAR   11666     0.022702    0.0073722     0.046814      0.31387
Oligodend2           COVAR   11666     0.015181    0.0061322      0.03125      0.31356
Oligodend3           COVAR   11666     0.011283    0.0035031     0.040757      0.39095
ParsTuber1           COVAR   11666     0.089714     0.037951     0.039327     0.011277
ParsTuber2           COVAR   11666     0.071251     0.021012     0.057301      0.10687
PVMMicro             COVAR   11666     -0.02188   -0.0046565     0.048355      0.67453
Tanycyte1            COVAR   11666     0.068829     0.019291     0.059106      0.12212
Tanycyte2            COVAR   11666     0.042749     0.010589      0.06894       0.2676
