# MEAN_SAMPLE_SIZE = 54888
# TOTAL_GENES = 11666
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
Agrp_Gm8773       COVAR   11666     0.019817    0.0084366     0.096369      0.41854
Agrp_Sst          COVAR   11666    -0.094589    -0.039687      0.11314      0.79843
Fam19a2           COVAR   11666     0.068055     0.027031      0.10337      0.25516
Ghrh              COVAR   11666    -0.072806    -0.028699     0.096087      0.77568
Gm8773_Tac1       COVAR   11666    0.0093561    0.0043071     0.084168      0.45575
Gpr50             COVAR   11666     0.021794     0.008527      0.09026       0.4046
Hdc               COVAR   11666     0.073942     0.036426     0.050343     0.070963
Htr3b             COVAR   11666     -0.21515    -0.084095       0.1192      0.96445
Kiss1_Tac2        COVAR   11666     -0.10482    -0.039362      0.10402      0.84318
Nfix_Htr2c        COVAR   11666    -0.075878    -0.036452     0.062438      0.88785
Nr5a1_Adcyap1     COVAR   11666     0.073807     0.027662     0.081185      0.18166
Nr5a1_Nfib        COVAR   11666       0.2331     0.076713      0.11018     0.017203
Oxt               COVAR   11666   -0.0054018   -0.0028222     0.049092      0.54381
Pomc_Anxa2        COVAR   11666    -0.067152    -0.029635      0.10141      0.74607
Pomc_Glipr1       COVAR   11666    -0.049036    -0.020328      0.11644      0.66317
Pomc_Ttr          COVAR   11666   -0.0034394   -0.0013717       0.1233      0.51113
Qrfp              COVAR   11666     0.060865     0.023341     0.078169      0.21811
Rgs16_Dlx1        COVAR   11666     -0.13362    -0.045888     0.095068      0.92006
Rgs16_Slc17a6     COVAR   11666     -0.04581     -0.01461     0.099816      0.67686
Rgs16_Vip         COVAR   11666     0.019599    0.0058647     0.088688      0.41255
Slc17a6_Trhr      COVAR   11666    -0.053534    -0.021348      0.12139       0.6704
Sst_Nts           COVAR   11666   -0.0019494   -0.0010317     0.069984      0.51111
Sst_Pthlh         COVAR   11666     -0.18091    -0.074847       0.1071      0.95439
Sst_Unc13c        COVAR   11666    -0.073502    -0.026784      0.13155      0.71183
Th_Cxcl12         COVAR   11666     0.095839     0.036179      0.11127      0.19455
Th_Lef1           COVAR   11666     -0.16349    -0.060531      0.11462      0.92309
Th_Slc6a3         COVAR   11666     0.022206    0.0079122      0.10133      0.41327
Tmem215           COVAR   11666     -0.10312    -0.036966      0.13939      0.77029
