# MEAN_SAMPLE_SIZE = 54902
# TOTAL_GENES = 9306
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE       TYPE  NGENES         BETA     BETA_STD           SE            P
ASTRO         COVAR    9306     0.045589     0.017465     0.048052      0.17139
CHAT          COVAR    9306   -0.0035156   -0.0024078     0.031093      0.54501
CYCLING       COVAR    9306     0.013566    0.0055716     0.032838      0.33976
ENDO          COVAR    9306      0.05739     0.013905     0.058028      0.16135
MICROGLIA     COVAR    9306    -0.056036    -0.013204     0.055003      0.84583
MSND1         COVAR    9306    -0.024372    -0.014658      0.03433      0.76112
MSND2         COVAR    9306    -0.025724    -0.014854     0.035107      0.76813
NPY_NGC       COVAR    9306    0.0032201    0.0023684     0.025743      0.45023
OLIGOS        COVAR    9306     0.002596    0.0012422     0.032605      0.46827
OPC           COVAR    9306     0.022002    0.0094102     0.032976      0.25232
Pthlh         COVAR    9306   -0.0069711   -0.0041664     0.043692      0.56338
Pvalb         COVAR    9306    0.0013605    0.0010795     0.030247      0.48206
Sst           COVAR    9306    -0.025277    -0.017642     0.037149      0.75187
Th            COVAR    9306    -0.019787    -0.011236     0.046814      0.66373
VSM           COVAR    9306     0.045474     0.011972     0.060802      0.22727
