# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12635
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
astro           COVAR   12635      0.10887     0.019271     0.080312     0.087626
astro_gfap      COVAR   12635    -0.020355   -0.0040301     0.065418      0.62216
astro_il18      COVAR   12635     0.042479    0.0059238      0.10273      0.33963
astro_vegfa     COVAR   12635      0.19632     0.022987      0.12221       0.0541
cop             COVAR   12635    -0.099705    -0.015363      0.10401      0.83111
endo            COVAR   12635    -0.022713   -0.0056545     0.046311      0.68809
endo_bmx        COVAR   12635     -0.14744    -0.024591     0.079054       0.9689
int             COVAR   12635     0.068802     0.019058     0.085502      0.21051
int_cort        COVAR   12635    -0.012606   -0.0044951     0.040541      0.62208
int_kit         COVAR   12635    -0.030576    -0.011351     0.055728      0.70838
int_vip_npy     COVAR   12635     0.010147    0.0031484     0.053141      0.42429
int_vip2        COVAR   12635    -0.026221   -0.0066058     0.085593      0.62033
L23             COVAR   12635     0.016634    0.0075284     0.054422      0.37994
L23_Calb1       COVAR   12635     -0.12059    -0.048689     0.070624      0.95612
L23_Ddn         COVAR   12635     0.002655     0.001687     0.037966      0.47212
L23_Npnt        COVAR   12635     0.010027    0.0057296     0.042332      0.40638
L4_Kcnab3       COVAR   12635    0.0049329    0.0022096     0.056973       0.4655
L4_Plcxd2       COVAR   12635   -0.0056334   -0.0028648     0.046435      0.54828
L5              COVAR   12635     -0.05067    -0.026507     0.057471      0.81101
L6              COVAR   12635     0.027569     0.013414     0.049519      0.28886
mfol            COVAR   12635   -0.0048085   -0.0013985     0.046002      0.54162
mgl             COVAR   12635   -0.0042281  -0.00063469      0.11259      0.51498
mol             COVAR   12635    -0.033588   -0.0052017      0.10254      0.62837
mol_apod        COVAR   12635    -0.067239    -0.013756     0.069164      0.83451
nfol            COVAR   12635    -0.026377   -0.0068057     0.049503      0.70292
opc             COVAR   12635      0.01278    0.0016046     0.080613      0.43702
peric           COVAR   12635    -0.007515   -0.0014246     0.073486      0.54073
pvm             COVAR   12635    -0.026705   -0.0035017      0.10797      0.59767
rbc             COVAR   12635     0.045247    0.0066509      0.14038      0.37361
vsm             COVAR   12635    -0.058875   -0.0081268     0.099657      0.72266
