# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12041
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
NF1          COVAR   12041   -0.0016907   -0.0039412     0.012792      0.55258
NF2          COVAR   12041     0.010738     0.024764     0.014676      0.23219
NF3          COVAR   12041    0.0015298    0.0038386     0.010096      0.43978
NF4          COVAR   12041   -0.0073486     -0.01516     0.012026       0.7294
NF5          COVAR   12041   0.00096768    0.0022246     0.010575      0.46355
NP1          COVAR   12041    -0.001996   -0.0039364     0.012679      0.56254
NP2          COVAR   12041    0.0045877    0.0083828     0.012901      0.36106
NP3          COVAR   12041    0.0027608    0.0053912    0.0097437      0.38846
PEP1         COVAR   12041  -0.00022824   -0.0003144     0.016839      0.50541
PEP2         COVAR   12041   -0.0010065   -0.0021666     0.013278      0.53021
TH           COVAR   12041    -0.002902   -0.0055625     0.014218      0.58086
