# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12613
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
IB           COVAR   12613     0.070165     0.017463     0.076649         0.18
IFE_B        COVAR   12613     0.016905    0.0044149     0.081083      0.41743
IFE_DI       COVAR   12613    -0.039194    -0.012783      0.07977       0.6884
IFE_DII      COVAR   12613     0.039614      0.01971     0.048358      0.20635
IFE_KI       COVAR   12613    -0.025809    -0.010626     0.052227       0.6894
IFE_KII      COVAR   12613    -0.037722    -0.014071     0.033126      0.87259
LH           COVAR   12613   -0.0046843   -0.0012304     0.050693      0.53681
OB           COVAR   12613     0.084584     0.018554     0.077086      0.13627
SG           COVAR   12613  -0.00066687   -0.0004307     0.021058      0.51263
TC           COVAR   12613     0.068056     0.013333     0.063158      0.14063
uHF_I        COVAR   12613      0.16493     0.038268      0.11449     0.074868
uHF_II       COVAR   12613    -0.011418   -0.0034884     0.094727      0.54797
uHF_III      COVAR   12613    -0.036854    -0.010275     0.067605      0.70717
