# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12627
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
COP          COVAR   12627     0.043708     0.014733     0.048955      0.18598
MFOL1        COVAR   12627     0.031681     0.017422     0.057773      0.29172
MFOL2        COVAR   12627     0.048387       0.0197      0.09956      0.31348
MOL1         COVAR   12627    -0.039701     -0.01761     0.095978      0.66043
MOL2         COVAR   12627     -0.12844    -0.070661     0.056635      0.98832
MOL3         COVAR   12627     -0.17147    -0.066881     0.086994      0.97563
MOL4         COVAR   12627     -0.12827    -0.049976     0.099538      0.90123
MOL5         COVAR   12627   -0.0047903   -0.0015096      0.10913      0.51751
MOL6         COVAR   12627     0.013514    0.0045486     0.070081      0.42355
NFOL1        COVAR   12627    -0.030083    -0.010205     0.059754      0.69267
NFOL2        COVAR   12627     -0.06581     -0.02975      0.04902      0.91027
OPC          COVAR   12627      0.18344     0.037669     0.064849    0.0023402
PPR          COVAR   12627     0.055527     0.011356     0.054212      0.15287
