# MEAN_SAMPLE_SIZE = 54893
# TOTAL_GENES = 11000
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE              TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocytes           COVAR   11000     0.068563     0.018399     0.046292     0.069308
Cajal_Retzius        COVAR   11000     0.010206    0.0039629     0.063205      0.43586
Endothelial          COVAR   11000     0.048575    0.0081931     0.075873      0.26103
GABA_Cnr1            COVAR   11000    -0.067761    -0.037372     0.051493      0.90589
GABA_Lhx6            COVAR   11000   -0.0066811   -0.0039491     0.040616      0.56533
Granule_immature     COVAR   11000    -0.058807    -0.029785     0.060034      0.83634
Granule_mature       COVAR   11000    -0.058827    -0.024573     0.055311      0.85622
Microglia            COVAR   11000     0.061929      0.01253     0.062495      0.16087
Mossy_Calb2          COVAR   11000   -0.0066789   -0.0044792     0.037681      0.57034
Mossy_Sv2b           COVAR   11000    -0.036313    -0.027391     0.029082      0.89408
Neuroblast           COVAR   11000      0.11677     0.022089      0.10689      0.13732
nIPC                 COVAR   11000      0.06698     0.024773     0.046594     0.075299
OL                   COVAR   11000    -0.021202   -0.0070629     0.039799      0.70288
OPC                  COVAR   11000      0.10567     0.031431     0.082269     0.099505
PVM                  COVAR   11000     0.057802     0.011733     0.063687      0.18206
Radial_Glia_like     COVAR   11000     0.069007     0.012873     0.069439      0.16018
VLMC                 COVAR   11000     0.042624     0.013493     0.052322      0.20765
