# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bladder.Basal_epithelial_cell         COVAR   12577     0.090546     0.017636      0.06873     0.093864 Bladder.Basal_epithelial_cell
Bladder.Dendritic_cell_Cd74_...       COVAR   12577     -0.03942   -0.0045864      0.10906      0.64111 Bladder.Dendritic_cell_Cd74_high
Bladder.Dendritic_cell_Lyz2_...       COVAR   12577    -0.025128   -0.0035216     0.099232      0.59995 Bladder.Dendritic_cell_Lyz2_high
Bladder.Endothelial_cell_Ly6...       COVAR   12577   -0.0024659  -0.00033405     0.084766       0.5116 Bladder.Endothelial_cell_Ly6c1_high
Bladder.Epithelial_cell_Gm23...       COVAR   12577      0.11117     0.012838     0.097398      0.12687 Bladder.Epithelial_cell_Gm23935_high
Bladder.Epithelial_cell_Upk3...       COVAR   12577      0.08238     0.011482     0.089682      0.17917 Bladder.Epithelial_cell_Upk3a_high
Bladder.Macrophage_Pf4_high           COVAR   12577    -0.022631   -0.0028497     0.086513      0.60318 Bladder.Macrophage_Pf4_high
Bladder.Mesenchymal_stromal_...       COVAR   12577     0.026981    0.0033726     0.098984      0.39259 Bladder.Mesenchymal_stromal_cell
Bladder.NK_cell                       COVAR   12577    -0.018082   -0.0022465      0.10934      0.56567 Bladder.NK_cell
Bladder.Smooth_muscle_cell            COVAR   12577     -0.12461    -0.014512      0.10139      0.89046 Bladder.Smooth_muscle_cell
Bladder.Stromal_cell_Car3_hi...       COVAR   12577    -0.078642    -0.011514     0.084158      0.82496 Bladder.Stromal_cell_Car3_high
Bladder.Stromal_cell_Dpt_high         COVAR   12577     0.030178    0.0043638     0.080081      0.35315 Bladder.Stromal_cell_Dpt_high
Bladder.Umbrella_cell                 COVAR   12577     0.030468     0.013949     0.028286      0.14072 Bladder.Umbrella_cell
Bladder.Urothelium                    COVAR   12577     0.060011     0.017574     0.044801     0.090219 Bladder.Urothelium
Bladder.Vascular_endothelial...       COVAR   12577     0.085401       0.0106      0.10135      0.19973 Bladder.Vascular_endothelial_cell
Bladder.Vascular_smooth_musc...       COVAR   12577    0.0010913   0.00015174     0.068613      0.49366 Bladder.Vascular_smooth_muscle_progenitor_cell
Bone_Marrow.B_cell                    COVAR   12577     -0.21325    -0.025809      0.12906      0.95075 Bone_Marrow.B_cell
Bone_Marrow.B_cell_Igkc_high          COVAR   12577     -0.11507    -0.014939     0.078327      0.92908 Bone_Marrow.B_cell_Igkc_high
Bone_Marrow.Basophil                  COVAR   12577    0.0026269    0.0003666      0.10765      0.49027 Bone_Marrow.Basophil
Bone_Marrow.Basophils                 COVAR   12577     0.039449    0.0051632      0.12413      0.37532 Bone_Marrow.Basophils
Bone_Marrow.CXCL12.abundant_...       COVAR   12577    0.0091449    0.0013547     0.084427      0.45687 Bone_Marrow.CXCL12.abundant_reticular_cell
Bone_Marrow.Dendritic_cell_S...       COVAR   12577    -0.084214    -0.012961      0.06624      0.89818 Bone_Marrow.Dendritic_cell_Siglech_high
Bone_Marrow.Endothelial_cells         COVAR   12577    0.0093378    0.0013489     0.098866      0.46238 Bone_Marrow.Endothelial_cells
Bone_Marrow.Endothelial_cell...       COVAR   12577      -0.1723    -0.018507      0.13944      0.89169 Bone_Marrow.Endothelial_cells_Ly6c1_high
Bone_Marrow.Eosinophil_proge...       COVAR   12577    -0.052369   -0.0067055     0.096928       0.7055 Bone_Marrow.Eosinophil_progenitor_cell
Bone_Marrow.Eosinophils               COVAR   12577    -0.082579    -0.010185      0.10349      0.78754 Bone_Marrow.Eosinophils
Bone_Marrow.Erythroblast              COVAR   12577    -0.024379   -0.0032083      0.10058      0.59575 Bone_Marrow.Erythroblast
Bone_Marrow.Erythrocyte_prog...1      COVAR   12577    -0.074257    -0.013847     0.074536      0.84043 Bone_Marrow.Erythrocyte_progenitor_Car1_high
Bone_Marrow.Erythrocyte_prog...2      COVAR   12577    -0.024459   -0.0048897     0.061579      0.65439 Bone_Marrow.Erythrocyte_progenitor_Hba.a1_high
Bone_Marrow.Erythrocytes              COVAR   12577     0.020236    0.0031653     0.083861      0.40466 Bone_Marrow.Erythrocytes
Bone_Marrow.Fibroblasts               COVAR   12577     -0.16249    -0.021359     0.095614      0.95536 Bone_Marrow.Fibroblasts
Bone_Marrow.Granulocyte_mono...       COVAR   12577    -0.057337   -0.0088902     0.078124      0.76849 Bone_Marrow.Granulocyte_monocyte_progenitors
Bone_Marrow.Hematopoietic_st...       COVAR   12577    -0.018451   -0.0035908     0.059765      0.62123 Bone_Marrow.Hematopoietic_stem_progenitor_cell
Bone_Marrow.Macrophage_C1qc_...       COVAR   12577      0.11855     0.014488     0.098961      0.11548 Bone_Marrow.Macrophage_C1qc_high
Bone_Marrow.Macrophage_Cd74_...       COVAR   12577    -0.030413   -0.0041532     0.095554      0.62486 Bone_Marrow.Macrophage_Cd74_high
Bone_Marrow.Macrophage_Ms4a6...       COVAR   12577     0.038374    0.0083773     0.056933      0.25016 Bone_Marrow.Macrophage_Ms4a6c_high
Bone_Marrow.Macrophage_S100a...       COVAR   12577    -0.028309   -0.0039107     0.088034      0.62611 Bone_Marrow.Macrophage_S100a4_high
Bone_Marrow.Megakaryocyte             COVAR   12577   -0.0073638   -0.0014448     0.060617      0.54834 Bone_Marrow.Megakaryocyte
Bone_Marrow.Megakaryocyte_pr...       COVAR   12577     -0.12083    -0.017768     0.095203      0.89779 Bone_Marrow.Megakaryocyte_progenitor_cell
Bone_Marrow.Monocyte_progeni...1      COVAR   12577    -0.086208    -0.014145      0.10211      0.80072 Bone_Marrow.Monocyte_progenitor
Bone_Marrow.Monocyte_progeni...2      COVAR   12577      -0.1332    -0.026358     0.080444      0.95111 Bone_Marrow.Monocyte_progenitor_cell_Ctsg_high
Bone_Marrow.Monocyte_progeni...3      COVAR   12577     -0.18318    -0.024976      0.11583       0.9431 Bone_Marrow.Monocyte_progenitor_cell_Prtn3_high
Bone_Marrow.Monocyte_Prtn3_h...       COVAR   12577    -0.037222    -0.013841     0.029508      0.89641 Bone_Marrow.Monocyte_Prtn3_high
Bone_Marrow.MSC                       COVAR   12577     -0.22701    -0.027495      0.10943      0.98097 Bone_Marrow.MSC
Bone_Marrow.Multipotent_prog...       COVAR   12577     -0.12346    -0.017747      0.11473      0.85904 Bone_Marrow.Multipotent_progenitor_Ctla2a_high
Bone_Marrow.Myoblast                  COVAR   12577    -0.098742    -0.013595     0.089004      0.86636 Bone_Marrow.Myoblast
Bone_Marrow.Neutrophil_               COVAR   12577    -0.061881   -0.0082266       0.1203      0.69651 Bone_Marrow.Neutrophil_
Bone_Marrow.Neutrophil_Cebpe...       COVAR   12577    -0.018559   -0.0035181     0.052621      0.63784 Bone_Marrow.Neutrophil_Cebpe_high
Bone_Marrow.Neutrophil_Fcnb_...       COVAR   12577     -0.13529    -0.016817      0.11151      0.88748 Bone_Marrow.Neutrophil_Fcnb_high
Bone_Marrow.Neutrophil_Ighg1...       COVAR   12577     -0.11166     -0.01106       0.1323      0.80065 Bone_Marrow.Neutrophil_Ighg1_high
Bone_Marrow.Neutrophil_Lcn2_...       COVAR   12577     -0.23326    -0.021878      0.15587      0.93272 Bone_Marrow.Neutrophil_Lcn2_high
Bone_Marrow.Neutrophil_Ltf_h...       COVAR   12577     -0.11489    -0.013558      0.10418      0.86494 Bone_Marrow.Neutrophil_Ltf_high
Bone_Marrow.Neutrophil_Mmp8_...       COVAR   12577    -0.044731   -0.0054212     0.081841      0.70765 Bone_Marrow.Neutrophil_Mmp8_high
Bone_Marrow.Neutrophil_Ngp_h...       COVAR   12577     -0.10409    -0.010535      0.11204      0.82356 Bone_Marrow.Neutrophil_Ngp_high
Bone_Marrow.Neutrophil_proge...       COVAR   12577     -0.15797    -0.015842     0.094671      0.95239 Bone_Marrow.Neutrophil_progenitor
Bone_Marrow.Neutrophil_Retnl...       COVAR   12577     -0.15304    -0.016888     0.096931      0.94281 Bone_Marrow.Neutrophil_Retnlg_high
Bone_Marrow.Osteoblasts               COVAR   12577     -0.14985    -0.018875     0.099548      0.93387 Bone_Marrow.Osteoblasts
Bone_Marrow.Pre.pro_B_cell            COVAR   12577    -0.040877    -0.005026     0.098308      0.66122 Bone_Marrow.Pre.pro_B_cell
Bone_Marrow.Proerythrocytes           COVAR   12577     -0.05159   -0.0093272      0.07697      0.74865 Bone_Marrow.Proerythrocytes
Bone_Marrow.Stromal_cell_Cnm...       COVAR   12577    -0.026698   -0.0041968     0.080342      0.63017 Bone_Marrow.Stromal_cell_Cnmd_high
Bone_Marrow.Stromal_cell_Col...1      COVAR   12577     0.014191    0.0023214      0.07468      0.42465 Bone_Marrow.Stromal_cell_Col10a1_high
Bone_Marrow.Stromal_cell_Col...2      COVAR   12577     -0.15422    -0.020416     0.097303       0.9435 Bone_Marrow.Stromal_cell_Col1a2_high
Bone_Marrow.T_cell_Ms4a4b_hi...       COVAR   12577    -0.036927   -0.0034077      0.12586      0.61539 Bone_Marrow.T_cell_Ms4a4b_high
Brain.Astrocyte_Atp1b2_high           COVAR   12577     0.049771    0.0043922      0.10191      0.31264 Brain.Astrocyte_Atp1b2_high
Brain.Astrocyte_Mfe8_high             COVAR   12577      0.03698    0.0035172     0.099534      0.35512 Brain.Astrocyte_Mfe8_high
Brain.Astrocyte_Pla2g7_high           COVAR   12577     0.024389    0.0027868     0.071026      0.36566 Brain.Astrocyte_Pla2g7_high
Brain.Astroglial_cell                 COVAR   12577    -0.084211    -0.011341     0.069145      0.88835 Brain.Astroglial_cell
Brain.Granulocyte_Il33_high           COVAR   12577     0.099502     0.012955     0.065807     0.065278 Brain.Granulocyte_Il33_high
Brain.Granulocyte_Ngp_high            COVAR   12577     0.024359     0.005118      0.03919      0.26712 Brain.Granulocyte_Ngp_high
Brain.Hypothalamic_ependymal...       COVAR   12577   -0.0083994    -0.001561     0.049804      0.56696 Brain.Hypothalamic_ependymal_cell
Brain.Macrophage_Klf2_high            COVAR   12577    -0.032554   -0.0033395      0.10014      0.62744 Brain.Macrophage_Klf2_high
Brain.Macrophage_Lyz2_high            COVAR   12577    -0.034664   -0.0042701      0.10106       0.6342 Brain.Macrophage_Lyz2_high
Brain.Microglia                       COVAR   12577    -0.099682   -0.0090263      0.11364       0.8098 Brain.Microglia
Brain.Myelinating_oligodendr...       COVAR   12577     -0.11138    -0.012458     0.087078      0.89956 Brain.Myelinating_oligodendrocyte
Brain.Neuron                          COVAR   12577     0.037368    0.0027869      0.11064      0.36778 Brain.Neuron
Brain.Oligodendrocyte_precur...       COVAR   12577     -0.12911    -0.014547     0.088528      0.92763 Brain.Oligodendrocyte_precursor_cell
Brain.Pan.GABAergic                   COVAR   12577     -0.11822    -0.013992     0.090771       0.9036 Brain.Pan.GABAergic
Brain.Schwann_cell                    COVAR   12577    0.0015852   0.00032247      0.05079      0.48755 Brain.Schwann_cell
Kidney.B_cell                         COVAR   12577    -0.031738   -0.0048073     0.063205      0.69221 Kidney.B_cell
Kidney.Dendritic_cell_Ccr7_h...       COVAR   12577    -0.017349   -0.0020852     0.092232       0.5746 Kidney.Dendritic_cell_Ccr7_high
Kidney.Dendritic_cell_Cst3_h...       COVAR   12577      0.05758    0.0061607      0.10769      0.29644 Kidney.Dendritic_cell_Cst3_high
Kidney.Distal_collecting_duc...1      COVAR   12577     0.066894    0.0078362     0.099541      0.25079 Kidney.Distal_collecting_duct_principal_cell_Cldn4_high
Kidney.Distal_collecting_duc...2      COVAR   12577     0.095577    0.0096884      0.12121       0.2152 Kidney.Distal_collecting_duct_principal_cell_Hsd11b2_high
Kidney.Distal_convoluted_tub...1      COVAR   12577      0.02704    0.0029797      0.11176      0.40441 Kidney.Distal_convoluted_tubule_Pvalb_high
Kidney.Distal_convoluted_tub...2      COVAR   12577    -0.017848   -0.0018702      0.11717      0.56053 Kidney.Distal_convoluted_tubule_S100g_high
Kidney.Endothelial_cell               COVAR   12577     -0.01534   -0.0021549     0.089551      0.56801 Kidney.Endothelial_cell
Kidney.Epithelial_cell_Cryab...       COVAR   12577     0.030336    0.0035209      0.10034       0.3812 Kidney.Epithelial_cell_Cryab_high
Kidney.Fenestrated_endotheli...1      COVAR   12577    -0.077476   -0.0085133      0.10566       0.7683 Kidney.Fenestrated_endothelial_cell_Plvap_high
Kidney.Fenestrated_endotheli...2      COVAR   12577    -0.023866   -0.0022009      0.12431      0.57613 Kidney.Fenestrated_endothelial_cell_Tm4sf1_high
Kidney.Intercalated_cells_of...1      COVAR   12577    -0.018616   -0.0020833      0.11265      0.56563 Kidney.Intercalated_cells_of_collecting_duct_Aqp6_high
Kidney.Intercalated_cells_of...2      COVAR   12577     -0.02365   -0.0026415      0.11423      0.58201 Kidney.Intercalated_cells_of_collecting_duct_Slc26a4_high
Kidney.Macrophage_Ccl4_high_          COVAR   12577     -0.22432     -0.02687      0.11915      0.97012 Kidney.Macrophage_Ccl4_high_
Kidney.Macrophage_Lyz2_high           COVAR   12577     0.049714    0.0087008     0.062913      0.21471 Kidney.Macrophage_Lyz2_high
Kidney.Neutrophil_progenitor...       COVAR   12577   -0.0017705  -0.00031773     0.048534      0.51455 Kidney.Neutrophil_progenitor_S100a8_high
Kidney.Proximal_tubule_brush...       COVAR   12577    -0.074804   -0.0097425     0.084291      0.81257 Kidney.Proximal_tubule_brush_border_cell
Kidney.Proximal_tubule_cell_...1      COVAR   12577      -0.0586   -0.0069446     0.091627      0.73876 Kidney.Proximal_tubule_cell_Cyp4a14_high
Kidney.Proximal_tubule_cell_...2      COVAR   12577   -0.0074219  -0.00092869     0.089667      0.53298 Kidney.Proximal_tubule_cell_Osgin1_high
Kidney.S1_proximal_tubule_ce...       COVAR   12577    -0.031029   -0.0039217     0.089342      0.63581 Kidney.S1_proximal_tubule_cells
Kidney.S3_proximal_tubule_ce...       COVAR   12577    -0.011863    -0.001816     0.074684       0.5631 Kidney.S3_proximal_tubule_cells
Kidney.Stromal_cell_Ankrd1_h...       COVAR   12577   -0.0030235  -0.00030401     0.097678      0.51235 Kidney.Stromal_cell_Ankrd1_high
Kidney.Stromal_cell_Cxcl10_h...       COVAR   12577      0.10435     0.013479     0.081865      0.10123 Kidney.Stromal_cell_Cxcl10_high
Kidney.Stromal_cell_Dcn_high          COVAR   12577     0.055989    0.0073002     0.088794      0.26417 Kidney.Stromal_cell_Dcn_high
Kidney.Stromal_cell_Mgp_high          COVAR   12577     0.086072     0.011526     0.072935      0.11899 Kidney.Stromal_cell_Mgp_high
Kidney.Stromal_cell_Ptgds_hi...       COVAR   12577     0.030707    0.0033501      0.12299      0.40142 Kidney.Stromal_cell_Ptgds_high
Kidney.T_cell                         COVAR   12577     -0.17991     -0.01865      0.12855      0.91916 Kidney.T_cell
Kidney.Thick_ascending_limb_...       COVAR   12577     0.060925    0.0061538      0.12333      0.31066 Kidney.Thick_ascending_limb_of_the_loop_of_Henle
Kidney.Ureteric_epithelium            COVAR   12577      0.12722     0.017608     0.086224     0.070056 Kidney.Ureteric_epithelium
Liver.B_cell_Fcmr_high                COVAR   12577    -0.038656   -0.0037001      0.12342      0.62293 Liver.B_cell_Fcmr_high
