# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bone_Marrow_c_kit.B_cell             COVAR   12577      -0.1192    -0.014669      0.13975      0.80315 Bone_Marrow_c_kit.B_cell
Bone_Marrow_c_kit.Basophil           COVAR   12577      0.15811     0.022065      0.14576      0.13903 Bone_Marrow_c_kit.Basophil
Bone_Marrow_c_kit.Eosinophil...      COVAR   12577    0.0069523   0.00089019      0.11339      0.47556 Bone_Marrow_c_kit.Eosinophil_progenitor_cell
Bone_Marrow_c_kit.Erythrocyt...1     COVAR   12577    -0.039173   -0.0073047     0.097183      0.65655 Bone_Marrow_c_kit.Erythrocyte_progenitor_Car1_high
Bone_Marrow_c_kit.Erythrocyt...2     COVAR   12577     0.015774    0.0031534     0.075156      0.41688 Bone_Marrow_c_kit.Erythrocyte_progenitor_Hba.a1_high
Bone_Marrow_c_kit.Macrophage...1     COVAR   12577      0.17769     0.021715     0.099325     0.036824 Bone_Marrow_c_kit.Macrophage_C1qc_high
Bone_Marrow_c_kit.Macrophage...2     COVAR   12577     0.039606    0.0054088      0.10529       0.3534 Bone_Marrow_c_kit.Macrophage_Cd74_high
Bone_Marrow_c_kit.Macrophage...3     COVAR   12577       0.0332    0.0051502     0.085427      0.34878 Bone_Marrow_c_kit.Macrophage_S100a4_high
Bone_Marrow_c_kit.Megakaryoc...      COVAR   12577    -0.082195    -0.012087      0.11802      0.75692 Bone_Marrow_c_kit.Megakaryocyte_progenitor_cell
Bone_Marrow_c_kit.Monocyte_p...1     COVAR   12577     0.011838    0.0019425       0.1624      0.47095 Bone_Marrow_c_kit.Monocyte_progenitor
Bone_Marrow_c_kit.Monocyte_p...2     COVAR   12577     -0.16848    -0.033339      0.12791       0.9061 Bone_Marrow_c_kit.Monocyte_progenitor_cell_Ctsg_high
