# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Embryonic_Mesenchyme.Dendrit...      COVAR   12577    -0.071038   -0.0088188      0.16155      0.66993 Embryonic_Mesenchyme.Dendritic_Cell
Embryonic_Mesenchyme.Endothe...      COVAR   12577      0.21066     0.026505      0.09361      0.01222 Embryonic_Mesenchyme.Endothelial_Cell
Embryonic_Mesenchyme.Erythro...1     COVAR   12577    -0.026961   -0.0037057      0.11602      0.59188 Embryonic_Mesenchyme.Erythroblast_Hbb.bs_high
Embryonic_Mesenchyme.Erythro...2     COVAR   12577    -0.077686    -0.015461     0.079367      0.83615 Embryonic_Mesenchyme.Erythroblast_Mt2_high
Embryonic_Mesenchyme.Erythro...3     COVAR   12577     -0.11241     -0.01265      0.11895      0.82767 Embryonic_Mesenchyme.Erythroid_Cell
Embryonic_Mesenchyme.Ganglio...1     COVAR   12577     -0.21121    -0.023546      0.13622      0.93947 Embryonic_Mesenchyme.Ganglion_cell_Cartpt_high
Embryonic_Mesenchyme.Ganglio...2     COVAR   12577    -0.077325   -0.0091734      0.11214      0.75474 Embryonic_Mesenchyme.Ganglion_cell_Gal_high
Embryonic_Mesenchyme.Ganglio...3     COVAR   12577     -0.18328    -0.016495      0.15379      0.88331 Embryonic_Mesenchyme.Ganglion_cell_Mapt_high
Embryonic_Mesenchyme.Lymphoi...      COVAR   12577      0.04191    0.0056523      0.13377      0.37703 Embryonic_Mesenchyme.Lymphoid_progenitor_cell
Embryonic_Mesenchyme.Macroph...      COVAR   12577      0.24261     0.027677      0.15711     0.061291 Embryonic_Mesenchyme.Macrophage
Embryonic_Mesenchyme.Muscle          COVAR   12577     -0.11712    -0.013819      0.18316      0.73871 Embryonic_Mesenchyme.Muscle
Embryonic_Mesenchyme.Neuron_...1     COVAR   12577     -0.21232    -0.017278      0.19254      0.86492 Embryonic_Mesenchyme.Neuron_Igfbpl1_high
Embryonic_Mesenchyme.Neuron_...2     COVAR   12577     -0.29188    -0.030418      0.14027      0.98126 Embryonic_Mesenchyme.Neuron_Isl1_high
Embryonic_Mesenchyme.Neuron_...3     COVAR   12577     -0.13138    -0.012914      0.14532      0.81701 Embryonic_Mesenchyme.Neuron_Npy_high
Embryonic_Mesenchyme.Neurona...      COVAR   12577    -0.020205   -0.0019298      0.11849       0.5677 Embryonic_Mesenchyme.Neuronal_Progenitors
Embryonic_Mesenchyme.Neutrop...      COVAR   12577    -0.054343    -0.010503     0.053467      0.84527 Embryonic_Mesenchyme.Neutrophil
