# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                          TYPE  NGENES         BETA     BETA_STD           SE            P
Dendritic_Cell                   COVAR   12577     0.045785    0.0056839      0.14664      0.37744
Endothelial_Cell                 COVAR   12577      0.26021     0.032739     0.096259    0.0034382
Erythroblast_Hbb.bs_high         COVAR   12577      0.04161    0.0057191      0.11523      0.35902
Erythroblast_Mt2_high            COVAR   12577    -0.031483   -0.0062657     0.080377      0.65235
Erythroid_Cell                   COVAR   12577    -0.066053    -0.007433      0.12664      0.69901
Ganglion_cell_Cartpt_high        COVAR   12577     -0.16338    -0.018214      0.14923      0.86318
Ganglion_cell_Gal_high           COVAR   12577    -0.031487   -0.0037354      0.12271      0.60125
Ganglion_cell_Mapt_high          COVAR   12577     -0.13618    -0.012256      0.17188       0.7859
Lymphoid_progenitor_cell         COVAR   12577       0.1303     0.017573      0.13197      0.16175
Macrophage                       COVAR   12577      0.28705     0.032748       0.1422     0.021773
Muscle                           COVAR   12577      0.05402    0.0063741      0.21077      0.39886
Neuron_Igfbpl1_high              COVAR   12577     -0.13528    -0.011008      0.22226      0.72861
Neuron_Isl1_high                 COVAR   12577     -0.27197    -0.028344      0.15686      0.95851
Neuron_Npy_high                  COVAR   12577     -0.07471   -0.0073435      0.16569      0.67397
Neuronal_Progenitors             COVAR   12577     0.025114    0.0023986      0.12787      0.42215
Neutrophil                       COVAR   12577    -0.040345   -0.0077973     0.054672      0.76972
Progenitor_cell_Ptprcap_high     COVAR   12577     -0.11579    -0.016538      0.10287      0.86981
Reproductive_tissues             COVAR   12577      0.12673     0.013244        0.139      0.18096
Skeletal_Muscle                  COVAR   12577    -0.049146    -0.005364      0.14236      0.63503
Stromal_Cell_Cldn11_high         COVAR   12577     0.081141    0.0081039      0.12267      0.25416
Stromal_Cell_Agtr2_high          COVAR   12577      0.23986     0.021265      0.22384      0.14197
Stromal_Cell_Cnmd_high           COVAR   12577      0.29977     0.031709      0.18135     0.049177
Stromal_cell_Cxcl12_high         COVAR   12577    -0.053727   -0.0045218      0.29743      0.57167
Stromal_Cell_Cxcl14_high         COVAR   12577    -0.062701   -0.0063993      0.21416      0.61515
Stromal_Cell_fabp7_high          COVAR   12577    -0.041476   -0.0044461      0.19105      0.58593
