# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Acinar_cell                         COVAR   12577      0.22949     0.035279      0.12485     0.033036 Acinar_cell
Endothelial_cell                    COVAR   12577    -0.014888    -0.001645       0.1301      0.54555 Endothelial_cell
Enteric_muscle_cell                 COVAR   12577     -0.17901    -0.017485      0.24927      0.76366 Enteric_muscle_cell
Enterocyte_progenitor               COVAR   12577     -0.59485    -0.056004       0.3656      0.94812 Enterocyte_progenitor
Enterocyte_progenitor_late_C...     COVAR   12577    -0.053616    -0.005503      0.20296      0.60417 Enterocyte_progenitor_late_Ccnb1_high
Enterocyte_progenitor_late_U...     COVAR   12577     -0.33096    -0.036395      0.25016      0.90706 Enterocyte_progenitor_late_Ube2c_high
Enteroendocrine                     COVAR   12577     -0.12373    -0.014057      0.11135      0.86674 Enteroendocrine
Epithelial_cell_Bex1_high           COVAR   12577      0.52158     0.059862      0.20197    0.0049109 Epithelial_cell_Bex1_high
Epithelial_cell_Lgals2_high         COVAR   12577       0.3551     0.042646       0.1935     0.033259 Epithelial_cell_Lgals2_high
Erythroblast_Car2_high              COVAR   12577      0.13678     0.019973     0.090006     0.064306 Erythroblast_Car2_high
Erythroblast_Hbb.bs_high            COVAR   12577    -0.017399   -0.0018923        0.232      0.52989 Erythroblast_Hbb.bs_high
Erythroblast_Hbb.y_high             COVAR   12577    -0.071129   -0.0082635      0.17527      0.65756 Erythroblast_Hbb.y_high
Macrophage_Lyz2_high                COVAR   12577      0.20947     0.024264      0.15333     0.085954 Macrophage_Lyz2_high
Macrophage_Pf4_high                 COVAR   12577      0.19793     0.021074      0.15807      0.10527 Macrophage_Pf4_high
Neuronal_cell_Fabp7_high            COVAR   12577     -0.27147    -0.028814      0.25223      0.85908 Neuronal_cell_Fabp7_high
Neuronal_Cells_Rtn1_high            COVAR   12577     -0.35958    -0.039839      0.16775      0.98396 Neuronal_Cells_Rtn1_high
Stromal_cell_Adamdec1_high          COVAR   12577     -0.15921    -0.015359      0.33473      0.68282 Stromal_cell_Adamdec1_high
Stromal_cell_Stmn2_high_            COVAR   12577     -0.37335    -0.037901      0.24576      0.93562 Stromal_cell_Stmn2_high_
Stromal_cell_Upk3b_high             COVAR   12577      0.18221     0.016768      0.22756      0.21166 Stromal_cell_Upk3b_high
T_cell                              COVAR   12577    -0.071608     -0.00869      0.15579      0.67711 T_cell
