# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Involution.B_c...1      COVAR   12577    -0.075461   -0.0070792      0.12249      0.73106 Mammary_Gland_Involution.B_cell_Cd79a_high
Mammary_Gland_Involution.B_c...2      COVAR   12577    -0.016987   -0.0016977      0.11615      0.55814 Mammary_Gland_Involution.B_cell_Jchain_high
Mammary_Gland_Involution.Den...1      COVAR   12577    -0.097322    -0.010553        0.105        0.823 Mammary_Gland_Involution.Dendritic_cell_Ccl22_high
Mammary_Gland_Involution.Den...2      COVAR   12577    -0.076181   -0.0090514     0.088926      0.80418 Mammary_Gland_Involution.Dendritic_cell_Il1b_high
Mammary_Gland_Involution.Den...3      COVAR   12577      -0.0795   -0.0091609     0.078877      0.84324 Mammary_Gland_Involution.Dendritic_cell_Siglech_high
Mammary_Gland_Involution.End...1      COVAR   12577    0.0066288   0.00073604     0.099643      0.47348 Mammary_Gland_Involution.Endothelial_cell_Aqp1_high
Mammary_Gland_Involution.End...3      COVAR   12577     -0.11438    -0.010687      0.12516       0.8196 Mammary_Gland_Involution.Endothelial_cell_Fabp4_high
Mammary_Gland_Involution.End...2      COVAR   12577    -0.023262   -0.0030322     0.078924       0.6159 Mammary_Gland_Involution.Endothelial_cell_Fabp4.Aqp1_high
Mammary_Gland_Involution.End...4      COVAR   12577     0.087112    0.0090856      0.10086      0.19389 Mammary_Gland_Involution.Endothelial_cell_Glycam1_high
Mammary_Gland_Involution.Lum...       COVAR   12577    -0.053858   -0.0059926      0.12904      0.66179 Mammary_Gland_Involution.Luminal_cell
Mammary_Gland_Involution.Mac...1      COVAR   12577     0.036616    0.0039549       0.1083      0.36765 Mammary_Gland_Involution.Macrophage_Apoe_high
Mammary_Gland_Involution.Mac...2      COVAR   12577      0.12415     0.011672      0.13025      0.17026 Mammary_Gland_Involution.Macrophage_Pf4_high
Mammary_Gland_Involution.Mac...3      COVAR   12577    0.0060863   0.00071626       0.1074      0.47741 Mammary_Gland_Involution.Macrophage_Plbd1_high
Mammary_Gland_Involution.Mac...4      COVAR   12577      0.14114     0.015649       0.1228      0.12521 Mammary_Gland_Involution.Macrophage_Retnla_high
Mammary_Gland_Involution.Mas...       COVAR   12577   -0.0086238   -0.0010493     0.072463      0.54737 Mammary_Gland_Involution.Mast_cell
Mammary_Gland_Involution.Mus...1      COVAR   12577    -0.017055   -0.0016827      0.11102      0.56104 Mammary_Gland_Involution.Muscle_cell_Inmt_high
Mammary_Gland_Involution.Mus...2      COVAR   12577    -0.063927   -0.0065912      0.11336       0.7136 Mammary_Gland_Involution.Muscle_cell_Pi16_high
Mammary_Gland_Involution.NK_...1      COVAR   12577    -0.031117   -0.0027921      0.13213      0.59309 Mammary_Gland_Involution.NK_cell_Cd8b1_high
Mammary_Gland_Involution.NK_...2      COVAR   12577     -0.14097    -0.014995      0.10638      0.90743 Mammary_Gland_Involution.NK_cell_Gzma_high
Mammary_Gland_Involution.Sec...1      COVAR   12577      0.13439     0.017395       0.1087      0.10818 Mammary_Gland_Involution.Secretory_alveoli_cell_Csn2_high
Mammary_Gland_Involution.Sec...2      COVAR   12577     0.097117     0.010203      0.14877      0.25695 Mammary_Gland_Involution.Secretory_alveoli_cell_Trf_high
Mammary_Gland_Involution.Str...       COVAR   12577    -0.010904   -0.0010184      0.12784      0.53399 Mammary_Gland_Involution.Stromal_cell
Mammary_Gland_Involution.T_c...1      COVAR   12577    -0.028025   -0.0025559      0.12266      0.59036 Mammary_Gland_Involution.T_cell_Icos_high
