# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Atrial_cardiomyocyte                COVAR   12577    0.0067166   0.00078251       0.1323      0.47976 Atrial_cardiomyocyte
Atrial_cardiomyocyte_Acta2_h...     COVAR   12577     -0.47383    -0.040344      0.21274      0.98702 Atrial_cardiomyocyte_Acta2_high
Cardiac_muscle_cell                 COVAR   12577     0.035107    0.0038658      0.11107      0.37597 Cardiac_muscle_cell
Dendritic_cell                      COVAR   12577      0.11871     0.011918      0.13222      0.18466 Dendritic_cell
Dividing_cell                       COVAR   12577      -0.1282    -0.012872      0.16954      0.77521 Dividing_cell
Endothelial_cell_Eln_high           COVAR   12577     -0.17308    -0.024849     0.087268      0.97632 Endothelial_cell_Eln_high
Endothelial_cell_Enpp2_high         COVAR   12577     -0.26075    -0.029428       0.1224      0.98341 Endothelial_cell_Enpp2_high
Endothelial_cell_Igfbp5_high        COVAR   12577      0.26558     0.024321      0.21704      0.11056 Endothelial_cell_Igfbp5_high
Epithelial_cell                     COVAR   12577     0.025249    0.0028982      0.11507      0.41316 Epithelial_cell
Left_ventricle_cardiomyocyte...     COVAR   12577   -0.0067469   -0.0007308      0.15138      0.51777 Left_ventricle_cardiomyocyte_Myl2_high
Macrophage                          COVAR   12577      0.16383     0.015871      0.14959      0.13674 Macrophage
Neutrophil_Ngp_high                 COVAR   12577      0.19635     0.022056      0.10777     0.034251 Neutrophil_Ngp_high
Neutrophil_Retnlg_high              COVAR   12577    -0.036626   -0.0043837      0.10114      0.64137 Neutrophil_Retnlg_high
Smooth_muscle_cell                  COVAR   12577    -0.082654   -0.0078654      0.17792      0.67887 Smooth_muscle_cell
Stromal_cell_Col3a1_high            COVAR   12577     0.060021    0.0049811      0.26261      0.40961 Stromal_cell_Col3a1_high
Stromal_cell_Fmod_high              COVAR   12577    -0.059369   -0.0054333      0.20477      0.61406 Stromal_cell_Fmod_high
Vascular_endothelial_cell           COVAR   12577       -0.217    -0.021998      0.16278      0.90873 Vascular_endothelial_cell
Ventricle_cardiomyocyte_Kcnj...     COVAR   12577     -0.12704    -0.011476      0.17231      0.76951 Ventricle_cardiomyocyte_Kcnj8_high
