# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neonatal_Calvaria.Dividng_ce...      COVAR   12577      0.26058     0.029874      0.11416     0.011237 Neonatal_Calvaria.Dividng_cell
Neonatal_Calvaria.Endothelia...      COVAR   12577      0.10678      0.01168      0.11839      0.18357 Neonatal_Calvaria.Endothelial_cell
Neonatal_Calvaria.Erythrobla...      COVAR   12577     0.040683     0.006851      0.05968      0.24773 Neonatal_Calvaria.Erythroblast
Neonatal_Calvaria.Granulocyt...      COVAR   12577    -0.046879   -0.0056707      0.10238      0.67648 Neonatal_Calvaria.Granulocyte_monocyte_progenitor_cell
Neonatal_Calvaria.Mast_cell          COVAR   12577      0.18072       0.0193      0.13535     0.090925 Neonatal_Calvaria.Mast_cell
Neonatal_Calvaria.Muscle_cel...1     COVAR   12577      0.18741     0.020375      0.11373     0.049699 Neonatal_Calvaria.Muscle_cell_Actc1_high
Neonatal_Calvaria.Muscle_cel...2     COVAR   12577      0.28271     0.031015      0.11626    0.0075217 Neonatal_Calvaria.Muscle_cell_Junb_high
Neonatal_Calvaria.Muscle_cel...3     COVAR   12577     0.043604    0.0041403      0.12147      0.35981 Neonatal_Calvaria.Muscle_cell_Myl9_high
Neonatal_Calvaria.Neuron             COVAR   12577      0.14419     0.012966      0.17592      0.20622 Neonatal_Calvaria.Neuron
Neonatal_Calvaria.Neutrophil         COVAR   12577      0.19202     0.021066      0.12279     0.058952 Neonatal_Calvaria.Neutrophil
Neonatal_Calvaria.Osteoblast.        COVAR   12577        0.259     0.026969      0.13748       0.0298 Neonatal_Calvaria.Osteoblast.
Neonatal_Calvaria.Preosteobl...      COVAR   12577      0.26211     0.028389      0.12689     0.019442 Neonatal_Calvaria.Preosteoblast.Osteoblast.Bone_cell.Cartilage_cell
Neonatal_Calvaria.Stromal_ce...1     COVAR   12577    -0.099498    -0.010322      0.15429      0.74049 Neonatal_Calvaria.Stromal_cell_Col1a1_high
Neonatal_Calvaria.Stromal_ce...2     COVAR   12577     0.093431    0.0091935      0.11318      0.20456 Neonatal_Calvaria.Stromal_cell_Col3a1_high
Neonatal_Heart.Atrial_cardio...1     COVAR   12577    -0.035964     -0.00419      0.11099      0.62704 Neonatal_Heart.Atrial_cardiomyocyte
Neonatal_Heart.Atrial_cardio...2     COVAR   12577     -0.38947    -0.033161      0.17264      0.98795 Neonatal_Heart.Atrial_cardiomyocyte_Acta2_high
Neonatal_Heart.Cardiac_muscl...      COVAR   12577    0.0022676    0.0002497     0.098603      0.49083 Neonatal_Heart.Cardiac_muscle_cell
Neonatal_Heart.Dendritic_cell        COVAR   12577     0.058221    0.0058453      0.13086       0.3282 Neonatal_Heart.Dendritic_cell
Neonatal_Heart.Dividing_cell         COVAR   12577     -0.18459    -0.018534      0.15219       0.8874 Neonatal_Heart.Dividing_cell
Neonatal_Heart.Endothelial_c...1     COVAR   12577     -0.16017    -0.022995     0.077962      0.98002 Neonatal_Heart.Endothelial_cell_Eln_high
Neonatal_Heart.Endothelial_c...2     COVAR   12577     -0.25812    -0.029132      0.11131      0.98979 Neonatal_Heart.Endothelial_cell_Enpp2_high
Neonatal_Heart.Endothelial_c...3     COVAR   12577      0.07695    0.0070469      0.17274      0.32799 Neonatal_Heart.Endothelial_cell_Igfbp5_high
Neonatal_Heart.Epithelial_ce...      COVAR   12577    -0.012904   -0.0014812      0.10157      0.55055 Neonatal_Heart.Epithelial_cell
Neonatal_Heart.Left_ventricl...      COVAR   12577     -0.05073    -0.005495      0.12195      0.66128 Neonatal_Heart.Left_ventricle_cardiomyocyte_Myl2_high
Neonatal_Heart.Macrophage            COVAR   12577     0.081273    0.0078735      0.14067      0.28171 Neonatal_Heart.Macrophage
Neonatal_Heart.Neutrophil_Ng...      COVAR   12577      0.13838     0.015544      0.10045     0.084181 Neonatal_Heart.Neutrophil_Ngp_high
Neonatal_Heart.Neutrophil_Re...      COVAR   12577     -0.05214   -0.0062405     0.089962      0.71889 Neonatal_Heart.Neutrophil_Retnlg_high
Neonatal_Heart.Smooth_muscle...      COVAR   12577      -0.1392    -0.013246      0.15569      0.81435 Neonatal_Heart.Smooth_muscle_cell
Neonatal_Heart.Stromal_cell_...1     COVAR   12577    -0.090987   -0.0075511      0.21032      0.66735 Neonatal_Heart.Stromal_cell_Col3a1_high
Neonatal_Heart.Stromal_cell_...2     COVAR   12577     -0.15336    -0.014035      0.18162      0.80078 Neonatal_Heart.Stromal_cell_Fmod_high
Neonatal_Heart.Vascular_endo...      COVAR   12577     -0.22015    -0.022317      0.13857      0.94392 Neonatal_Heart.Vascular_endothelial_cell
Neonatal_Heart.Ventricle_car...      COVAR   12577      -0.1486    -0.013423      0.14646      0.84483 Neonatal_Heart.Ventricle_cardiomyocyte_Kcnj8_high
Neonatal_Muscle.Adipocyte.           COVAR   12577    -0.067978   -0.0093295     0.098977      0.75389 Neonatal_Muscle.Adipocyte.
Neonatal_Muscle.B_cell               COVAR   12577       -0.245    -0.031219      0.10596      0.98961 Neonatal_Muscle.B_cell
Neonatal_Muscle.Brown_adipos...      COVAR   12577     -0.12373    -0.020532     0.073527      0.95378 Neonatal_Muscle.Brown_adipose_tissue
Neonatal_Muscle.Chondrocyte          COVAR   12577      0.36388     0.039007      0.14816    0.0070335 Neonatal_Muscle.Chondrocyte
Neonatal_Muscle.Dendritic_ce...      COVAR   12577    -0.037034   -0.0045026     0.097896      0.64739 Neonatal_Muscle.Dendritic_cell
Neonatal_Muscle.Endothelial_...      COVAR   12577     -0.22802    -0.025312      0.13298      0.95679 Neonatal_Muscle.Endothelial_cell
Neonatal_Muscle.Epithelial_c...      COVAR   12577     -0.21317    -0.022242      0.15315      0.91801 Neonatal_Muscle.Epithelial_cell
Neonatal_Muscle.Erythroblast...1     COVAR   12577     0.019451    0.0032168      0.07715      0.40048 Neonatal_Muscle.Erythroblast_Car2_high
Neonatal_Muscle.Erythroblast...2     COVAR   12577     0.026567    0.0032673     0.088903      0.38253 Neonatal_Muscle.Erythroblast_Hbb.bs_high
