# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Cumulus_cell_Car14_high             COVAR   12577     -0.14697    -0.019935      0.17098      0.80497 Cumulus_cell_Car14_high
Cumulus_cell_Nupr1_high             COVAR   12577     -0.10744    -0.011413      0.21982      0.68749 Cumulus_cell_Nupr1_high
Cumulus_cell_Ube2c_high             COVAR   12577    -0.032402   -0.0051654      0.14003      0.59149 Cumulus_cell_Ube2c_high
Granulosa_cell_Inhba_high           COVAR   12577     -0.13351    -0.015803      0.18958      0.75935 Granulosa_cell_Inhba_high
Granulosa_cell_Kctd14_high          COVAR   12577      0.31607     0.034262      0.19724     0.054536 Granulosa_cell_Kctd14_high
Large_luteal_cell                   COVAR   12577     -0.15341    -0.027677      0.14678      0.85202 Large_luteal_cell
luteal_cells                        COVAR   12577      0.01976    0.0053729     0.096427      0.41882 luteal_cells
Macrophage_Lyz2_high                COVAR   12577     0.042047    0.0063254      0.09139      0.32273 Macrophage_Lyz2_high
Marcrophage_Cd74_high               COVAR   12577     0.033051    0.0041131     0.075938       0.3317 Marcrophage_Cd74_high
Ovarian_surface_epithelium_c...     COVAR   12577     0.061418    0.0090245      0.10889      0.28638 Ovarian_surface_epithelium_cell
Ovarian_vascular_surface_end...     COVAR   12577    -0.086517    -0.016177     0.091424        0.828 Ovarian_vascular_surface_endothelium_cell
Small_luteal_cell                   COVAR   12577     -0.26899    -0.026664      0.23543      0.87337 Small_luteal_cell
Stroma_cell_                        COVAR   12577     -0.15083    -0.019328      0.16563      0.81875 Stroma_cell_
Thecal_cell                         COVAR   12577      0.38699     0.050537      0.15868    0.0073755 Thecal_cell
