# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                           TYPE  NGENES         BETA     BETA_STD           SE            P
Acinar_cell                       COVAR   12577     0.061273    0.0069367     0.096021       0.2617
B_cell                            COVAR   12577    -0.050909   -0.0064914     0.075698      0.74937
Dendrtic_cell                     COVAR   12577      0.09045    0.0099391      0.10647      0.19781
Dividing_cell                     COVAR   12577    -0.047129   -0.0086952     0.069229      0.75199
Ductal_cell                       COVAR   12577       0.2299     0.024457       0.1334     0.042428
Endocrine_cell                    COVAR   12577     0.080361    0.0078107      0.13736      0.27927
Endothelial_cell_Fabp4_high       COVAR   12577     -0.13543    -0.012413      0.16946      0.78791
Endothelial_cell_Lrg1_high        COVAR   12577     -0.10879    -0.014107     0.097863      0.86685
Endothelial_cell_Tm4sf1_high      COVAR   12577      -0.1893    -0.017575      0.15074       0.8954
Erythroblast_Hbb.bt_high          COVAR   12577     0.020245     0.002874     0.081702      0.40215
Erythroblast_Igkc_high            COVAR   12577       0.1071    0.0097459      0.12972      0.20452
Granulocyte                       COVAR   12577    -0.077262    -0.012985     0.054757      0.92086
Macrophage                        COVAR   12577       0.1613     0.013591      0.15714      0.15234
Macrophage_Ly6c2_high             COVAR   12577    -0.046017   -0.0049071      0.10044      0.67658
Smooth_muscle_cell_Acta2_high     COVAR   12577     -0.13069    -0.013781      0.11216      0.87803
Smooth_muscle_cell_Rgs5_high      COVAR   12577     0.011648    0.0011479      0.10696      0.45664
Stromal_cell_Fn1_high             COVAR   12577      0.10554     0.012277      0.12833      0.20544
Stromal_cell_Mfap4_high           COVAR   12577    -0.027451   -0.0037534      0.10684      0.60138
Stromal_cell_Smoc2_high           COVAR   12577     0.030087    0.0032872      0.14374       0.4171
T_cell                            COVAR   12577     -0.04268   -0.0044295     0.097037      0.66996
β.cell                           COVAR   12577    0.0060947   0.00082318     0.096991      0.47495
