# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bladder.Basal_epithelial_cell         COVAR   12577     0.090473     0.017622     0.068649     0.093779 Bladder.Basal_epithelial_cell
Bladder.Dendritic_cell_Cd74_...       COVAR   12577    -0.036767   -0.0042777       0.1072      0.63418 Bladder.Dendritic_cell_Cd74_high
Bladder.Dendritic_cell_Lyz2_...       COVAR   12577    -0.021476   -0.0030098     0.095868      0.58863 Bladder.Dendritic_cell_Lyz2_high
Bladder.Endothelial_cell_Ly6...       COVAR   12577   -0.0032118   -0.0004351     0.085794      0.51493 Bladder.Endothelial_cell_Ly6c1_high
Bladder.Epithelial_cell_Gm23...       COVAR   12577      0.10986     0.012687     0.096455      0.12738 Bladder.Epithelial_cell_Gm23935_high
Bladder.Epithelial_cell_Upk3...       COVAR   12577     0.081526     0.011363     0.088867      0.17948 Bladder.Epithelial_cell_Upk3a_high
Bladder.Macrophage_Pf4_high           COVAR   12577    -0.021011   -0.0026457      0.08538      0.59719 Bladder.Macrophage_Pf4_high
Bladder.Mesenchymal_stromal_...       COVAR   12577     0.026815    0.0033518      0.10119      0.39551 Bladder.Mesenchymal_stromal_cell
Bladder.NK_cell                       COVAR   12577    -0.018037   -0.0022409      0.10946      0.56544 Bladder.NK_cell
Bladder.Smooth_muscle_cell            COVAR   12577       -0.133     -0.01549      0.10402      0.89948 Bladder.Smooth_muscle_cell
Bladder.Stromal_cell_Car3_hi...       COVAR   12577    -0.083877     -0.01228     0.086229      0.83464 Bladder.Stromal_cell_Car3_high
Bladder.Stromal_cell_Dpt_high         COVAR   12577     0.030266    0.0043766     0.081143      0.35458 Bladder.Stromal_cell_Dpt_high
Bladder.Umbrella_cell                 COVAR   12577     0.030187      0.01382     0.028079      0.14118 Bladder.Umbrella_cell
Bladder.Urothelium                    COVAR   12577     0.059222     0.017343     0.044391     0.091096 Bladder.Urothelium
Bladder.Vascular_endothelial...       COVAR   12577     0.086612     0.010751      0.10238      0.19879 Bladder.Vascular_endothelial_cell
Bladder.Vascular_smooth_musc...       COVAR   12577   0.00064237   8.9322e-05     0.069053      0.49629 Bladder.Vascular_smooth_muscle_progenitor_cell
Bone_Marrow.B_cell                    COVAR   12577      -0.2561    -0.030995      0.14001       0.9663 Bone_Marrow.B_cell
Bone_Marrow.B_cell_Igkc_high          COVAR   12577     -0.11532    -0.014973     0.078408      0.92931 Bone_Marrow.B_cell_Igkc_high
Bone_Marrow.Basophil                  COVAR   12577    0.0017492   0.00024411      0.10997      0.49365 Bone_Marrow.Basophil
Bone_Marrow.Basophils                 COVAR   12577     0.041128     0.005383      0.13158       0.3773 Bone_Marrow.Basophils
Bone_Marrow.CXCL12.abundant_...       COVAR   12577    0.0075981    0.0011256      0.08812      0.46564 Bone_Marrow.CXCL12.abundant_reticular_cell
Bone_Marrow.Dendritic_cell_S...       COVAR   12577    -0.083613    -0.012869     0.066086      0.89709 Bone_Marrow.Dendritic_cell_Siglech_high
Bone_Marrow.Endothelial_cells         COVAR   12577    0.0073911    0.0010677       0.1049      0.47192 Bone_Marrow.Endothelial_cells
Bone_Marrow.Endothelial_cell...       COVAR   12577      -0.1974    -0.021202      0.14774      0.90922 Bone_Marrow.Endothelial_cells_Ly6c1_high
Bone_Marrow.Eosinophil_proge...       COVAR   12577    -0.054541   -0.0069836     0.098242       0.7106 Bone_Marrow.Eosinophil_progenitor_cell
Bone_Marrow.Eosinophils               COVAR   12577    -0.090137    -0.011118      0.10689      0.80046 Bone_Marrow.Eosinophils
Bone_Marrow.Erythroblast              COVAR   12577    -0.032089   -0.0042231      0.10764      0.61719 Bone_Marrow.Erythroblast
Bone_Marrow.Erythrocyte_prog...1      COVAR   12577    -0.088512    -0.016505     0.079983      0.86576 Bone_Marrow.Erythrocyte_progenitor_Car1_high
Bone_Marrow.Erythrocyte_prog...2      COVAR   12577    -0.029383   -0.0058741     0.064925      0.67457 Bone_Marrow.Erythrocyte_progenitor_Hba.a1_high
Bone_Marrow.Erythrocytes              COVAR   12577      0.01962     0.003069      0.08993      0.41365 Bone_Marrow.Erythrocytes
Bone_Marrow.Fibroblasts               COVAR   12577     -0.17906    -0.023537     0.099664      0.96379 Bone_Marrow.Fibroblasts
Bone_Marrow.Granulocyte_mono...       COVAR   12577    -0.061164   -0.0094836     0.079932      0.77791 Bone_Marrow.Granulocyte_monocyte_progenitors
Bone_Marrow.Hematopoietic_st...       COVAR   12577    -0.020353   -0.0039609     0.061222      0.63022 Bone_Marrow.Hematopoietic_stem_progenitor_cell
Bone_Marrow.Macrophage_C1qc_...       COVAR   12577      0.11613     0.014193     0.097456      0.11671 Bone_Marrow.Macrophage_C1qc_high
Bone_Marrow.Macrophage_Cd74_...       COVAR   12577    -0.030783   -0.0042038     0.095955      0.62582 Bone_Marrow.Macrophage_Cd74_high
Bone_Marrow.Macrophage_Ms4a6...       COVAR   12577     0.038479    0.0084002     0.056984      0.24977 Bone_Marrow.Macrophage_Ms4a6c_high
Bone_Marrow.Macrophage_S100a...       COVAR   12577    -0.028051   -0.0038751     0.087917      0.62516 Bone_Marrow.Macrophage_S100a4_high
Bone_Marrow.Megakaryocyte             COVAR   12577   -0.0090891   -0.0017834     0.062476      0.55783 Bone_Marrow.Megakaryocyte
Bone_Marrow.Megakaryocyte_pr...       COVAR   12577     -0.13917    -0.020465      0.10102      0.91582 Bone_Marrow.Megakaryocyte_progenitor_cell
Bone_Marrow.Monocyte_progeni...1      COVAR   12577    -0.098638    -0.016185      0.10791      0.81966 Bone_Marrow.Monocyte_progenitor
Bone_Marrow.Monocyte_progeni...2      COVAR   12577     -0.14673    -0.029035     0.083988      0.95967 Bone_Marrow.Monocyte_progenitor_cell_Ctsg_high
Bone_Marrow.Monocyte_progeni...3      COVAR   12577     -0.19943    -0.027191      0.12028      0.95133 Bone_Marrow.Monocyte_progenitor_cell_Prtn3_high
Bone_Marrow.Monocyte_Prtn3_h...       COVAR   12577    -0.037929    -0.014104     0.029728      0.89899 Bone_Marrow.Monocyte_Prtn3_high
Bone_Marrow.MSC                       COVAR   12577     -0.25193    -0.030514      0.11457      0.98605 Bone_Marrow.MSC
Bone_Marrow.Multipotent_prog...       COVAR   12577     -0.14056    -0.020206      0.12123      0.87685 Bone_Marrow.Multipotent_progenitor_Ctla2a_high
Bone_Marrow.Myoblast                  COVAR   12577     -0.11253    -0.015494     0.093693      0.88513 Bone_Marrow.Myoblast
Bone_Marrow.Neutrophil                COVAR   12577    -0.076024    -0.010107       0.1296      0.72126 Bone_Marrow.Neutrophil
Bone_Marrow.Neutrophil_proge...       COVAR   12577     -0.15164    -0.015207     0.093288      0.94796 Bone_Marrow.Neutrophil_progenitor
Bone_Marrow.Neutrophil_Cebpe...       COVAR   12577    -0.018169   -0.0034443     0.052421      0.63555 Bone_Marrow.Neutrophil_Cebpe_high
Bone_Marrow.Neutrophil_Fcnb_...       COVAR   12577     -0.13568    -0.016864      0.11169      0.88776 Bone_Marrow.Neutrophil_Fcnb_high
Bone_Marrow.Neutrophil_Ighg1...       COVAR   12577     -0.11626    -0.011516      0.13436      0.80656 Bone_Marrow.Neutrophil_Ighg1_high
Bone_Marrow.Neutrophil_Lcn2_...       COVAR   12577     -0.24628      -0.0231       0.1596      0.93858 Bone_Marrow.Neutrophil_Lcn2_high
Bone_Marrow.Neutrophil_Ltf_h...       COVAR   12577     -0.11276    -0.013307      0.10348      0.86206 Bone_Marrow.Neutrophil_Ltf_high
Bone_Marrow.Neutrophil_Mmp8_...       COVAR   12577    -0.041305    -0.005006     0.080274      0.69656 Bone_Marrow.Neutrophil_Mmp8_high
Bone_Marrow.Neutrophil_Ngp_h...       COVAR   12577    -0.099903    -0.010111       0.1105      0.81702 Bone_Marrow.Neutrophil_Ngp_high
Bone_Marrow.Neutrophil_Retnl...       COVAR   12577     -0.14961    -0.016509     0.096104      0.94022 Bone_Marrow.Neutrophil_Retnlg_high
Bone_Marrow.Osteoblasts               COVAR   12577     -0.16688     -0.02102      0.10414      0.94546 Bone_Marrow.Osteoblasts
Bone_Marrow.Pre.pro_B_cell            COVAR   12577    -0.043134   -0.0053035     0.099856      0.66711 Bone_Marrow.Pre.pro_B_cell
Bone_Marrow.Proerythrocytes           COVAR   12577    -0.065313    -0.011808     0.083983      0.78162 Bone_Marrow.Proerythrocytes
Bone_Marrow.Stromal_cell_Cnm...       COVAR   12577    -0.033273   -0.0052304     0.085364      0.65165 Bone_Marrow.Stromal_cell_Cnmd_high
Bone_Marrow.Stromal_cell_Col...1      COVAR   12577     0.013255    0.0021683      0.07819       0.4327 Bone_Marrow.Stromal_cell_Col10a1_high
Bone_Marrow.Stromal_cell_Col...2      COVAR   12577     -0.17513    -0.023184      0.10273      0.95588 Bone_Marrow.Stromal_cell_Col1a2_high
Bone_Marrow.T_cell_Ms4a4b_hi...       COVAR   12577      -0.0354   -0.0032668      0.12481      0.61165 Bone_Marrow.T_cell_Ms4a4b_high
Brain.Astrocyte_Atp1b2_high           COVAR   12577     0.049786    0.0043936      0.10199      0.31273 Brain.Astrocyte_Atp1b2_high
Brain.Astrocyte_Mfe8_high             COVAR   12577     0.036894     0.003509      0.09987      0.35591 Brain.Astrocyte_Mfe8_high
Brain.Astrocyte_Pla2g7_high           COVAR   12577     0.024335    0.0027806     0.071083      0.36605 Brain.Astrocyte_Pla2g7_high
Brain.Astroglial_cell                 COVAR   12577    -0.085058    -0.011455     0.069387      0.88986 Brain.Astroglial_cell
Brain.Granulocyte_Il33_high           COVAR   12577     0.099652     0.012975     0.065906     0.065276 Brain.Granulocyte_Il33_high
Brain.Granulocyte_Ngp_high            COVAR   12577     0.024596    0.0051677     0.038977      0.26401 Brain.Granulocyte_Ngp_high
Brain.Hypothalamic_ependymal...       COVAR   12577   -0.0084076   -0.0015625     0.049829      0.56699 Brain.Hypothalamic_ependymal_cell
Brain.Macrophage_Klf2_high            COVAR   12577     -0.03141   -0.0032222     0.099485      0.62389 Brain.Macrophage_Klf2_high
Brain.Macrophage_Lyz2_high            COVAR   12577    -0.031194   -0.0038426     0.098551      0.62419 Brain.Macrophage_Lyz2_high
Brain.Microglia                       COVAR   12577     -0.09765   -0.0088424      0.11292       0.8064 Brain.Microglia
Brain.Myelinating_oligodendr...       COVAR   12577     -0.11302    -0.012641     0.087542      0.90164 Brain.Myelinating_oligodendrocyte
Brain.Neuron                          COVAR   12577     0.036832    0.0027469      0.11101      0.37003 Brain.Neuron
Brain.Oligodendrocyte_precur...       COVAR   12577     -0.13535    -0.015249      0.09013       0.9334 Brain.Oligodendrocyte_precursor_cell
Brain.Pan.GABAergic                   COVAR   12577     -0.13209    -0.015632     0.094713      0.91842 Brain.Pan.GABAergic
Brain.Schwann_cell                    COVAR   12577    0.0015694   0.00031927     0.050862      0.48769 Brain.Schwann_cell
Kidney.B_cell                         COVAR   12577    -0.031578   -0.0047832     0.063151      0.69147 Kidney.B_cell
Kidney.Dendritic_cell_Ccr7_h...       COVAR   12577    -0.016722   -0.0020098      0.09179      0.57228 Kidney.Dendritic_cell_Ccr7_high
Kidney.Dendritic_cell_Cst3_h...       COVAR   12577      0.05787    0.0061918      0.10822      0.29642 Kidney.Dendritic_cell_Cst3_high
Kidney.Distal_collecting_duc...1      COVAR   12577     0.066763    0.0078209     0.099142      0.25035 Kidney.Distal_collecting_duct_principal_cell_Cldn4_high
Kidney.Distal_collecting_duc...2      COVAR   12577     0.094897    0.0096195      0.12029      0.21509 Kidney.Distal_collecting_duct_principal_cell_Hsd11b2_high
Kidney.Distal_convoluted_tub...1      COVAR   12577     0.027269     0.003005      0.11122      0.40316 Kidney.Distal_convoluted_tubule_Pvalb_high
Kidney.Distal_convoluted_tub...2      COVAR   12577    -0.017321   -0.0018151      0.11677      0.55896 Kidney.Distal_convoluted_tubule_S100g_high
Kidney.Endothelial_cell               COVAR   12577    -0.015719   -0.0022081     0.090047      0.56929 Kidney.Endothelial_cell
