# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Aorta.endothelial_cell               COVAR   12076    -0.017151    -0.023259     0.010996      0.94058 Aorta.endothelial_cell
Aorta.erythrocyte                    COVAR   12076     0.045945     0.017454     0.030173     0.063926 Aorta.erythrocyte
Aorta.fibroblast                     COVAR   12076    0.0022161    0.0037191    0.0095853      0.40858 Aorta.fibroblast
Aorta.professional_antigen_p...      COVAR   12076    -0.012588    -0.019673     0.013063      0.83237 Aorta.professional_antigen_presenting_cell
Bladder.bladder_cell                 COVAR   12076    0.0048018    0.0099856    0.0067495      0.23842 Bladder.bladder_cell
Bladder.bladder_urothelial_c...      COVAR   12076    0.0069388     0.016239    0.0060735      0.12664 Bladder.bladder_urothelial_cell
Brain_Myeloid.macrophage             COVAR   12076   -0.0059894   -0.0087336     0.010714      0.71192 Brain_Myeloid.macrophage
Brain_Myeloid.microglial_cell        COVAR   12076   -0.0084159    -0.011517    0.0086583      0.83447 Brain_Myeloid.microglial_cell
Brain_Non.Myeloid.astrocyte_...      COVAR   12076    0.0034849     0.004956    0.0077806      0.32712 Brain_Non.Myeloid.astrocyte_of_the_cerebral_cortex
Brain_Non.Myeloid.Bergmann_g...      COVAR   12076    -0.010157    -0.016597    0.0068132      0.93199 Brain_Non.Myeloid.Bergmann_glial_cell
Brain_Non.Myeloid.brain_peri...      COVAR   12076   -0.0027007   -0.0049609    0.0071557      0.64707 Brain_Non.Myeloid.brain_pericyte
Brain_Non.Myeloid.endothelia...      COVAR   12076    -0.008348    -0.013608    0.0086022      0.83408 Brain_Non.Myeloid.endothelial_cell
Brain_Non.Myeloid.neuron             COVAR   12076  -3.0435e-05  -5.6324e-05     0.006289      0.50193 Brain_Non.Myeloid.neuron
Brain_Non.Myeloid.oligodendr...1     COVAR   12076   -0.0049159   -0.0084841    0.0064111      0.77839 Brain_Non.Myeloid.oligodendrocyte
Brain_Non.Myeloid.oligodendr...2     COVAR   12076   -3.133e-05  -6.0519e-05    0.0059559       0.5021 Brain_Non.Myeloid.oligodendrocyte_precursor_cell
Diaphragm.endothelial_cell           COVAR   12076   -0.0015018   -0.0017035     0.011104      0.55379 Diaphragm.endothelial_cell
Diaphragm.lymphocyte                 COVAR   12076   -0.0085847    -0.011854     0.012047      0.76195 Diaphragm.lymphocyte
Diaphragm.macrophage                 COVAR   12076  -0.00015184   -0.0002297    0.0094815      0.50639 Diaphragm.macrophage
Diaphragm.mesenchymal_stem_c...      COVAR   12076      0.01059     0.017936    0.0080015      0.09285 Diaphragm.mesenchymal_stem_cell
Diaphragm.skeletal_muscle_sa...      COVAR   12076     0.021696     0.027772     0.010898      0.02326 Diaphragm.skeletal_muscle_satellite_stem_cell
