# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bladder.mesenchymal_cell            COVAR   12076     0.020428    0.0081678     0.036994      0.29042 Bladder.mesenchymal_cell
Bladder.bladder_cell                COVAR   12076     0.043534     0.025291     0.025711     0.045223 Bladder.bladder_cell
Bladder.endothelial_cell            COVAR   12076    0.0088397    0.0032547     0.052332      0.43293 Bladder.endothelial_cell
Bladder.basal_cell_of_urothe...     COVAR   12076     0.037896     0.022313       0.0259     0.071725 Bladder.basal_cell_of_urothelium
Bladder.leukocyte                   COVAR   12076     0.021222    0.0078219     0.043381      0.31236 Bladder.leukocyte
Heart.endothelial_cell              COVAR   12076     -0.07372    -0.021247     0.048916      0.93409 Heart.endothelial_cell
Heart.fibroblast                    COVAR   12076   0.00079984   0.00027886     0.042796      0.49254 Heart.fibroblast
Heart.cardiac_muscle_cell           COVAR   12076     0.023243    0.0063068     0.046956      0.31031 Heart.cardiac_muscle_cell
Heart.endocardial_cell              COVAR   12076     0.030813     0.012511     0.037348      0.20469 Heart.endocardial_cell
Heart.smooth_muscle_cell            COVAR   12076    -0.013355   -0.0045888     0.039792      0.63142 Heart.smooth_muscle_cell
Heart.erythrocyte                   COVAR   12076     0.041481     0.015781     0.041876      0.16096 Heart.erythrocyte
Kidney.leukocyte                    COVAR   12076    -0.048918     -0.01098     0.092135      0.70226 Kidney.leukocyte
Kidney.fenestrated_cell             COVAR   12076     -0.10196     -0.02924     0.056397      0.96467 Kidney.fenestrated_cell
Kidney.smooth_muscle_cell           COVAR   12076    -0.013752   -0.0049917     0.039648      0.63565 Kidney.smooth_muscle_cell
Kidney.kidney_tubule_cell           COVAR   12076   -0.0027941  -0.00086857      0.03809      0.52924 Kidney.kidney_tubule_cell
Kidney.kidney_collecting_duc...     COVAR   12076     0.024978     0.010127     0.033238      0.22618 Kidney.kidney_collecting_duct_cell
Kidney.macrophage                   COVAR   12076    -0.010199    -0.003145     0.053536      0.57554 Kidney.macrophage
Kidney.fibroblast                   COVAR   12076     0.028051     0.013132     0.038685       0.2342 Kidney.fibroblast
Kidney.endothelial_cell             COVAR   12076    -0.028282    -0.011485     0.037004      0.77765 Kidney.endothelial_cell
Liver.hepatocyte                    COVAR   12076     0.015833    0.0052752     0.030213      0.30013 Liver.hepatocyte
Liver.endothelial_cell              COVAR   12076    -0.072248    -0.017399     0.050152      0.92513 Liver.endothelial_cell
Lung.macrophage                     COVAR   12076   -0.0061233   -0.0021478     0.052589      0.54635 Lung.macrophage
Lung.B_cell                         COVAR   12076    -0.054178    -0.010847     0.075381      0.76384 Lung.B_cell
Lung.natural_killer_cell            COVAR   12076     -0.12447     -0.02474     0.080037      0.94003 Lung.natural_killer_cell
Lung.T_cell                         COVAR   12076    -0.097842     -0.02249       0.0722       0.9123 Lung.T_cell
Lung.endothelial_cell               COVAR   12076    -0.051247    -0.013528     0.056856      0.81629 Lung.endothelial_cell
Lung.stromal_cell                   COVAR   12076    -0.020603   -0.0046547     0.058751      0.63708 Lung.stromal_cell
Lung.dendritic_cell                 COVAR   12076    -0.046264    -0.013857     0.053361      0.80702 Lung.dendritic_cell
Lung.leukocyte                      COVAR   12076     -0.11999    -0.020955     0.075847      0.94315 Lung.leukocyte
Lung.monocyte                       COVAR   12076    0.0013884   0.00055478     0.041981      0.48681 Lung.monocyte
Lung.ciliated_cell                  COVAR   12076   -0.0011494  -0.00057551     0.024648       0.5186 Lung.ciliated_cell
Lung.type_II_pneumocyte             COVAR   12076     -0.03673    -0.012594     0.043849      0.79888 Lung.type_II_pneumocyte
