Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
TabulaMuris_FACS_Aorta	erythrocyte	12076	0.067897	0.025793	0.034112	0.023286	0.093144	0.995669285579286
TabulaMuris_FACS_Aorta	fibroblast	12076	0.012667	0.021258	0.013006	0.16505	0.3301	0.995669285579286
TabulaMuris_FACS_Aorta	professional_antigen_presenting_cell	12076	-0.00098861	-0.0015451	0.01219	0.53232	0.70976	0.995669285579286
TabulaMuris_FACS_Aorta	endothelial_cell	12076	-0.019173	-0.026	0.01373	0.91869	0.91869	0.995669285579286
MouseCellAtlas_Bladder	Urothelium	12577	0.062919	0.018426	0.072375	0.19234	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Basal_epithelial_cell	12577	0.086484	0.016845	0.10784	0.2113	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Epithelial_cell_Gm23935_high	12577	0.088073	0.010171	0.13661	0.25956	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Umbrella_cell	12577	0.020334	0.0093094	0.044567	0.3241	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Vascular_endothelial_cell	12577	0.031133	0.0038645	0.10981	0.38839	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Epithelial_cell_Upk3a_high	12577	0.032963	0.0045944	0.13632	0.40447	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Stromal_cell_Dpt_high	12577	-0.015997	-0.0023131	0.089094	0.57124	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Mesenchymal_stromal_cell	12577	-0.04011	-0.0050136	0.11192	0.63996	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Vascular_smooth_muscle_progenitor_cell	12577	-0.029585	-0.0041138	0.073643	0.65606	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Endothelial_cell_Ly6c1_high	12577	-0.04865	-0.0065905	0.089272	0.7071	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Macrophage_Pf4_high	12577	-0.053296	-0.0067109	0.085255	0.73405	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	NK_cell	12577	-0.074465	-0.0092517	0.10711	0.75653	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Dendritic_cell_Cd74_high	12577	-0.069436	-0.0080785	0.099197	0.75802	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Dendritic_cell_Lyz2_high	12577	-0.091158	-0.012775	0.102	0.81426	0.930582857142857	0.995669285579286
MouseCellAtlas_Bladder	Stromal_cell_Car3_high	12577	-0.15381	-0.022518	0.09279	0.95128	0.97048	0.995669285579286
MouseCellAtlas_Bladder	Smooth_muscle_cell	12577	-0.20676	-0.024079	0.1095	0.97048	0.97048	0.995669285579286
TabulaMuris_FACS_Bladder	bladder_urothelial_cell	12076	0.0027019	0.0063232	0.0094124	0.38704	0.6019	0.995669285579286
TabulaMuris_FACS_Bladder	bladder_cell	12076	-0.0024395	-0.0050731	0.0094457	0.6019	0.6019	0.995669285579286
TabulaMuris_droplet_Bladder	bladder_cell	12076	0.040538	0.023551	0.043137	0.17368	0.753725	0.995669285579286
TabulaMuris_droplet_Bladder	basal_cell_of_urothelium	12076	0.02288	0.013472	0.043989	0.30149	0.753725	0.995669285579286
TabulaMuris_droplet_Bladder	mesenchymal_cell	12076	-0.017085	-0.0068312	0.040139	0.66481	0.78708	0.995669285579286
TabulaMuris_droplet_Bladder	leukocyte	12076	-0.022724	-0.0083755	0.04379	0.69809	0.78708	0.995669285579286
TabulaMuris_droplet_Bladder	endothelial_cell	12076	-0.034662	-0.012762	0.043525	0.78708	0.78708	0.995669285579286
GSE89232_Human_Blood	CB_pre_cDC	12192	-0.058132	-0.060597	0.032856	0.96157	0.96157	0.995669285579286
GSE89232_Human_Blood	Blood_pre_cDC	12192	NA	NA	NA	NA	NA	NA
GSE89232_Human_Blood	CD141_cDC	12192	NA	NA	NA	NA	NA	NA
GSE89232_Human_Blood	CD1c_cDC	12192	NA	NA	NA	NA	NA	NA
MouseCellAtlas_Peripheral_Blood	Macrophage_Pf4_high	12577	0.12502	0.016867	0.069471	0.035971	0.668108	0.995669285579286
MouseCellAtlas_Peripheral_Blood	Basophil_Prss34_high	12577	0.19949	0.022101	0.14017	0.077356	0.668108	0.995669285579286
