annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	0	0	0	0.271764221704698
UTR5	68533	0.00279438366924883	0	0	0	1
downstream	277044	0.0112962693777213	0	0	0	0.288433782515389
exonic	264904	0.0108012696295025	0	0	0	0.281185536265068
intergenic	11376644	0.463874457625636	0	0	0	3.3227665257339e-53
intronic	8979212	0.366120896145261	143	0.737113402061856	2.01330601400419	1.1523293277164e-25
ncRNA_exonic	257913	0.0105162166443461	0	0	0	0.277865715846359
ncRNA_intronic	2807030	0.114454624649316	46	0.237113402061856	2.0716803955136	1.37427544173326e-06
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	5	0.0257731958762887	2.46284641757277	0.0544523128582773
