# MEAN_SAMPLE_SIZE = 27993
# TOTAL_GENES = 15564
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      21     -0.45032    -0.016531      0.18056      0.99368 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      29      0.26456      0.01141      0.18179     0.072807 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       6     -0.32884   -0.0064556      0.39907      0.79503 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12    -0.030912  -0.00085804      0.27127      0.54536 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      15      0.34385      0.01067      0.20918     0.050119 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      12     0.052024    0.0014441      0.29625       0.4303 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      30     -0.15974   -0.0070068      0.17918      0.81367 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      15     -0.12945    -0.004017      0.21794      0.72374 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      27     -0.24353    -0.010135      0.15235      0.94502 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      21     -0.24382   -0.0089502      0.18835      0.90223 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      19     -0.53559    -0.018703      0.20438      0.99561 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      22     -0.12212   -0.0045881      0.19854      0.73074 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      35     -0.47312    -0.022411      0.14597       0.9994 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     422     0.027072    0.0043971     0.042192      0.26056 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     811    -0.025677   -0.0057068     0.031152      0.79509 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     140    -0.082719   -0.0078102     0.078573      0.85377 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     225     0.012973    0.0015486      0.06458      0.42039 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      85    -0.039719   -0.0029273     0.094779      0.66241 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     111    -0.054956   -0.0046247     0.087879      0.73413 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     223      0.02914    0.0034631     0.057873       0.3073 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     715    -0.017032   -0.0035658      0.03215      0.70186 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     619     -0.03983   -0.0077838     0.038212      0.85136 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     280  -0.00069968  -9.3001e-05     0.049929      0.50559 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     147     0.015356    0.0014853     0.072183      0.41577 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET      81    -0.081909   -0.0058938     0.096258      0.80259 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      72    -0.057034   -0.0038703     0.098861        0.718 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      56    -0.013188  -0.00078969      0.12157      0.54319 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     210    -0.017253   -0.0019906     0.063589      0.60693 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     154      0.12228     0.012104     0.073647     0.048431 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET       9     -0.89075    -0.021414      0.29014      0.99893 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     202     0.063375    0.0071732      0.06788      0.17525 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
