# MEAN_SAMPLE_SIZE = 27992
# TOTAL_GENES = 14489
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   14489    0.0048883    0.0095961     0.012125      0.34341 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   14489    0.0028354    0.0054143      0.01264      0.41126 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   14489     0.010469     0.019844       0.0115      0.18133 Adrenal_Gland
Artery_Aorta                        COVAR   14489   -0.0038674    -0.007771     0.011483      0.63186 Artery_Aorta
Artery_Coronary                     COVAR   14489   -0.0052112    -0.010193     0.013338      0.65198 Artery_Coronary
Artery_Tibial                       COVAR   14489    0.0018753     0.003805     0.011247      0.43379 Artery_Tibial
Bladder                             COVAR   14489     0.010457     0.019982      0.01491      0.24154 Bladder
Brain_Amygdala                      COVAR   14489   0.00027374   0.00045576    0.0090595      0.48795 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   14489   -0.0024972   -0.0043129    0.0083465       0.6176 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   14489    0.0017093    0.0028868    0.0090208      0.42486 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   14489    -0.010254    -0.020273    0.0069101      0.93107 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   14489    -0.010174    -0.019866    0.0071378      0.92295 Brain_Cerebellum
Brain_Cortex                        COVAR   14489  -0.00080188   -0.0014293    0.0082049      0.53893 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   14489    -0.002741   -0.0049462    0.0079016      0.63566 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   14489    0.0050035    0.0082712    0.0092142      0.29356 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   14489      0.00233    0.0039161    0.0093745      0.40186 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   14489   0.00020639   0.00035003    0.0086944      0.49053 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   14489    0.0039765    0.0066167     0.009087      0.33084 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   14489    0.0065149     0.011505    0.0096175      0.24908 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   14489     0.001559    0.0026277    0.0097958      0.43678 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   14489   -0.0015905   -0.0030022     0.014354      0.54411 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   14489   -0.0016627    -0.003523     0.007471      0.58805 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   14489   -0.0031923   -0.0069211    0.0054852      0.71971 Cells_EBV-transformed_lymphocytes
