Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	8_pcw	3659	9	0.999305808838459	1	ENSG00000143228:ENSG00000213070:ENSG00000230175:ENSG00000143179:ENSG00000215835:ENSG00000145703:ENSG00000181104:ENSG00000251400:ENSG00000168283
DEG.up	9_pcw	3097	9	0.993291200435251	1	ENSG00000143228:ENSG00000213070:ENSG00000143179:ENSG00000215835:ENSG00000145703:ENSG00000181104:ENSG00000132842:ENSG00000113273:ENSG00000165312
DEG.up	12_pcw	2692	8	0.987438026663621	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000181104:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000185875
DEG.up	13_pcw	2096	5	0.993083176808039	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000215835:ENSG00000181104
DEG.up	16_pcw	1387	4	0.955123847298669	1	ENSG00000213070:ENSG00000185630:ENSG00000143157:ENSG00000181104
DEG.up	17_pcw	1027	3	0.930159391841457	1	ENSG00000213070:ENSG00000188859:ENSG00000215835
DEG.up	19_pcw	1078	0	1	1	
DEG.up	21_pcw	937	3	0.899086528680283	1	ENSG00000213070:ENSG00000188859:ENSG00000215835
DEG.up	24_pcw	905	2	0.964315833446057	1	ENSG00000181104:ENSG00000113273
DEG.up	26_pcw	11	0	1	1	
DEG.up	37_pcw	2357	0	1	1	
DEG.up	4_mos	602	3	0.656381212426942	1	ENSG00000143248:ENSG00000232995:ENSG00000151023
DEG.up	10_mos	294	0	1	1	
DEG.up	1_yrs	1042	3	0.934399350227807	1	ENSG00000254706:ENSG00000232995:ENSG00000143195
DEG.up	2_yrs	849	0	1	1	
DEG.up	3_yrs	1591	7	0.792835225721682	1	ENSG00000143248:ENSG00000232995:ENSG00000143149:ENSG00000206990:ENSG00000251400:ENSG00000148450:ENSG00000151023
DEG.up	4_yrs	299	0	1	1	
DEG.up	8_yrs	952	3	0.904999835556968	1	ENSG00000143248:ENSG00000206990:ENSG00000145708
DEG.up	11_yrs	713	3	0.764163233741453	1	ENSG00000143248:ENSG00000232995:ENSG00000143194
DEG.up	13_yrs	837	2	0.950415960533915	1	ENSG00000143248:ENSG00000232995
DEG.up	15_yrs	158	0	1	1	
DEG.up	18_yrs	930	3	0.896216561792998	1	ENSG00000143248:ENSG00000232995:ENSG00000148450
DEG.up	19_yrs	1119	2	0.987736044026688	1	ENSG00000143194:ENSG00000250615
DEG.up	21_yrs	1259	5	0.838062412932724	1	ENSG00000254706:ENSG00000143248:ENSG00000232995:ENSG00000113231:ENSG00000085365
DEG.up	23_yrs	1046	5	0.699209082036938	1	ENSG00000143248:ENSG00000232995:ENSG00000206990:ENSG00000251400:ENSG00000132842
DEG.up	30_yrs	1585	2	0.998952513460997	1	ENSG00000143198:ENSG00000145708
DEG.up	36_yrs	853	0	1	1	
DEG.up	37_yrs	1090	2	0.985788765450136	1	ENSG00000143248:ENSG00000143194
DEG.up	40_yrs	730	1	0.984328911797552	1	ENSG00000143248
DEG.down	8_pcw	1311	4	0.939521752909526	1	ENSG00000143248:ENSG00000232995:ENSG00000143198:ENSG00000113231
DEG.down	9_pcw	1289	4	0.934172654975039	1	ENSG00000143248:ENSG00000232995:ENSG00000143198:ENSG00000113231
DEG.down	12_pcw	1979	6	0.969896569014228	1	ENSG00000143248:ENSG00000143198:ENSG00000206990:ENSG00000113231:ENSG00000251400:ENSG00000148450
DEG.down	13_pcw	1968	4	0.996393189385276	1	ENSG00000143248:ENSG00000206990:ENSG00000113231:ENSG00000148450
DEG.down	16_pcw	1329	3	0.981380731120389	1	ENSG00000143248:ENSG00000113231:ENSG00000148450
DEG.down	17_pcw	418	2	0.679982582229794	1	ENSG00000143248:ENSG00000113231
DEG.down	19_pcw	577	3	0.627831776644587	1	ENSG00000143248:ENSG00000113231:ENSG00000085365
DEG.down	21_pcw	576	1	0.961856287454579	1	ENSG00000143248
DEG.down	24_pcw	487	3	0.51255081696926	1	ENSG00000143248:ENSG00000113231:ENSG00000148450
DEG.down	26_pcw	31	0	1	1	
DEG.down	37_pcw	1024	3	0.92928207767783	1	ENSG00000143248:ENSG00000168283:ENSG00000185875
DEG.down	4_mos	471	1	0.930322485386667	1	ENSG00000185630
DEG.down	10_mos	559	3	0.606308658190988	1	ENSG00000143179:ENSG00000143157:ENSG00000250615
DEG.down	1_yrs	1212	3	0.968477398204159	1	ENSG00000230175:ENSG00000181104:ENSG00000148444
DEG.down	2_yrs	4664	12	0.999786353955636	1	ENSG00000213070:ENSG00000185630:ENSG00000143179:ENSG00000215835:ENSG00000143157:ENSG00000164252:ENSG00000164253:ENSG00000213763:ENSG00000085365:ENSG00000168283:ENSG00000165312:ENSG00000185875
DEG.down	3_yrs	2893	8	0.994142043415575	1	ENSG00000254706:ENSG00000213070:ENSG00000185630:ENSG00000143179:ENSG00000188859:ENSG00000085365:ENSG00000148444:ENSG00000168283
DEG.down	4_yrs	82	1	0.368263638625531	1	ENSG00000185630
DEG.down	8_yrs	1672	4	0.986324838627981	1	ENSG00000213070:ENSG00000143179:ENSG00000215835:ENSG00000143157
DEG.down	11_yrs	1002	2	0.977882935427722	1	ENSG00000213070:ENSG00000215835
DEG.down	13_yrs	1578	5	0.945287267323269	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444:ENSG00000168283
DEG.down	15_yrs	73	0	1	1	
DEG.down	18_yrs	2710	9	0.973463332025175	1	ENSG00000185630:ENSG00000143179:ENSG00000188859:ENSG00000215835:ENSG00000213763:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000185875
DEG.down	19_yrs	1389	5	0.893772102158579	1	ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000148444
DEG.down	21_yrs	1602	3	0.994861613717464	1	ENSG00000213070:ENSG00000215835:ENSG00000148444
DEG.down	23_yrs	1227	4	0.91675701446715	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444
DEG.down	30_yrs	2087	9	0.834586080238534	1	ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000143183:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000185875
DEG.down	36_yrs	1636	4	0.984021806698107	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444
DEG.down	37_yrs	919	4	0.759118359092489	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000215835
DEG.down	40_yrs	1171	3	0.962244409360959	1	ENSG00000213070:ENSG00000143179:ENSG00000113273
