Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	2127	6	0.794065240897837	1	ENSG00000143198:ENSG00000181104:ENSG00000145708:ENSG00000132846:ENSG00000250802:ENSG00000113231
DEG.up	Adipose_Visceral_Omentum	1774	4	0.892554646918379	1	ENSG00000145708:ENSG00000132846:ENSG00000250802:ENSG00000113231
DEG.up	Adrenal_Gland	1549	4	0.82098951819228	1	ENSG00000143183:ENSG00000145703:ENSG00000145708:ENSG00000185875
DEG.up	Artery_Aorta	2768	11	0.426465411452863	1	ENSG00000239887:ENSG00000143198:ENSG00000198842:ENSG00000181104:ENSG00000132846:ENSG00000113231:ENSG00000164253:ENSG00000213763:ENSG00000113273:ENSG00000168283:ENSG00000148450
DEG.up	Artery_Coronary	2052	4	0.945743542231318	1	ENSG00000181104:ENSG00000213763:ENSG00000113273:ENSG00000168283
DEG.up	Artery_Tibial	2717	8	0.782249194975677	1	ENSG00000185630:ENSG00000143198:ENSG00000181104:ENSG00000113231:ENSG00000213763:ENSG00000085365:ENSG00000113273:ENSG00000168283
DEG.up	Bladder	843	1	0.955663120518283	1	ENSG00000185630
DEG.up	Brain_Amygdala	1825	2	0.991499399383872	1	ENSG00000143195:ENSG00000151023
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2376	5	0.939513440257008	1	ENSG00000188859:ENSG00000143195:ENSG00000145708:ENSG00000113231:ENSG00000151023
DEG.up	Brain_Caudate_basal_ganglia	2216	6	0.82514338581795	1	ENSG00000143171:ENSG00000229588:ENSG00000113231:ENSG00000077327:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Cerebellar_Hemisphere	6335	4	0.999999973270205	1	ENSG00000188859:ENSG00000143157:ENSG00000164252:ENSG00000085365
DEG.up	Brain_Cerebellum	6198	4	0.999999953818891	1	ENSG00000239887:ENSG00000236364:ENSG00000188859:ENSG00000143195
DEG.up	Brain_Cortex	2803	4	0.993170948578505	1	ENSG00000188859:ENSG00000143195:ENSG00000113231:ENSG00000151023
DEG.up	Brain_Frontal_Cortex_BA9	3142	6	0.976915701997872	1	ENSG00000188859:ENSG00000143195:ENSG00000145708:ENSG00000113231:ENSG00000085365:ENSG00000151023
DEG.up	Brain_Hippocampus	1970	4	0.933263720872947	1	ENSG00000143195:ENSG00000077327:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Hypothalamus	2539	8	0.714500604296187	1	ENSG00000143171:ENSG00000143195:ENSG00000145708:ENSG00000113231:ENSG00000085365:ENSG00000077327:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	2460	6	0.891724021108055	1	ENSG00000143171:ENSG00000188859:ENSG00000229588:ENSG00000113231:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Putamen_basal_ganglia	1745	3	0.956508059976306	1	ENSG00000143171:ENSG00000113231:ENSG00000151023
DEG.up	Brain_Spinal_cord_cervical_c-1	2235	3	0.989773262660571	1	ENSG00000143171:ENSG00000143157:ENSG00000151023
DEG.up	Brain_Substantia_nigra	1650	1	0.99793273417452	1	ENSG00000151023
DEG.up	Breast_Mammary_Tissue	1978	4	0.934585460110158	1	ENSG00000239887:ENSG00000145708:ENSG00000132846:ENSG00000250802
DEG.up	Cells_Cultured_fibroblasts	4343	11	0.931268177692957	1	ENSG00000143228:ENSG00000143183:ENSG00000143179:ENSG00000236364:ENSG00000181104:ENSG00000164252:ENSG00000164253:ENSG00000132842:ENSG00000113273:ENSG00000168283:ENSG00000185875
DEG.up	Cells_EBV-transformed_lymphocytes	5125	8	0.999087062232619	1	ENSG00000143228:ENSG00000143179:ENSG00000145703:ENSG00000164252:ENSG00000164253:ENSG00000213763:ENSG00000132842:ENSG00000185875
DEG.up	Cervix_Ectocervix	195	0	1	1	
DEG.up	Cervix_Endocervix	1849	1	0.999041783623895	1	ENSG00000185630
DEG.up	Colon_Sigmoid	1644	6	0.556153714450064	1	ENSG00000239887:ENSG00000185630:ENSG00000143195:ENSG00000143167:ENSG00000213763:ENSG00000148450
DEG.up	Colon_Transverse	1612	3	0.937027666874175	1	ENSG00000239887:ENSG00000143167:ENSG00000145703
DEG.up	Esophagus_Gastroesophageal_Junction	1291	3	0.853711749384386	1	ENSG00000185630:ENSG00000113273:ENSG00000148450
DEG.up	Esophagus_Mucosa	2244	3	0.990052364917988	1	ENSG00000143228:ENSG00000143179:ENSG00000215834
DEG.up	Esophagus_Muscularis	1316	4	0.71051230637034	1	ENSG00000185630:ENSG00000213763:ENSG00000113273:ENSG00000148450
DEG.up	Fallopian_Tube	490	1	0.834815217311071	1	ENSG00000185630
DEG.up	Heart_Atrial_Appendage	745	2	0.757653519261854	1	ENSG00000198842:ENSG00000148450
DEG.up	Heart_Left_Ventricle	536	1	0.860712847655179	1	ENSG00000198842
DEG.up	Kidney_Cortex	1343	1	0.993298945985558	1	ENSG00000145708
DEG.up	Kidney_Medulla	95	0	1	1	
DEG.up	Liver	1536	5	0.662873849923295	1	ENSG00000239887:ENSG00000145703:ENSG00000145708:ENSG00000214890:ENSG00000185875
DEG.up	Lung	4262	9	0.979135891208465	1	ENSG00000143157:ENSG00000225171:ENSG00000181104:ENSG00000077327:ENSG00000165309:ENSG00000179133:ENSG00000224215:ENSG00000165312:ENSG00000151023
DEG.up	Minor_Salivary_Gland	1899	4	0.920449455791326	1	ENSG00000239887:ENSG00000215834:ENSG00000145703:ENSG00000181104
DEG.up	Muscle_Skeletal	1143	2	0.923588868232782	1	ENSG00000143171:ENSG00000198842
DEG.up	Nerve_Tibial	5911	9	0.999708311267653	1	ENSG00000143171:ENSG00000143157:ENSG00000225171:ENSG00000143195:ENSG00000145703:ENSG00000245556:ENSG00000168283:ENSG00000224215:ENSG00000165312
DEG.up	Ovary	5714	3	0.999999964894811	1	ENSG00000185630:ENSG00000244363:ENSG00000185875
DEG.up	Pancreas	747	1	0.93650108340794	1	ENSG00000168267
DEG.up	Pituitary	5188	14	0.917448130982659	1	ENSG00000239887:ENSG00000143171:ENSG00000143183:ENSG00000188859:ENSG00000143195:ENSG00000250802:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000077327:ENSG00000179133:ENSG00000224215:ENSG00000151023:ENSG00000185875
DEG.up	Prostate	3333	5	0.995080350002006	1	ENSG00000239887:ENSG00000232995:ENSG00000185630:ENSG00000113231:ENSG00000245556
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	2760	3	0.998072953901157	1	ENSG00000225171:ENSG00000181104:ENSG00000165312
DEG.up	Skin_Sun_Exposed_Lower_leg	2825	4	0.993599926200876	1	ENSG00000239887:ENSG00000225171:ENSG00000181104:ENSG00000165312
DEG.up	Small_Intestine_Terminal_Ileum	2786	3	0.998230591005432	1	ENSG00000239887:ENSG00000143167:ENSG00000145703
DEG.up	Spleen	4308	6	0.999045307725195	1	ENSG00000143228:ENSG00000225171:ENSG00000145703:ENSG00000181104:ENSG00000145708:ENSG00000245556
DEG.up	Stomach	1109	2	0.915278587861726	1	ENSG00000239887:ENSG00000145703
DEG.up	Testis	12379	27	0.999887417555673	1	ENSG00000171722:ENSG00000232995:ENSG00000143228:ENSG00000225122:ENSG00000224702:ENSG00000238022:ENSG00000237463:ENSG00000162763:ENSG00000236206:ENSG00000143183:ENSG00000188859:ENSG00000143195:ENSG00000143194:ENSG00000227907:ENSG00000143167:ENSG00000145703:ENSG00000164252:ENSG00000251400:ENSG00000164253:ENSG00000245556:ENSG00000272366:ENSG00000077327:ENSG00000165309:ENSG00000168267:ENSG00000179133:ENSG00000151023:ENSG00000185875
DEG.up	Thyroid	5722	11	0.996440178395861	1	ENSG00000232995:ENSG00000143183:ENSG00000145703:ENSG00000145708:ENSG00000132846:ENSG00000238961:ENSG00000250802:ENSG00000113231:ENSG00000132842:ENSG00000245556:ENSG00000185875
DEG.up	Uterus	5589	9	0.999268247308719	1	ENSG00000185630:ENSG00000188859:ENSG00000225171:ENSG00000132846:ENSG00000250802:ENSG00000113231:ENSG00000245556:ENSG00000113273:ENSG00000148450
DEG.up	Vagina	2864	1	0.999982543262588	1	ENSG00000185630
DEG.up	Whole_Blood	2073	1	0.999599280083559	1	ENSG00000145703
DEG.down	Adipose_Subcutaneous	1541	1	0.99685699114292	1	ENSG00000143171
DEG.down	Adipose_Visceral_Omentum	1661	1	0.998018486928165	1	ENSG00000239887
DEG.down	Adrenal_Gland	3492	4	0.999183865115917	1	ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000113231
DEG.down	Artery_Aorta	1473	1	0.995921368215143	1	ENSG00000145703
DEG.down	Artery_Coronary	954	0	1	1	
DEG.down	Artery_Tibial	2044	5	0.872499963307208	1	ENSG00000143171:ENSG00000188859:ENSG00000198842:ENSG00000145703:ENSG00000185875
DEG.down	Bladder	105	0	1	1	
DEG.down	Brain_Amygdala	7751	10	0.999996905366823	1	ENSG00000239887:ENSG00000185630:ENSG00000143183:ENSG00000143179:ENSG00000225171:ENSG00000164253:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6725	9	0.999975819163526	1	ENSG00000239887:ENSG00000143183:ENSG00000143179:ENSG00000181104:ENSG00000132846:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Caudate_basal_ganglia	6927	9	0.999987412975113	1	ENSG00000239887:ENSG00000185630:ENSG00000143179:ENSG00000225171:ENSG00000132846:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Cerebellar_Hemisphere	2646	1	0.999958235781765	1	ENSG00000132842
DEG.down	Brain_Cerebellum	2778	2	0.999700610225102	1	ENSG00000143183:ENSG00000132842
DEG.down	Brain_Cortex	5617	10	0.998136727689092	1	ENSG00000239887:ENSG00000185630:ENSG00000143183:ENSG00000143179:ENSG00000225171:ENSG00000132846:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Frontal_Cortex_BA9	5080	9	0.997112215638428	1	ENSG00000239887:ENSG00000143179:ENSG00000225171:ENSG00000181104:ENSG00000132846:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Hippocampus	7571	9	0.999998563228102	1	ENSG00000239887:ENSG00000185630:ENSG00000143183:ENSG00000143179:ENSG00000225171:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Hypothalamus	5967	8	0.999925819096856	1	ENSG00000185630:ENSG00000143179:ENSG00000225171:ENSG00000181104:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Nucleus_accumbens_basal_ganglia	6479	9	0.999947425490446	1	ENSG00000239887:ENSG00000143183:ENSG00000143179:ENSG00000225171:ENSG00000181104:ENSG00000132846:ENSG00000132842:ENSG00000113273:ENSG00000165312
DEG.down	Brain_Putamen_basal_ganglia	7853	9	0.999999467176438	1	ENSG00000185630:ENSG00000143183:ENSG00000143179:ENSG00000225171:ENSG00000164253:ENSG00000132842:ENSG00000113273:ENSG00000148444:ENSG00000165312
DEG.down	Brain_Spinal_cord_cervical_c-1	5136	6	0.999928041459404	1	ENSG00000185630:ENSG00000143179:ENSG00000225171:ENSG00000145703:ENSG00000181104:ENSG00000165312
