Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1919	4	0.924263212052982	1	ENSG00000145708:ENSG00000132846:ENSG00000250802:ENSG00000113231
DEG.up	Adrenal_Gland	1549	4	0.82098951819228	1	ENSG00000143183:ENSG00000145703:ENSG00000145708:ENSG00000185875
DEG.up	Bladder	843	1	0.955663120518283	1	ENSG00000185630
DEG.up	Blood	2296	2	0.998319278989109	1	ENSG00000143228:ENSG00000145703
DEG.up	Blood_Vessel	2703	8	0.777371746299231	1	ENSG00000185630:ENSG00000143198:ENSG00000181104:ENSG00000113231:ENSG00000164253:ENSG00000213763:ENSG00000113273:ENSG00000168283
DEG.up	Brain	3221	5	0.993245896672102	1	ENSG00000143171:ENSG00000188859:ENSG00000143195:ENSG00000113231:ENSG00000151023
DEG.up	Breast	1978	4	0.934585460110158	1	ENSG00000239887:ENSG00000145708:ENSG00000132846:ENSG00000250802
DEG.up	Cervix_Uteri	3029	1	0.999991020165735	1	ENSG00000185630
DEG.up	Colon	1580	4	0.832725820330146	1	ENSG00000239887:ENSG00000185630:ENSG00000143195:ENSG00000143167
DEG.up	Esophagus	1264	2	0.94738208335791	1	ENSG00000185630:ENSG00000113273
DEG.up	Fallopian_Tube	490	1	0.834815217311071	1	ENSG00000185630
DEG.up	Heart	614	2	0.657230916300717	1	ENSG00000198842:ENSG00000148450
DEG.up	Kidney	1363	2	0.96145637992213	1	ENSG00000239887:ENSG00000145708
DEG.up	Liver	1536	5	0.662873849923295	1	ENSG00000239887:ENSG00000145703:ENSG00000145708:ENSG00000214890:ENSG00000185875
DEG.up	Lung	4262	9	0.979135891208465	1	ENSG00000143157:ENSG00000225171:ENSG00000181104:ENSG00000077327:ENSG00000165309:ENSG00000179133:ENSG00000224215:ENSG00000165312:ENSG00000151023
DEG.up	Muscle	1143	2	0.923588868232782	1	ENSG00000143171:ENSG00000198842
DEG.up	Nerve	5911	9	0.999708311267653	1	ENSG00000143171:ENSG00000143157:ENSG00000225171:ENSG00000143195:ENSG00000145703:ENSG00000245556:ENSG00000168283:ENSG00000224215:ENSG00000165312
DEG.up	Ovary	5714	3	0.999999964894811	1	ENSG00000185630:ENSG00000244363:ENSG00000185875
DEG.up	Pancreas	747	1	0.93650108340794	1	ENSG00000168267
DEG.up	Pituitary	5188	14	0.917448130982659	1	ENSG00000239887:ENSG00000143171:ENSG00000143183:ENSG00000188859:ENSG00000143195:ENSG00000250802:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000077327:ENSG00000179133:ENSG00000224215:ENSG00000151023:ENSG00000185875
DEG.up	Prostate	3333	5	0.995080350002006	1	ENSG00000239887:ENSG00000232995:ENSG00000185630:ENSG00000113231:ENSG00000245556
DEG.up	Salivary_Gland	1899	4	0.920449455791326	1	ENSG00000239887:ENSG00000215834:ENSG00000145703:ENSG00000181104
DEG.up	Skin	3140	5	0.991535624594097	1	ENSG00000143228:ENSG00000143179:ENSG00000181104:ENSG00000132842:ENSG00000165312
DEG.up	Small_Intestine	2786	3	0.998230591005432	1	ENSG00000239887:ENSG00000143167:ENSG00000145703
DEG.up	Spleen	4308	6	0.999045307725195	1	ENSG00000143228:ENSG00000225171:ENSG00000145703:ENSG00000181104:ENSG00000145708:ENSG00000245556
DEG.up	Stomach	1109	2	0.915278587861726	1	ENSG00000239887:ENSG00000145703
DEG.up	Testis	12379	27	0.999887417555673	1	ENSG00000171722:ENSG00000232995:ENSG00000143228:ENSG00000225122:ENSG00000224702:ENSG00000238022:ENSG00000237463:ENSG00000162763:ENSG00000236206:ENSG00000143183:ENSG00000188859:ENSG00000143195:ENSG00000143194:ENSG00000227907:ENSG00000143167:ENSG00000145703:ENSG00000164252:ENSG00000251400:ENSG00000164253:ENSG00000245556:ENSG00000272366:ENSG00000077327:ENSG00000165309:ENSG00000168267:ENSG00000179133:ENSG00000151023:ENSG00000185875
DEG.up	Thyroid	5722	11	0.996440178395861	1	ENSG00000232995:ENSG00000143183:ENSG00000145703:ENSG00000145708:ENSG00000132846:ENSG00000238961:ENSG00000250802:ENSG00000113231:ENSG00000132842:ENSG00000245556:ENSG00000185875
DEG.up	Uterus	5589	9	0.999268247308719	1	ENSG00000185630:ENSG00000188859:ENSG00000225171:ENSG00000132846:ENSG00000250802:ENSG00000113231:ENSG00000245556:ENSG00000113273:ENSG00000148450
DEG.up	Vagina	2864	1	0.999982543262588	1	ENSG00000185630
DEG.down	Adipose_Tissue	1601	1	0.997503833714052	1	ENSG00000239887
DEG.down	Adrenal_Gland	3492	4	0.999183865115917	1	ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000113231
DEG.down	Bladder	105	0	1	1	
DEG.down	Blood	6212	14	0.987868636707172	1	ENSG00000143198:ENSG00000143149:ENSG00000143183:ENSG00000143157:ENSG00000181104:ENSG00000164252:ENSG00000132846:ENSG00000245556:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000165312:ENSG00000185875
DEG.down	Blood_Vessel	1722	3	0.953597198417539	1	ENSG00000143171:ENSG00000188859:ENSG00000145703
DEG.down	Brain	5569	8	0.999749181926134	1	ENSG00000239887:ENSG00000185630:ENSG00000143183:ENSG00000143179:ENSG00000225171:ENSG00000132842:ENSG00000113273:ENSG00000165312
DEG.down	Breast	1007	1	0.976060752645055	1	ENSG00000143171
DEG.down	Cervix_Uteri	47	0	1	1	
DEG.down	Colon	1387	1	0.994334122998812	1	ENSG00000113231
DEG.down	Esophagus	1689	3	0.949105582308175	1	ENSG00000181104:ENSG00000113231:ENSG00000185875
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	9435	16	0.999982353311024	1	ENSG00000239887:ENSG00000185630:ENSG00000143149:ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000145703:ENSG00000164252:ENSG00000132846:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000185875
DEG.down	Kidney	5433	9	0.998873359717598	1	ENSG00000185630:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000113231:ENSG00000164253:ENSG00000085365:ENSG00000148444:ENSG00000168283
DEG.down	Liver	8059	16	0.999197919001024	1	ENSG00000143248:ENSG00000185630:ENSG00000143198:ENSG00000143179:ENSG00000143157:ENSG00000181104:ENSG00000164252:ENSG00000113231:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000148444:ENSG00000168283:ENSG00000165312
DEG.down	Lung	911	0	1	1	
DEG.down	Muscle	6908	9	0.999986608069194	1	ENSG00000143183:ENSG00000143157:ENSG00000181104:ENSG00000132846:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273
DEG.down	Nerve	909	2	0.846998636769839	1	ENSG00000145708:ENSG00000113231
DEG.down	Ovary	1539	3	0.923216061085351	1	ENSG00000239887:ENSG00000143171:ENSG00000181104
DEG.down	Pancreas	9668	19	0.999831444630012	1	ENSG00000239887:ENSG00000143248:ENSG00000143198:ENSG00000143149:ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000181104:ENSG00000164252:ENSG00000113231:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000148450:ENSG00000165312
DEG.down	Pituitary	1937	2	0.994180496290588	1	ENSG00000145703:ENSG00000181104
DEG.down	Prostate	744	1	0.935785460690066	1	ENSG00000143171
DEG.down	Salivary_Gland	1870	4	0.914618201357599	1	ENSG00000143171:ENSG00000113273:ENSG00000148450:ENSG00000165312
DEG.down	Skin	2151	7	0.673958847160719	1	ENSG00000143248:ENSG00000143171:ENSG00000188859:ENSG00000145703:ENSG00000132846:ENSG00000113231:ENSG00000148450
DEG.down	Small_Intestine	1384	3	0.884475206150591	1	ENSG00000143171:ENSG00000145708:ENSG00000113231
DEG.down	Spleen	2075	7	0.636491265141574	1	ENSG00000239887:ENSG00000143248:ENSG00000185630:ENSG00000143198:ENSG00000143179:ENSG00000113231:ENSG00000085365
DEG.down	Stomach	2622	3	0.996980968418048	1	ENSG00000143171:ENSG00000181104:ENSG00000113231
DEG.down	Testis	2951	8	0.85266937217899	1	ENSG00000185630:ENSG00000143171:ENSG00000143157:ENSG00000225171:ENSG00000132846:ENSG00000113231:ENSG00000113273:ENSG00000148450
DEG.down	Thyroid	1042	2	0.896394020099707	1	ENSG00000239887:ENSG00000143171
DEG.down	Uterus	846	2	0.816886323274389	1	ENSG00000143171:ENSG00000145703
DEG.down	Vagina	649	0	1	1	
DEG.twoside	Adipose_Tissue	3520	5	0.997136163707138	1	ENSG00000239887:ENSG00000145708:ENSG00000132846:ENSG00000250802:ENSG00000113231
DEG.twoside	Adrenal_Gland	5041	8	0.998843952400552	1	ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000145703:ENSG00000145708:ENSG00000113231:ENSG00000185875
DEG.twoside	Bladder	948	1	0.970107029052193	1	ENSG00000185630
