# MEAN_SAMPLE_SIZE = 26642
# TOTAL_GENES = 14489
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   14489    -0.014377    -0.027761     0.014981      0.83139
Adrenal_Gland       COVAR   14489   -0.0020764   -0.0039358     0.011859       0.5695
Bladder             COVAR   14489   -0.0050661   -0.0096806     0.018226      0.60948
Blood               COVAR   14489    0.0016324    0.0028803    0.0070333      0.40823
Blood_Vessel        COVAR   14489     -0.01182    -0.023614     0.013156      0.81552
Brain               COVAR   14489   -0.0037943   -0.0064439    0.0078377      0.68584
Breast              COVAR   14489    -0.024047    -0.045392     0.017822      0.91137
Cervix_Uteri        COVAR   14489    -0.012388    -0.023883     0.016405      0.77491
Colon               COVAR   14489     0.018367     0.033705     0.017997      0.15374
Esophagus           COVAR   14489   -0.0068376    -0.012631     0.019411      0.63767
Fallopian_Tube      COVAR   14489    0.0041685    0.0079348      0.01606       0.3976
Heart               COVAR   14489    -0.017726    -0.029854     0.011066      0.94539
Kidney              COVAR   14489     0.013506     0.023212     0.010658      0.10254
Liver               COVAR   14489     0.012933     0.022851    0.0073944      0.04015
Lung                COVAR   14489    -0.019354    -0.036679      0.01216      0.94425
Muscle              COVAR   14489   -0.0097607    -0.018222    0.0078942      0.89184
Nerve               COVAR   14489   -0.0040023   -0.0079099     0.011794      0.63283
Ovary               COVAR   14489    0.0039546    0.0078916     0.011645      0.36709
Pancreas            COVAR   14489     0.011834     0.019329     0.010091      0.12047
Pituitary           COVAR   14489     0.010332     0.018801    0.0096006      0.14094
Prostate            COVAR   14489     0.013292     0.024682     0.015884      0.20135
Salivary_Gland      COVAR   14489    0.0077427     0.014105     0.012541       0.2685
Skin                COVAR   14489   -0.0013586   -0.0025446     0.011394      0.54745
Small_Intestine     COVAR   14489   -0.0066934    -0.012055      0.01242      0.70502
Spleen              COVAR   14489   -0.0057842    -0.011259    0.0089386      0.74121
Stomach             COVAR   14489     0.005379    0.0095763     0.015882      0.36742
Testis              COVAR   14489    0.0053578    0.0090675    0.0063655      0.19999
Thyroid             COVAR   14489     0.017699     0.034424     0.012292     0.074955
Uterus              COVAR   14489    -0.014361    -0.028767     0.013669      0.85328
Vagina              COVAR   14489    -0.013273    -0.024897     0.014492      0.82012
