# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 15564
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      21     0.055837    0.0020497      0.17949      0.37787 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      29      0.13516    0.0058289      0.18069      0.22723 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       6     0.070296      0.00138      0.39663      0.42966 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12     -0.25369   -0.0070418      0.26959      0.82664 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      15     0.059031    0.0018318      0.20791      0.38824 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      12    -0.023436  -0.00065052      0.29443      0.53172 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      30     0.088893    0.0038991      0.17808      0.30884 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      15      0.36559     0.011344      0.21658     0.045716 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      27      0.15482     0.006443      0.15142      0.15329 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      21    -0.038691   -0.0014203      0.18721      0.58187 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      19     -0.29805    -0.010408      0.20316      0.92881 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      22     -0.14286   -0.0053675      0.19732      0.76546 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      35     0.046313    0.0021938      0.14513      0.37482 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     422     0.012175    0.0019775     0.041934      0.38578 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     811    -0.021425   -0.0047617     0.030961      0.75552 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     140     0.061707    0.0058263     0.078093      0.21472 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     225      0.16788     0.020039     0.064167    0.0044498 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      85    -0.027744   -0.0020447     0.094198      0.61582 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     111    -0.045476   -0.0038269      0.08734       0.6987 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     223     0.042437    0.0050433     0.057517      0.23032 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     715    -0.030171   -0.0063167     0.031952      0.82747 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     619    -0.048333   -0.0094457     0.037977      0.89843 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     280    -0.053596    -0.007124      0.04962      0.85995 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     147     0.045487    0.0043998     0.071739      0.26303 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
