# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 14489
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   14489     -0.02497    -0.049017     0.012003      0.98124 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   14489    -0.026633    -0.050857     0.012513      0.98334 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   14489   -0.0097235     -0.01843     0.011387      0.80341 Adrenal_Gland
Artery_Aorta                        COVAR   14489    -0.020592    -0.041376     0.011369      0.96494 Artery_Aorta
Artery_Coronary                     COVAR   14489     -0.02764    -0.054063     0.013205      0.98182 Artery_Coronary
Artery_Tibial                       COVAR   14489    -0.012254    -0.024864     0.011135      0.86442 Artery_Tibial
Bladder                             COVAR   14489    -0.017117    -0.032707     0.014763      0.87685 Bladder
Brain_Amygdala                      COVAR   14489     0.018152     0.030221     0.008969     0.021504 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   14489     0.013174     0.022753    0.0082637     0.055455 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   14489     0.014165     0.023923    0.0089312     0.056379 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   14489    0.0066628     0.013173    0.0068425       0.1651 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   14489     0.008867     0.017314    0.0070678      0.10483 Brain_Cerebellum
Brain_Cortex                        COVAR   14489     0.014773     0.026331    0.0081231     0.034499 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   14489     0.010313     0.018611    0.0078234     0.093717 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   14489     0.020475     0.033846    0.0091219     0.012406 Brain_Hippocampus
