annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	29	0.00741687979539642	0.779877391626942	0.215245015265143
UTR5	68533	0.00279438366924883	9	0.00230179028132992	0.823720202297302	0.760169148693839
downstream	277044	0.0112962693777213	27	0.00690537084398977	0.61129658058692	0.00784557935796622
exonic	264904	0.0108012696295025	8	0.0020460358056266	0.189425491243925	2.0576277755731e-10
intergenic	11376644	0.463874457625636	2037	0.520971867007673	1.12308806497838	9.12754475561655e-13
intronic	8979212	0.366120896145261	1399	0.357800511508951	0.97727421536462	0.288057853076639
ncRNA_exonic	257913	0.0105162166443461	19	0.00485933503836317	0.46208015702831	0.000207341639586331
ncRNA_intronic	2807030	0.114454624649316	352	0.0900255754475703	0.786561274595979	8.28871507808167e-07
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	30	0.00767263427109974	0.733184969323452	0.097966637069103
