# MEAN_SAMPLE_SIZE = 27994
# TOTAL_GENES = 12091
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   12091  -0.00068736    -0.017599   0.00050638      0.91266
9_pcw        COVAR   12091  -0.00057005    -0.011965   0.00061996      0.82107
12_pcw       COVAR   12091  -0.00026489   -0.0066091   0.00059912      0.67079
13_pcw       COVAR   12091  -0.00047688    -0.012264   0.00057762      0.79547
16_pcw       COVAR   12091  -0.00096377    -0.022609   0.00070173      0.91518
17_pcw       COVAR   12091  -0.00097883    -0.022188   0.00077588      0.89643
19_pcw       COVAR   12091   -0.0013387     -0.03695   0.00056001      0.99158
21_pcw       COVAR   12091  -0.00012238   -0.0028407   0.00078202      0.56218
24_pcw       COVAR   12091  -0.00022235   -0.0060095   0.00067633      0.62883
26_pcw       COVAR   12091   -0.0019001    -0.036704    0.0011183      0.95532
37_pcw       COVAR   12091  -3.7143e-05  -0.00099643   0.00069607      0.52128
4_mos        COVAR   12091    0.0029001      0.07102    0.0013917     0.018597
10_mos       COVAR   12091   0.00065212      0.01784   0.00087341      0.22765
1_yrs        COVAR   12091    0.0034639     0.076247    0.0010162   0.00032762
2_yrs        COVAR   12091  -0.00069266    -0.013254   0.00068312      0.84469
3_yrs        COVAR   12091  -0.00064139    -0.014728   0.00079411      0.79035
4_yrs        COVAR   12091  -0.00063545    -0.020091   0.00056003      0.87173
8_yrs        COVAR   12091    0.0015665     0.042509   0.00098606     0.056089
11_yrs       COVAR   12091      0.00238     0.060103   0.00095342    0.0062828
13_yrs       COVAR   12091    0.0025255     0.054571    0.0011234     0.012295
15_yrs       COVAR   12091    0.0026453     0.059985   0.00099453    0.0039149
18_yrs       COVAR   12091   -0.0010608    -0.021092   0.00093026      0.87292
19_yrs       COVAR   12091     0.001608     0.039339   0.00087881     0.033661
21_yrs       COVAR   12091    0.0039432     0.088523   0.00096087   2.0473e-05
23_yrs       COVAR   12091    0.0015159     0.032093     0.001119     0.087774
30_yrs       COVAR   12091    0.0003768     0.010127   0.00072941      0.30273
36_yrs       COVAR   12091    0.0022978      0.04695    0.0011256     0.020618
37_yrs       COVAR   12091    0.0030893     0.064629    0.0010889    0.0022807
40_yrs       COVAR   12091    0.0005638     0.015195    0.0008117      0.24366
